效果	是否前缀	五行要求	等级要求	属性调整类别	参数1最小值	参数1最大值	参数2最小值	参数2最大值	参数3最小值	参数3最大值	效果说明
毒防4				101	35	50	-1	-1	0	0	0
普防1				104	-5	5	-1	-1	0	0	0
普防2				104	15	25	-1	-1	0	0	0
普防3				104	20	30	-1	-1	0	0	0
普防4				104	30	50	-1	-1	0	0	0
幸运1				135	6	10	-1	-1	0	0	0
幸运2				135	8	12	-1	-1	0	0	0
幸运3				135	15	25	-1	-1	0	0	0
跑速1				111	-10	10	-1	-1	0	0	0
跑速2				111	25	40	-1	-1	0	0	0
跑速3				111	35	50	-1	-1	0	0	0
跑速4				111	40	50	-1	-1	0	0	0
全抗1				114	-5	5	-1	-1	0	0	0
全抗2				114	12	20	-1	-1	0	0	0
全抗3				114	16	24	-1	-1	0	0	0
全抗4				114	30	40	-1	-1	0	0	0
吸血1				136	2	6	-1	-1	0	0	0
吸血2				136	4	8	-1	-1	0	0	0
吸血3				136	6	10	-1	-1	0	0	0
吸内1				137	2	10	-1	-1	0	0	0
吸内2				137	4	8	-1	-1	0	0	0
吸内3				137	8	12	-1	-1	0	0	0
物理伤害吸收1				134	8	12	-1	-1	0	0	0
物理伤害吸收2				134	1	1	-1	-1	0	0	0
物理伤害吸收3				134	1	1	-1	-1	0	0	0
冰伤害吸收1				134	1	1	-1	-1	0	0	0
冰伤害吸收2				134	1	1	-1	-1	0	0	0
冰伤害吸收3				134	1	1	-1	-1	0	0	0
火伤害吸收1				134	1	1	-1	-1	0	0	0
火伤害吸收2				134	1	1	-1	-1	0	0	0
火伤害吸收3				134	1	1	-1	-1	0	0	0
雷伤害吸收1				134	1	1	-1	-1	0	0	0
雷伤害吸收2				134	1	1	-1	-1	0	0	0
雷伤害吸收3				134	1	1	-1	-1	0	0	0
缩短毒发间隔1				164	10	20	-1	-1	0	0	0
缩短施法速度				116	24	36	-1	-1	0	0	0
永不磨损				43	1	1	-1	-1	0	0	0
全技能1				139	1	1	-1	-1	0	0	0
全技能2				139	2	2	-1	-1	0	0	0
全技能3				139	3	3	-1	-1	0	0	0
会心率1				146	5	10	-1	-1	0	0	0
会心率2				146	8	12	-1	-1	0	0	0
忽略闪避1				58	1	2	-1	-1	0	0	0
忽略闪避2				58	8	12	-1	-1	0	0	0
反弹1				117	5	10	-1	-1	0	0	0
反弹2				117	8	12	-1	-1	0	0	0
反弹3				117	12	16	-1	-1	0	0	0
内普伤1				168			-1	-1	0	0	0
内普伤2				168			-1	-1	0	0	0
内普伤3				168			-1	-1	0	0	0
内毒伤1				172	20	30	-1	-1	0	0	0
内毒伤2				172			-1	-1	0	0	0
内毒伤3				172			-1	-1	0	0	0
内冰伤1				169	120	200	-1	-1	0	0	0
内冰伤2				169	160	240	-1	-1	0	0	0
内冰伤3				169	200	300	-1	-1	0	0	0
内火伤1				170			-1	-1	0	0	0
内火伤2				170	80	120	-1	-1	0	0	0
内火伤3				170	120	200	-1	-1	0	0	0
内电伤1				171	200	300	-1	-1	0	0	0
内电伤2				171	100	150	-1	-1	0	0	0
内电伤3				171	120	180	-1	-1	0	0	0
如来千叶1				139	1	3	-1	-1	273	273	0
天王战意				139	1	3	-1	-1	36	36	0
佛法无边1				139	1	3	-1	-1	252	252	0
佛心慈佑				139	1	3	-1	-1	92	92	0
冰骨雪心1				139	1	3	-1	-1	114	114	0
五毒奇经				139	1	3	-1	-1	75	75	0
穿心毒刺				139	1	3	-1	-1	72	72	0
心眼1				139	1	3	-1	-1	48	48	0
寒冰刺				139	1	3	-1	-1	345	345	0
醉碟狂舞1				139	1	3	-1	-1	130	130	0
天魔解体1				139	1	3	-1	-1	150	150	0
悲酥清风1				139	1	3	-1	-1	364	364	0
太极神功1				139	1	3	-1	-1	166	166	0
霜傲昆仑1				139	1	3	-1	-1	275	275	0
羁绊符				139	1	3	-1	-1	174	174	0
少林拳法1				139	1	3	-1	-1	8	8	0
龙爪虎抓				139	1	3	-1	-1	271	271	0
行龙不雨				139	1	3	-1	-1	14	14	0
罗汉阵				139	1	3	-1	-1	16	16	0
易筋经				139	1	3	-1	-1	21	21	0
少林棍法				139	1	3	-1	-1	4	4	0
横扫六合				139	1	3	-1	-1	11	11	0
金刚伏魔				139	1	3	-1	-1	10	10	0
少林刀法				139	1	3	-1	-1	6	6	0
摩诃无量				139	1	3	-1	-1	19	19	0
天王锤法				139	1	3	-1	-1	26	26	0
无心斩				139	1	3	-1	-1	32	32	0
惊雷斩				139	1	3	-1	-1	34	34	0
泼风斩				139	1	3	-1	-1	37	37	0
金钟罩				139	1	3	-1	-1	42	42	0
天王枪法				139	1	3	-1	-1	23	23	0
血战八方				139	1	3	-1	-1	41	41	0
天王刀法				139	1	3	-1	-1	24	24	0
回风落雁				139	1	3	-1	-1	30	30	0
阳关三叠				139	1	3	-1	-1	35	35	0
乘龙诀				139	1	3	-1	-1	324	324	0
斩龙诀				139	1	3	-1	-1	29	29	0
行云诀				139	1	3	-1	-1	31	31	0
峨嵋剑法				139	1	3	-1	-1	77	77	0
不灭不绝				139	1	3	-1	-1	88	88	0
飘雪穿云				139	1	3	-1	-1	80	80	0
一叶知秋				139	1	3	-1	-1	85	85	0
流水				139	1	3	-1	-1	86	86	0
峨嵋掌法1				139	1	3	-1	-1	79	79	0
四象同归				139	1	3	-1	-1	82	82	0
佛光普照1				139	1	3	-1	-1	91	91	0
清音梵唱				139	1	3	-1	-1	282	282	0
金顶佛光				139	1	3	-1	-1	82	82	0
慈航普渡				139	1	3	-1	-1	93	93	0
翠烟刀法				139	1	3	-1	-1	95	95	0
牧野流星				139	1	3	-1	-1	108	108	0
风花雪月				139	1	3	-1	-1	99	99	0
雨打梨花				139	1	3	-1	-1	105	105	0
踏雪无痕				139	1	3	-1	-1	270	270	0
翠烟双刀1				139	1	3	-1	-1	97	97	0
风卷残雪				139	1	3	-1	-1	102	102	0
浮云散雪				139	1	3	-1	-1	113	113	0
唐门暗器				139	1	3	-1	-1	43	43	0
小李飞刀				139	1	3	-1	-1	249	249	0
霹雳弹				139	1	3	-1	-1	45	45	0
追心箭				139	1	3	-1	-1	50	50	0
天罗地网				139	1	3	-1	-1	58	58	0
漫天花雨				139	1	3	-1	-1	54	54	0
散花镖				43	1	3	-1	-1	0	0	0
夺魂镖				139	1	3	-1	-1	47	47	0
五行陷阱				43	1	3	-1	-1	0	0	0
地焰火1				139	1	3	-1	-1	347	347	0
毒刺骨1				139	1	3	-1	-1	303	303	0
穿心刺				139	1	3	-1	-1	343	343	0
雷击术				139	1	3	-1	-1	349	349	0
五毒掌法				139	1	3	-1	-1	62	62	0
天罡地煞手				139	1	3	-1	-1	71	71	0
毒砂掌				139	1	3	-1	-1	63	63	0
幽冥骷髅				139	1	3	-1	-1	68	68	0
万蛊蚀心1				139	1	3	-1	-1	73	73	0
五毒刀法				139	1	3	-1	-1	60	60	0
朱蛤青冥				139	1	3	-1	-1	74	74	0
血刀毒杀				139	1	3	-1	-1	65	65	0
穿衣破甲				139	1	3	-1	-1	356	356	0
九天狂雷1				139	1	3	-1	-1	67	67	0
冰蓝玄晶				139	1	3	-1	-1	64	64	0
赤炎蚀天				139	1	3	-1	-1	70	70	0
丐帮掌法				139	1	3	-1	-1	116	116	0
亢龙有悔1				139	1	3	-1	-1	128	128	0
见人伸手				139	1	3	-1	-1	122	122	0
降龙掌				139	1	3	-1	-1	274	274	0
滑不留手				139	1	3	-1	-1	277	277	0
丐帮棒法				139	1	3	-1	-1	115	115	0
沿门托钵				139	1	3	-1	-1	119	119	0
打狗阵				139	1	3	-1	-1	124	124	0
天忍矛法				139	1	3	-1	-1	132	132	0
偷天换日				139	1	3	-1	-1	142	142	0
残阳如血				139	1	3	-1	-1	135	135	0
烈火情天				139	1	3	-1	-1	141	141	0
五行阵				139	1	3	-1	-1	146	146	0
天忍刀法				139	1	3	-1	-1	131	131	0
魔炎七杀1				139	1	3	-1	-1	148	148	0
弹指烈焰				139	1	3	-1	-1	145	145	0
推山填海1				139	1	3	-1	-1	138	138	0
厉魔夺魂				139	1	3	-1	-1	143	143	0
火莲焚华				139	1	3	-1	-1	136	136	0
幻影飞狐				139	1	3	-1	-1	137	137	0
飞鸿无迹1				139	1	3	-1	-1	140	140	0
武当剑法				139	1	3	-1	-1	151	151	0
三环套月				139	1	3	-1	-1	267	267	0
沧海明月				139	1	3	-1	-1	155	155	0
剑飞惊天				139	1	3	-1	-1	158	158	0
梯云纵				139	1	3	-1	-1	160	160	0
武当拳法				139	1	3	-1	-1	152	152	0
无我无剑1				139	1	3	-1	-1	165	165	0
怒雷指				139	1	3	-1	-1	153	153	0
剥及而复1				139	1	3	-1	-1	164	164	0
昆仑刀法				139	1	3	-1	-1	167	167	0
狂风骤电				139	1	3	-1	-1	176	176	0
呼风法				139	1	3	-1	-1	169	169	0
一气三清符				139	1	3	-1	-1	178	178	0
清风符1				139	1	3	-1	-1	171	171	0
昆仑剑法				139	1	3	-1	-1	168	168	0
五雷正法				139	1	3	-1	-1	182	182	0
狂雷震地				139	1	3	-1	-1	179	179	0
天际迅雷				139	1	3	-1	-1	172	172	0
欺寒傲雪				139	1	3	-1	-1	175	175	0
醉仙错骨				43	1	3	-1	-1	0	0	0
天清地浊1				139	1	3	-1	-1	173	173	0
弃心符				139	1	3	-1	-1	181	181	0
断魂刺				139	1	3	-1	-1	40	40	0
静心诀				139	1	3	-1	-1	33	33	0
雪影				139	1	3	-1	-1	109	109	0
无形蛊				139	1	3	-1	-1	69	69	0
慧眼咒				139	1	3	-1	-1	18	18	0
坐望无我				139	1	3	-1	-1	157	157	0
纯阳心法				139	1	3	-1	-1	156	156	0
七星阵				139	1	3	-1	-1	159	159	0
梯云纵				139	1	3	-1	-1	160	160	0
棒打恶狗				139	1	3	-1	-1	125	125	0
逍遥功				43	1	3	-1	-1	0	0	0
碧海潮生				139	1	3	-1	-1	111	111	0
近反1				118	5	10	-1	-1	0	0	0
近反2				118	8	12	-1	-1	0	0	0
近反3				118	12	16	-1	-1	0	0	0
远反1				120	5	10	-1	-1	0	0	0
远反2				120	8	12	-1	-1	0	0	0
远反3				120	12	16	-1	-1	0	0	0
力量5				97	-55	5	-1	-1	0	0	0
外功5				99	-55	5	-1	-1	0	0	0
内功5				100	-55	5	-1	-1	0	0	0
身法5				98	-55	5	-1	-1	0	0	0
内功攻速1				116	10	20	-1	-1	0	0	0
内功攻速2				116	18	30	-1	-1	0	0	0
内功攻速3				116	20	40	-1	-1	0	0	0
内功攻速4				116	45	60	-1	-1	0	0	0
打击回复5				113	40	50	-1	-1	0	0	0
普防5				104	25	30	-1	-1	0	0	0
跑速5				111	36	45	-1	-1	0	0	0
减少冰冻时间5				106	40	50	-1	-1	0	0	0
全抗5				114	15	20	-1	-1	0	0	0
火防5				102	25	30	-1	-1	0	0	0
冰防5				105	25	30	-1	-1	0	0	0
毒防5				101	25	30	-1	-1	0	0	0
生命5				85	80	120	-1	-1	0	0	0
幸运4				135	1	2	-1	-1	0	0	0
幸运5				135	1	3	-1	-1	0	0	0
普防6				104	20	25	-1	-1	0	0	0
力量6				97	8	12	-1	-1	0	0	0
身法6				98	8	12	-1	-1	0	0	0
跑速6				111	40	60	-1	-1	0	0	0
冰防6				105	20	25	-1	-1	0	0	0
毒防6				101	20	25	-1	-1	0	0	0
不动明王				139	1	3	-1	-1	15	15	0
达摩渡江1				139	1	3	-1	-1	318	318	0
横扫千军				139	1	3	-1	-1	319	319	0
无相斩				139	1	3	-1	-1	321	321	0
破天斩				139	1	3	-1	-1	322	322	0
推窗望月				139	1	3	-1	-1	385	385	0
三峨霁雪				139	1	3	-1	-1	328	328	0
风霜碎影				139	1	3	-1	-1	380	380	0
梦蝶1				139	1	3	-1	-1	89	89	0
普渡众生				139	1	3	-1	-1	332	332	0
冰踪无影				139	1	3	-1	-1	336	336	0
阴风蚀骨				139	1	3	-1	-1	353	353	0
百毒穿心				139	1	3	-1	-1	384	384	0
玄阴斩				139	1	3	-1	-1	355	355	0
断筋腐骨				139	1	3	-1	-1	390	390	0
慑魂月影				139	1	3	-1	-1	339	339	0
暴雨梨花				139	1	3	-1	-1	302	302	0
九宫飞星				139	1	3	-1	-1	342	342	0
乱环击				139	1	3	-1	-1	351	351	0
飞龙在天				139	1	3	-1	-1	357	357	0
天下无狗				139	1	3	-1	-1	359	359	0
云龙击				139	1	3	-1	-1	361	361	0
天外流星				139	1	3	-1	-1	362	362	0
慑魂乱心1				139	1	3	-1	-1	391	391	0
天地无极1				139	1	3	-1	-1	365	365	0
人剑合一				139	1	3	-1	-1	368	368	0
傲雪啸风				139	1	3	-1	-1	372	372	0
雷动九天				139	1	3	-1	-1	375	375	0
束缚咒1				139	1	3	-1	-1	392	392	0
北冥到海1				139	1	3	-1	-1	393	393	0
迷踪幻影				139	1	3	-1	-1	90	90	0
醉仙错骨				139	1	3	-1	-1	394	394	0
雷防5				103	6	12	-1	-1	0	0	0
雷防6				103	6	18	-1	-1	0	0	0
火防6				102	5	10	-1	-1	0	0	0
火防7				102	5	15	-1	-1	0	0	0
普防7				104	5	8	-1	-1	0	0	0
冰防7				105	5	15	-1	-1	0	0	0
毒防7				101	5	10	-1	-1	0	0	0
毒防8				101	5	15	-1	-1	0	0	0
内力5				89	80	120	-1	-1	0	0	0
跑速7				111	20	30	-1	-1	0	0	0
减少冰冻时间6				106	20	30	-1	-1	0	0	0
全抗6				114	2	5	-1	-1	0	0	0
生命6				85	60	80	-1	-1	0	0	0
内力6				89	60	80	-1	-1	0	0	0
生命7				85	33	33	-1	-1	0	0	0
普防8				104	30	30	-1	-1	0	0	0
打击回复6				113	50	50	-1	-1	0	0	0
生命8				85	187	187	-1	-1	0	0	0
全抗7				114	20	20	-1	-1	0	0	0
火防8				102	11	11	-1	-1	0	0	0
内力7				89	88	88	-1	-1	0	0	0
外功6				99	2	2	-1	-1	0	0	0
体力5				93	41	41	-1	-1	0	0	0
普防9				104	25	25	-1	-1	0	0	0
生命9				85	68	68	-1	-1	0	0	0
减少冰冻时间7				106	20	20	-1	-1	0	0	0
生命10				85	30	30	-1	-1	0	0	0
雷防7				103	30	30	-1	-1	0	0	0
体力6				93	96	96	-1	-1	0	0	0
回体5				96	2	2	-1	-1	0	0	0
减少冰冻时间8				106	100	100	-1	-1	0	0	0
体力7				93	17	17	-1	-1	0	0	0
生命11				85	41	41	-1	-1	0	0	0
火防9				102	25	25	-1	-1	0	0	0
跑速8				111	37	37	-1	-1	0	0	0
外功7				99	6	6	-1	-1	0	0	0
内力8				89	69	69	-1	-1	0	0	0
外功8				99	4	4	-1	-1	0	0	0
命中5				166	249	249	-1	-1	0	0	0
外普%5				126	94	94	-1	-1	6	6	0
外普点数4				121	31	31	-1	-1	0	0	0
吸血4				136	7	7	-1	-1	0	0	0
外冰点数4				123	115	115	-1	-1	0	0	0
生命12				85	181	181	-1	-1	0	0	0
回血5				88	6	6	-1	-1	0	0	0
减少冰冻时间9				106	40	40	-1	-1	0	0	0
内力9				89	139	139	-1	-1	0	0	0
身法7				98	20	20	-1	-1	0	0	0
打击回复7				113	40	40	-1	-1	0	0	0
回血6				88	5	5	-1	-1	0	0	0
减少眩晕时间5				110	40	40	-1	-1	0	0	0
生命13				85	188	188	-1	-1	0	0	0
生命14				85	187	187	-1	-1	0	0	0
内力10				89	191	191	-1	-1	0	0	0
生命15				85	180	180	-1	-1	0	0	0
内力11				89	132	132	-1	-1	0	0	0
跑速9				111	40	40	-1	-1	0	0	0
生命16				85	200	200	-1	-1	0	0	0
外功9				99	19	19	-1	-1	0	0	0
经验1				176	15	25	-1	-1	0	0	0
全抗8				114	8	12	-1	-1	0	0	0
减少中毒时间5				108	50	80	-1	-1	0	0	0
减少眩晕时间6				110	30	40	-1	-1	0	0	0
生命17				85	200	300	-1	-1	0	0	0
雷防8				103	30	35	-1	-1	0	0	0
减少中毒时间6				108	30	50	-1	-1	0	0	0
内力12				89	200	300	-1	-1	0	0	0
冰心仙子				139	1	3	-1	-1	337	337	0
减少眩晕时间7				110	30	50	-1	-1	0	0	0
毒防9				101	30	50	-1	-1	0	0	0
会心一击率1				70	3	5	-1	-1	0	0	0
会心一击率2				70	5	8	-1	-1	0	0	0
内冰伤4				169	80	120	-1	-1	0	0	0
玄天无极				139	1	3	-1	-1	630	630	0
生命18				85	299	299	-1	-1	0	0	0
内力13				89	299	299	-1	-1	0	0	0
生命19				85	80	160	-1	-1	0	0	0
全抗9				114	3	5	-1	-1	0	0	0
雷防9				103	5	10	-1	-1	0	0	0
打击回复8				113	60	60	-1	-1	0	0	0
内力14				89	200	200	-1	-1	0	0	0
跑速10				111	60	60	-1	-1	0	0	0
减少冰冻时间10				106	30	40	-1	-1	0	0	0
雷防10				103	20	25	-1	-1	0	0	0
减少冰冻时间11				106	30	50	-1	-1	0	0	0
全抗10				114	12	12	-1	-1	0	0	0
内力15				89	80	80	-1	-1	0	0	0
冰防8				105	24	24	-1	-1	0	0	0
毒防10				101	24	24	-1	-1	0	0	0
火防10				102	24	24	-1	-1	0	0	0
外普%6				126	135	135	-1	-1	6	6	0
外功攻速5				115	36	36	-1	-1	0	0	0
命中6				166	560	560	-1	-1	0	0	0
外普点数5				121	56	56	-1	-1	0	0	0
吸内4				137	6	6	-1	-1	0	0	0
如来千叶2				139	3	3	-1	-1	273	273	0
生命20				85	160	160	-1	-1	0	0	0
外普%7				126	120	120	-1	-1	6	6	0
忽略闪避3				58	2	2	-1	-1	0	0	0
命中7				166	240	240	-1	-1	0	0	0
外普%8				126	80	80	-1	-1	6	6	0
外普点数6				121	40	40	-1	-1	0	0	0
吸血5				136	6	6	-1	-1	0	0	0
外冰点数5				123	100	100	-1	-1	0	0	0
外功10				99	0	0	-1	-1	0	0	0
命中8				166	320	320	-1	-1	0	0	0
佛法无边2				139	3	3	-1	-1	252	252	0
冰骨雪心2				139	3	3	-1	-1	114	114	0
生命21				85	360	360	-1	-1	0	0	0
内功攻速5				116	36	36	-1	-1	0	0	0
翠烟双刀2				139	3	3	-1	-1	97	97	0
内冰伤5				169	260	260	-1	-1	0	0	0
内力16				89	360	360	-1	-1	0	0	0
外功攻速6				115	29	29	-1	-1	0	0	0
外毒点数4				125	27	27	-1	-1	0	0	0
外功攻速7				115	56	56	-1	-1	0	0	0
心眼2				139	3	3	-1	-1	48	48	0
醉碟狂舞2				139	3	3	-1	-1	130	130	0
天魔解体2				139	3	3	-1	-1	150	150	0
太极神功2				139	3	3	-1	-1	166	166	0
外普%9				126	100	100	-1	-1	6	6	0
霜傲昆仑2				139	3	3	-1	-1	275	275	0
身法8				98	2	2	-1	-1	0	0	0
内力17				89	170	170	-1	-1	0	0	0
力量7				97	2	2	-1	-1	0	0	0
生命22				85	170	170	-1	-1	0	0	0
体力8				93	210	210	-1	-1	0	0	0
幸运6				135	20	20	-1	-1	0	0	0
内力18				89	210	210	-1	-1	0	0	0
体力9				93	170	170	-1	-1	0	0	0
生命23				85	210	210	-1	-1	0	0	0
全抗11				114	10	10	-1	-1	0	0	0
经验2				176	20	20	-1	-1	0	0	0
生命24				85	100	100	-1	-1	0	0	0
经验3				176	100	100	-1	-1	0	0	0
打击回复9				113	56	56	-1	-1	0	0	0
少林拳法2				139	3	3	-1	-1	8	8	0
普防10				104	28	28	-1	-1	0	0	0
内力19				89	180	180	-1	-1	0	0	0
达摩渡江2				139	3	3	-1	-1	318	318	0
生命25				85	35	35	-1	-1	0	0	0
外功11				99	3	3	-1	-1	0	0	0
内冰伤6				169	180	180	-1	-1	0	0	0
峨嵋掌法2				139	3	3	-1	-1	79	79	0
佛光普照2				139	3	3	-1	-1	91	91	0
雷防11				103	28	28	-1	-1	0	0	0
梦蝶2				139	3	3	-1	-1	89	89	0
普防11				104	22	22	-1	-1	0	0	0
全抗12				114	22	22	-1	-1	0	0	0
缩短毒发间隔2				164	18	18	-1	-1	0	0	0
外功12				99	36	36	-1	-1	0	0	0
跑速11				111	45	45	-1	-1	0	0	0
雷防12				103	3	3	-1	-1	0	0	0
万蛊蚀心2				139	3	3	-1	-1	73	73	0
毒防11				101	45	45	-1	-1	0	0	0
九天狂雷2				139	3	3	-1	-1	67	67	0
毒刺骨2				139	3	3	-1	-1	303	303	0
地焰火2				139	3	3	-1	-1	347	347	0
内力20				89	30	30	-1	-1	0	0	0
打击回复10				113	48	48	-1	-1	0	0	0
亢龙有悔2				139	3	3	-1	-1	128	128	0
慑魂乱心2				139	3	3	-1	-1	391	391	0
飞鸿无迹2				139	3	3	-1	-1	140	140	0
冰防9				105	28	28	-1	-1	0	0	0
悲酥清风2				139	3	3	-1	-1	364	364	0
跑速12				111	56	56	-1	-1	0	0	0
推山填海2				139	3	3	-1	-1	138	138	0
魔炎七杀2				139	3	3	-1	-1	148	148	0
天地无极2				139	3	3	-1	-1	365	365	0
剥及而复2				139	3	3	-1	-1	164	164	0
毒防12				101	28	28	-1	-1	0	0	0
无我无剑2				139	3	3	-1	-1	165	165	0
减少中毒时间7				108	36	36	-1	-1	0	0	0
天清地浊2				139	3	3	-1	-1	173	173	0
清风符2				139	3	3	-1	-1	171	171	0
束缚咒2				139	3	3	-1	-1	392	392	0
北冥到海2				139	3	3	-1	-1	393	393	0
生命26				85	199	199	-1	-1	0	0	0
生命27				85	49	49	-1	-1	0	0	0
减少冰冻时间12				106	50	50	-1	-1	0	0	0
减少中毒时间8				108	80	80	-1	-1	0	0	0
内力21				89	199	199	-1	-1	0	0	0
冰防10				105	30	30	-1	-1	0	0	0
毒防13				101	30	30	-1	-1	0	0	0
火防11				102	30	30	-1	-1	0	0	0
冰防11				105	20	20	-1	-1	0	0	0
毒防14				101	20	20	-1	-1	0	0	0
火防12				102	20	20	-1	-1	0	0	0
生命28				85	60	60	-1	-1	0	0	0
打击回复11				113	30	30	-1	-1	0	0	0
生命29				85	-49	-49	-1	-1	0	0	0
普防12				104	20	20	-1	-1	0	0	0
跑速13				111	30	30	-1	-1	0	0	0
减少冰冻时间13				106	30	30	-1	-1	0	0	0
减少中毒时间9				108	40	40	-1	-1	0	0	0
全抗13				114	10	10	-1	-1	0	0	0
内力22				89	60	60	-1	-1	0	0	0
冰防12				105	20	20	-1	-1	0	0	0
毒防15				101	20	20	-1	-1	0	0	0
火防13				102	20	20	-1	-1	0	0	0
生命30				85	200	200	-1	-1	0	0	0
打击回复12				113	50	50	-1	-1	0	0	0
生命31				85	50	50	-1	-1	0	0	0
普防13				104	30	30	-1	-1	0	0	0
跑速14				111	45	45	-1	-1	0	0	0
减少冰冻时间14				106	50	50	-1	-1	0	0	0
减少中毒时间10				108	80	80	-1	-1	0	0	0
全抗14				114	20	20	-1	-1	0	0	0
内力23				89	200	200	-1	-1	0	0	0
冰防13				105	30	30	-1	-1	0	0	0
毒防16				101	30	30	-1	-1	0	0	0
火防14				102	30	30	-1	-1	0	0	0
减少中毒时间11				108	40	40	-1	-1	0	0	0
力量8				97	24	24	-1	-1	0	0	0
生命32				85	240	240	-1	-1	0	0	0
全抗15				114	5	5	-1	-1	0	0	0
毒防17				101	25	25	-1	-1	0	0	0
减少冰冻时间15				106	40	40	-1	-1	0	0	0
内功6				100	24	24	-1	-1	0	0	0
普防14				104	25	25	-1	-1	0	0	0
力量9				97	1	1	-1	-1	0	0	0
身法9				98	1	1	-1	-1	0	0	0
身法10				98	-5	-5	-1	-1	0	0	0
