02:01:11	 Account: vantuan1	Name: MãcÙLèp	 DelItem: CÈm nang ®ång hµnh
15:54:50	 Account: gcity01	Name: eeeeee	 DelItem: Ngù T©m thuËt
15:54:50	 Account: gcity01	Name: eeeeee	 DelItem: Ngù L«i thuËt
15:54:50	 Account: gcity01	Name: eeeeee	 DelItem: Ngù Phong thuËt
15:54:50	 Account: gcity01	Name: eeeeee	 DelItem: Th¸i Cùc KiÕm Phæ. QuyÓn 2
15:54:50	 Account: gcity01	Name: eeeeee	 DelItem: NhiÕp Hån. Chó thuËt
15:54:50	 Account: gcity01	Name: eeeeee	 DelItem: V©n Long KÝch. M©u ph¸p
15:54:50	 Account: gcity01	Name: eeeeee	 DelItem: L­u Tinh. §ao ph¸p
15:54:50	 Account: gcity01	Name: eeeeee	 DelItem: C¸i Bang Ch­ëng Ph¸p
15:54:50	 Account: gcity01	Name: eeeeee	 DelItem: C¸i Bang C«n ph¸p
15:54:50	 Account: gcity01	Name: eeeeee	 DelItem: Thóy Yªn Song ®ao
15:54:50	 Account: gcity01	Name: eeeeee	 DelItem: Thóy Yªn §ao ph¸p
15:54:50	 Account: gcity01	Name: eeeeee	 DelItem: Phæ §é MËt TÞch
15:54:50	 Account: gcity01	Name: eeeeee	 DelItem: Nga Mi  PhËt Quang Ch­ëng MËt TÞch
15:54:50	 Account: gcity01	Name: eeeeee	 DelItem: DiÖt KiÕm MËt TÞch
15:54:50	 Account: gcity01	Name: eeeeee	 DelItem: H·m TÜnh thuËt.Lo¹n Hoµn KÝch
15:54:50	 Account: gcity01	Name: eeeeee	 DelItem: Phi Tiªu thuËt. Cöu Cung Phi Tinh
15:54:50	 Account: gcity01	Name: eeeeee	 DelItem: Tô TiÔn thuËt. B¹o Vò Lª Hoa
15:54:50	 Account: gcity01	Name: eeeeee	 DelItem: Thiªn V­¬ng §ao ph¸p.QuyÓn 3
15:54:50	 Account: gcity01	Name: eeeeee	 DelItem: ThiÕu L©m QuyÒn Ph¸p. QuyÓn 1
15:54:50	 Account: gcity01	Name: eeeeee	 DelItem: ThiÕu L©m C«n ph¸p. QuyÓn 2
15:54:50	 Account: gcity01	Name: eeeeee	 DelItem: ThiÕu L©m §ao ph¸p. QuyÓn 3
19:55:41	 Account: vunguyen84	Name: ThienNhanKich	 DelItem: TiÒn ®ång
19:55:41	 Account: vunguyen84	Name: ThienNhanKich	 DelItem: TiÒn ®ång
19:55:41	 Account: vunguyen84	Name: ThienNhanKich	 DelItem: TiÒn ®ång
19:55:41	 Account: vunguyen84	Name: ThienNhanKich	 DelItem: TiÒn ®ång
20:39:28	 Account: gcity01	Name: newgamer	 DelItem: TÈy Tñy Kinh
21:02:49	 Account: vantuan2	Name: hjhkjhjkh	 DelItem: CÈm nang ®ång hµnh
21:07:01	 Account: gcity01	Name: conlon	 DelItem: M¶nh Thiªn th¹ch
21:07:01	 Account: gcity01	Name: conlon	 DelItem: §iÒn Hoµng th¹ch
21:07:01	 Account: gcity01	Name: conlon	 DelItem: Kª HuyÕt Th¹ch 
21:07:01	 Account: gcity01	Name: conlon	 DelItem: B¨ng ThiÒm T¬
21:07:01	 Account: gcity01	Name: conlon	 DelItem: B¨ng th¹ch kÕt tinh
21:07:01	 Account: gcity01	Name: conlon	 DelItem: Cóc Hoa Th¹ch
21:07:53	 Account: gcity01	Name: conlon	 DelItem: TiÒn ®ång
21:07:53	 Account: gcity01	Name: conlon	 DelItem: TiÒn ®ång
22:18:57	 Account: vunguyen84	Name: ThienNhanKich	 DelItem: TiÒn ®ång
22:18:57	 Account: vunguyen84	Name: ThienNhanKich	 DelItem: TiÒn ®ång
22:18:57	 Account: vunguyen84	Name: ThienNhanKich	 DelItem: TiÒn ®ång
22:18:57	 Account: vunguyen84	Name: ThienNhanKich	 DelItem: TiÒn ®ång
