01:47:24	 Account: tuanlovekun5	Name: §­êngÙM«n	 DelItem: Tóc S­¬ng
14:09:15	 Account: dophohk	Name: HoangKim	 DelItem: S¸ch kü n¨ng cÊp 90
14:23:59	 Account: timlaivohien5	Name: EyeSmile11	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
14:23:59	 Account: timlaivohien5	Name: EyeSmile11	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
14:23:59	 Account: timlaivohien5	Name: EyeSmile11	 DelItem: Kim Phong HËu NghÖ dÉn cung
14:23:59	 Account: timlaivohien5	Name: EyeSmile11	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
14:23:59	 Account: timlaivohien5	Name: EyeSmile11	 DelItem: Kim Phong Lan §×nh Ngäc
14:23:59	 Account: timlaivohien5	Name: EyeSmile11	 DelItem: Kim Phong Thanh D­¬ng Kh«i
14:23:59	 Account: timlaivohien5	Name: EyeSmile11	 DelItem: Kim Phong Kú L©n HuyÕt
14:23:59	 Account: timlaivohien5	Name: EyeSmile11	 DelItem: Kim Phong Tr¹c Liªn Quang
14:23:59	 Account: timlaivohien5	Name: EyeSmile11	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
15:30:36	 Account: timlaivohien4	Name: EyeSmile12	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
15:30:36	 Account: timlaivohien4	Name: EyeSmile12	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
15:30:36	 Account: timlaivohien4	Name: EyeSmile12	 DelItem: Kim Phong HËu NghÖ dÉn cung
15:30:36	 Account: timlaivohien4	Name: EyeSmile12	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
15:30:36	 Account: timlaivohien4	Name: EyeSmile12	 DelItem: Kim Phong Lan §×nh Ngäc
15:30:36	 Account: timlaivohien4	Name: EyeSmile12	 DelItem: Kim Phong Thanh D­¬ng Kh«i
15:30:36	 Account: timlaivohien4	Name: EyeSmile12	 DelItem: Kim Phong Kú L©n HuyÕt
15:30:36	 Account: timlaivohien4	Name: EyeSmile12	 DelItem: Kim Phong Tr¹c Liªn Quang
15:30:36	 Account: timlaivohien4	Name: EyeSmile12	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
16:23:06	 Account: minhtrand29	Name: Cµytien01	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
16:23:06	 Account: minhtrand29	Name: Cµytien01	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
16:23:06	 Account: minhtrand29	Name: Cµytien01	 DelItem: Kim Phong HËu NghÖ dÉn cung
16:23:06	 Account: minhtrand29	Name: Cµytien01	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
16:23:06	 Account: minhtrand29	Name: Cµytien01	 DelItem: Kim Phong Lan §×nh Ngäc
16:23:06	 Account: minhtrand29	Name: Cµytien01	 DelItem: Kim Phong Thanh D­¬ng Kh«i
16:23:06	 Account: minhtrand29	Name: Cµytien01	 DelItem: Kim Phong Kú L©n HuyÕt
16:23:06	 Account: minhtrand29	Name: Cµytien01	 DelItem: Kim Phong Tr¹c Liªn Quang
16:23:06	 Account: minhtrand29	Name: Cµytien01	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
16:29:24	 Account: ctcshxt4	Name: CTCÙTiÒnÙ04	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
16:29:24	 Account: ctcshxt4	Name: CTCÙTiÒnÙ04	 DelItem: Kim Phong Thanh D­¬ng Kh«i
16:29:24	 Account: ctcshxt4	Name: CTCÙTiÒnÙ04	 DelItem: Kim Phong Kú L©n HuyÕt
16:29:24	 Account: ctcshxt4	Name: CTCÙTiÒnÙ04	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
16:36:38	 Account: ctcshxt4	Name: CTCÙTiÒnÙ04	 DelItem: Kim Phong Lan §×nh Ngäc
16:36:38	 Account: ctcshxt4	Name: CTCÙTiÒnÙ04	 DelItem: Kim Phong Tr¹c Liªn Quang
16:41:24	 Account: ctcshxt4	Name: CTCÙTiÒnÙ04	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
16:44:07	 Account: ctcshxt1	Name: CTCÙTiÒnÙ01	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
16:44:07	 Account: ctcshxt1	Name: CTCÙTiÒnÙ01	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
16:44:07	 Account: ctcshxt1	Name: CTCÙTiÒnÙ01	 DelItem: Kim Phong Lan §×nh Ngäc
16:44:07	 Account: ctcshxt1	Name: CTCÙTiÒnÙ01	 DelItem: Kim Phong Thanh D­¬ng Kh«i
16:44:07	 Account: ctcshxt1	Name: CTCÙTiÒnÙ01	 DelItem: Kim Phong Tr¹c Liªn Quang
16:44:07	 Account: ctcshxt1	Name: CTCÙTiÒnÙ01	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
16:45:38	 Account: ctcshxt2	Name: CTCÙTiÒnÙ02	 DelItem: Kim Phong Lan §×nh Ngäc
16:45:38	 Account: ctcshxt2	Name: CTCÙTiÒnÙ02	 DelItem: Kim Phong Thanh D­¬ng Kh«i
16:45:38	 Account: ctcshxt2	Name: CTCÙTiÒnÙ02	 DelItem: Kim Phong Tr¹c Liªn Quang
16:45:38	 Account: ctcshxt2	Name: CTCÙTiÒnÙ02	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
16:47:14	 Account: ctcshxt3	Name: CTCÙTiÒnÙ03	 DelItem: Kim Phong Lan §×nh Ngäc
16:47:14	 Account: ctcshxt3	Name: CTCÙTiÒnÙ03	 DelItem: Kim Phong Thanh D­¬ng Kh«i
16:47:14	 Account: ctcshxt3	Name: CTCÙTiÒnÙ03	 DelItem: Kim Phong Tr¹c Liªn Quang
16:48:39	 Account: ctcshxt5	Name: CTCÙTiÒnÙ05	 DelItem: Kim Phong Lan §×nh Ngäc
16:48:39	 Account: ctcshxt5	Name: CTCÙTiÒnÙ05	 DelItem: Kim Phong Thanh D­¬ng Kh«i
16:48:39	 Account: ctcshxt5	Name: CTCÙTiÒnÙ05	 DelItem: Kim Phong Tr¹c Liªn Quang
16:50:27	 Account: ctcshxt6	Name: CTCÙTiÒnÙ06	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
16:50:27	 Account: ctcshxt6	Name: CTCÙTiÒnÙ06	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
16:50:27	 Account: ctcshxt6	Name: CTCÙTiÒnÙ06	 DelItem: Kim Phong HËu NghÖ dÉn cung
16:50:27	 Account: ctcshxt6	Name: CTCÙTiÒnÙ06	 DelItem: Kim Phong Lan §×nh Ngäc
16:50:27	 Account: ctcshxt6	Name: CTCÙTiÒnÙ06	 DelItem: Kim Phong Thanh D­¬ng Kh«i
16:50:27	 Account: ctcshxt6	Name: CTCÙTiÒnÙ06	 DelItem: Kim Phong Kú L©n HuyÕt
16:50:27	 Account: ctcshxt6	Name: CTCÙTiÒnÙ06	 DelItem: Kim Phong Tr¹c Liªn Quang
16:50:27	 Account: ctcshxt6	Name: CTCÙTiÒnÙ06	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
17:31:57	 Account: minhtrand5	Name: LÇyÙAÙMinh	 DelItem: Kim Phong Tr¹c Liªn Quang
17:31:57	 Account: minhtrand5	Name: LÇyÙAÙMinh	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
17:31:57	 Account: minhtrand5	Name: LÇyÙAÙMinh	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
17:31:57	 Account: minhtrand5	Name: LÇyÙAÙMinh	 DelItem: Kim Phong Thanh D­¬ng Kh«i
17:31:57	 Account: minhtrand5	Name: LÇyÙAÙMinh	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
17:31:57	 Account: minhtrand5	Name: LÇyÙAÙMinh	 DelItem: Kim Phong Kú L©n HuyÕt
17:31:57	 Account: minhtrand5	Name: LÇyÙAÙMinh	 DelItem: Kim Phong Lan §×nh Ngäc
17:31:57	 Account: minhtrand5	Name: LÇyÙAÙMinh	 DelItem: Kim Phong HËu NghÖ dÉn cung
17:31:57	 Account: minhtrand5	Name: LÇyÙAÙMinh	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
17:39:43	 Account: phamtungdhv6	Name: ZzYunazZ	 DelItem: Khæng T­íc Linh
17:50:09	 Account: ribi04	Name: BOSSOS	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
17:50:09	 Account: ribi04	Name: BOSSOS	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
17:50:09	 Account: ribi04	Name: BOSSOS	 DelItem: Kim Phong HËu NghÖ dÉn cung
17:50:09	 Account: ribi04	Name: BOSSOS	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
17:50:09	 Account: ribi04	Name: BOSSOS	 DelItem: Kim Phong Lan §×nh Ngäc
17:50:09	 Account: ribi04	Name: BOSSOS	 DelItem: Kim Phong Thanh D­¬ng Kh«i
17:50:09	 Account: ribi04	Name: BOSSOS	 DelItem: Kim Phong Kú L©n HuyÕt
17:50:09	 Account: ribi04	Name: BOSSOS	 DelItem: Kim Phong Tr¹c Liªn Quang
17:50:09	 Account: ribi04	Name: BOSSOS	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
18:32:15	 Account: hieuham1996	Name: TriÖuÙTöÙLong	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
18:32:23	 Account: hieuham1996	Name: TriÖuÙTöÙLong	 DelItem: Kim Phong Thanh D­¬ng Kh«i
18:32:29	 Account: hieuham1996	Name: TriÖuÙTöÙLong	 DelItem: Kim Phong Tr¹c Liªn Quang
18:46:16	 Account: timlaivohien5	Name: EyeSmile14	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
18:46:16	 Account: timlaivohien5	Name: EyeSmile14	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
18:46:16	 Account: timlaivohien5	Name: EyeSmile14	 DelItem: Kim Phong HËu NghÖ dÉn cung
18:46:16	 Account: timlaivohien5	Name: EyeSmile14	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
18:46:16	 Account: timlaivohien5	Name: EyeSmile14	 DelItem: Kim Phong Lan §×nh Ngäc
18:46:16	 Account: timlaivohien5	Name: EyeSmile14	 DelItem: Kim Phong Thanh D­¬ng Kh«i
18:46:16	 Account: timlaivohien5	Name: EyeSmile14	 DelItem: Kim Phong Kú L©n HuyÕt
18:46:16	 Account: timlaivohien5	Name: EyeSmile14	 DelItem: Kim Phong Tr¹c Liªn Quang
18:46:16	 Account: timlaivohien5	Name: EyeSmile14	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
20:01:30	 Account: luukt53	Name: NgoalongVD	 DelItem: T¨ng Hµi
21:35:15	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Hång ¶nh ThÈm Viªn UyÓn
21:35:15	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Hång ¶nh KiÕm Bµi
21:35:15	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Hång ¶nh Môc Tóc
21:35:15	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Hång ¶nh Tô Chiªu
21:35:15	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Hång ¶nh ThÈm Viªn UyÓn
22:18:23	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Hång ¶nh ThÈm Viªn UyÓn
22:18:23	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Hång ¶nh ThÈm Viªn UyÓn
22:18:23	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Hång ¶nh ThÈm Viªn UyÓn
22:18:23	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Hång ¶nh ThÈm Viªn UyÓn
22:18:33	 Account: tranvinh04	Name: B­ímÙEmÙCãÙ§éc	 DelItem: M¶nh HiÖp Cèt ThiÕt HuyÕt Sam (3/4) 
22:18:33	 Account: tranvinh04	Name: B­ímÙEmÙCãÙ§éc	 DelItem: M¶nh HiÖp Cèt §an T©m Giíi (1/4) 
22:18:33	 Account: tranvinh04	Name: B­ímÙEmÙCãÙ§éc	 DelItem: M¶nh Nhu T×nh Thôc N÷ H¹ng Liªn (2/4) 
22:18:33	 Account: tranvinh04	Name: B­ímÙEmÙCãÙ§éc	 DelItem: M¶nh Trang bÞ Thiªn Hoµng thø 5
22:18:33	 Account: tranvinh04	Name: B­ímÙEmÙCãÙ§éc	 DelItem: M¶nh Trang bÞ Thiªn Hoµng thø 1
23:14:02	 Account: tranvinh03	Name: ItsÙMyLife	 DelItem: LÖnh bµi Phong L¨ng §é
23:30:04	 Account: ctcshxt1	Name: CTCÙTiÒnÙ01	 DelItem: Kim Phong Kú L©n HuyÕt
23:34:20	 Account: kingvl1	Name: HáaLongCaCa	 DelItem: Tóc S­¬ng
23:34:25	 Account: kingvl1	Name: HáaLongCaCa	 DelItem: Kim Phong Kú L©n HuyÕt
23:34:32	 Account: kingvl1	Name: HáaLongCaCa	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:34:38	 Account: kingvl1	Name: HáaLongCaCa	 DelItem: Kim Phong Lan §×nh Ngäc
23:34:43	 Account: kingvl1	Name: HáaLongCaCa	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:36:19	 Account: ctc01	Name: ctc01a	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:36:19	 Account: ctc01	Name: ctc01a	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:36:19	 Account: ctc01	Name: ctc01a	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:36:19	 Account: ctc01	Name: ctc01a	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:36:19	 Account: ctc01	Name: ctc01a	 DelItem: Kim Phong Lan §×nh Ngäc
23:36:19	 Account: ctc01	Name: ctc01a	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:36:19	 Account: ctc01	Name: ctc01a	 DelItem: Kim Phong Kú L©n HuyÕt
23:36:19	 Account: ctc01	Name: ctc01a	 DelItem: Kim Phong Tr¹c Liªn Quang
23:36:19	 Account: ctc01	Name: ctc01a	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:43:02	 Account: ctc01	Name: ctc01b	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:43:02	 Account: ctc01	Name: ctc01b	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:43:02	 Account: ctc01	Name: ctc01b	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:43:02	 Account: ctc01	Name: ctc01b	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:43:02	 Account: ctc01	Name: ctc01b	 DelItem: Kim Phong Lan §×nh Ngäc
23:43:02	 Account: ctc01	Name: ctc01b	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:43:02	 Account: ctc01	Name: ctc01b	 DelItem: Kim Phong Kú L©n HuyÕt
23:43:02	 Account: ctc01	Name: ctc01b	 DelItem: Kim Phong Tr¹c Liªn Quang
23:43:02	 Account: ctc01	Name: ctc01b	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:46:35	 Account: ctc01	Name: ctc01c	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:46:35	 Account: ctc01	Name: ctc01c	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:46:35	 Account: ctc01	Name: ctc01c	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:46:35	 Account: ctc01	Name: ctc01c	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:46:35	 Account: ctc01	Name: ctc01c	 DelItem: Kim Phong Lan §×nh Ngäc
23:46:35	 Account: ctc01	Name: ctc01c	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:46:35	 Account: ctc01	Name: ctc01c	 DelItem: Kim Phong Kú L©n HuyÕt
23:46:35	 Account: ctc01	Name: ctc01c	 DelItem: Kim Phong Tr¹c Liªn Quang
23:46:35	 Account: ctc01	Name: ctc01c	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
