0:0	Account: letutl79	 Name: LyAnAn	 Level: 1	 IP Address: 1.54.167.236 : 51439
2:41	Account: th113	 Name: S¨nÙBossÙ02	 Level: 80	 IP Address: 117.4.153.2 : 52368
2:41	Account: vunguyen1983	 Name: Thiennhan	 Level: 87	 IP Address: 27.75.46.206 : 57932
2:44	Account: th113	 Name: S¨nÙBossÙ02	 Level: 80	 IP Address: 117.4.153.2 : 52374
2:57	Account: th115	 Name: S¨nÙBossÙ01	 Level: 82	 IP Address: 117.4.153.2 : 52391
2:59	Account: minhtrand29	 Name: Cµytien01	 Level: 80	 IP Address: 14.174.119.34 : 49692
3:22	Account: minhtrand29	 Name: Cµytien01	 Level: 80	 IP Address: 14.174.119.34 : 49698
3:57	Account: huynhtrongtri12	 Name: KiÕmPhongKim	 Level: 97	 IP Address: 42.118.58.118 : 50529
3:57	Account: huynhtrongtri15	 Name: HáaS¸tNéiC«ng	 Level: 98	 IP Address: 42.118.58.118 : 50533
3:57	Account: huynhtrongtri13	 Name: B¨ngS¸tNéiC«ng	 Level: 99	 IP Address: 42.118.58.118 : 50534
3:57	Account: huynhtrongtri16	 Name: L«iS¸tNéiC«ng	 Level: 100	 IP Address: 42.118.58.118 : 50536
3:57	Account: huynhtrongtri14	 Name: §écS¸tNgo¹iC«ng	 Level: 109	 IP Address: 42.118.58.118 : 50539
3:58	Account: huynhtrongtri11	 Name: §écS¸tNéiC«ng	 Level: 116	 IP Address: 42.118.58.118 : 50544
6:15	Account: luukt53	 Name: NgoalongVD	 Level: 124	 IP Address: 123.25.218.214 : 48947
6:32	Account: tranvinh03	 Name: ItsÙMyLife	 Level: 96	 IP Address: 113.189.123.125 : 49162
6:39	Account: tranvinh04	 Name: B­ímÙEmÙCãÙ§éc	 Level: 101	 IP Address: 113.189.123.125 : 49165
6:46	Account: tranvinh04	 Name: B­ímÙEmÙCãÙ§éc	 Level: 101	 IP Address: 113.189.123.125 : 49171
7:5	Account: vunguyen1989	 Name: khongbietten	 Level: 96	 IP Address: 27.75.46.206 : 49374
7:8	Account: timlaivohien2	 Name: EyeSmile6	 Level: 88	 IP Address: 14.233.97.112 : 9089
7:15	Account: vunguyen1988	 Name: 111111111	 Level: 95	 IP Address: 27.75.46.206 : 49451
7:15	Account: 83vunguyen	 Name: TaLaThang	 Level: 80	 IP Address: 27.75.46.206 : 49455
7:16	Account: 83vunguyen	 Name: AnhThang	 Level: 80	 IP Address: 27.75.46.206 : 49457
7:30	Account: tranvinh04	 Name: B­ímÙEmÙCãÙ§éc	 Level: 101	 IP Address: 113.189.123.125 : 49185
7:31	Account: tranvinh03	 Name: ItsÙMyLife	 Level: 96	 IP Address: 113.189.123.125 : 49187
7:32	Account: tranvinh03	 Name: ItsÙMyLife	 Level: 96	 IP Address: 113.189.123.125 : 49189
7:35	Account: tranvinh03	 Name: ItsÙMyLife	 Level: 96	 IP Address: 113.189.123.125 : 49191
7:36	Account: tranvinh03	 Name: ItsÙMyLife	 Level: 96	 IP Address: 113.189.123.125 : 49193
7:49	Account: tranvinh04	 Name: B­ímÙEmÙCãÙ§éc	 Level: 101	 IP Address: 113.189.123.125 : 49195
7:50	Account: vunguyen1988	 Name: 111111111	 Level: 95	 IP Address: 27.75.46.206 : 50036
7:50	Account: minhtrand7	 Name: buffbuff	 Level: 80	 IP Address: 118.68.55.6 : 49278
7:50	Account: minhtrand7	 Name: buffbuff	 Level: 80	 IP Address: 118.68.55.6 : 49281
7:50	Account: minhtrand7	 Name: ancuopday	 Level: 80	 IP Address: 118.68.55.6 : 49283
7:50	Account: minhtrand8	 Name: 8657575	 Level: 80	 IP Address: 118.68.55.6 : 49285
7:50	Account: minhtrand8	 Name: 313131	 Level: 80	 IP Address: 118.68.55.6 : 49287
7:50	Account: minhtrand8	 Name: cuopcuop	 Level: 80	 IP Address: 118.68.55.6 : 49290
7:50	Account: minhtrand9	 Name: 3213131	 Level: 80	 IP Address: 118.68.55.6 : 49292
7:51	Account: minhtrand9	 Name: talaancuop	 Level: 80	 IP Address: 118.68.55.6 : 49294
7:51	Account: minhtrand9	 Name: 098080	 Level: 80	 IP Address: 118.68.55.6 : 49297
7:52	Account: tranvinh03	 Name: ItsÙMyLife	 Level: 96	 IP Address: 113.189.123.125 : 49197
7:57	Account: vunguyen1983	 Name: Thiennhan	 Level: 87	 IP Address: 27.75.46.206 : 50227
7:58	Account: minhtrand3	 Name: HáaÙLongÙTµÙNh©n	 Level: 103	 IP Address: 118.68.55.6 : 49335
7:58	Account: 83vunguyen	 Name: TaLaThang	 Level: 80	 IP Address: 27.75.46.206 : 50229
7:59	Account: minhtrand9	 Name: 3213131	 Level: 80	 IP Address: 118.68.55.6 : 49339
7:59	Account: minhtrand9	 Name: talaancuop	 Level: 80	 IP Address: 118.68.55.6 : 49341
7:59	Account: minhtrand9	 Name: talaancuop	 Level: 80	 IP Address: 118.68.55.6 : 49343
8:0	Account: minhtrand10	 Name: trumaancuop	 Level: 80	 IP Address: 118.68.55.6 : 49347
8:0	Account: minhtrand10	 Name: sanboss6	 Level: 80	 IP Address: 118.68.55.6 : 49349
8:0	Account: minhtrand10	 Name: 32131311	 Level: 80	 IP Address: 118.68.55.6 : 49351
8:6	Account: bando	 Name: HDÙMÑThiªnH¹	 Level: 117	 IP Address: 118.71.192.99 : 17448
8:8	Account: bando	 Name: HDÙMÑThiªnH¹	 Level: 117	 IP Address: 118.71.192.99 : 25450
8:9	Account: luukt56	 Name: NgoalongND	 Level: 96	 IP Address: 42.113.160.47 : 8541
8:11	Account: kingvl5	 Name: HDÙTh¶o	 Level: 87	 IP Address: 118.71.192.99 : 55279
8:13	Account: kingvl5	 Name: HDÙTh¶o	 Level: 87	 IP Address: 118.71.192.99 : 44330
8:15	Account: hieuham1996	 Name: TriÖuÙTöÙLong	 Level: 110	 IP Address: 27.73.149.169 : 49162
8:16	Account: hieuham1996	 Name: TriÖuÙTöÙLong	 Level: 110	 IP Address: 27.73.149.169 : 49169
8:17	Account: luukt53	 Name: NgoalongVD	 Level: 125	 IP Address: 123.25.218.214 : 47179
8:18	Account: luukt54	 Name: NgoalongNM	 Level: 106	 IP Address: 123.25.218.214 : 47200
8:34	Account: timlaivohien	 Name: EyeSmile	 Level: 93	 IP Address: 14.233.97.112 : 9953
8:36	Account: nonhandl	 Name: NhËmÙNg·ÙHµnhÙ	 Level: 122	 IP Address: 183.80.160.143 : 53440
8:37	Account: nonhantl	 Name: V«DanhÙThÇnÙT¨ng	 Level: 103	 IP Address: 183.80.160.143 : 53442
8:38	Account: nonhannm	 Name: NhËmÙDoanhÙDoanh	 Level: 102	 IP Address: 183.80.160.143 : 53444
8:39	Account: timlaivohien1	 Name: EyeSmile1	 Level: 80	 IP Address: 14.233.97.112 : 36321
8:39	Account: timlaivohien1	 Name: EyeSmile2	 Level: 89	 IP Address: 14.233.97.112 : 36993
8:39	Account: nonhanvd	 Name: Vâ§angÙCh©nÙNh©n	 Level: 100	 IP Address: 183.80.160.143 : 53448
8:39	Account: sarin1990	 Name: DocDepGhe	 Level: 82	 IP Address: 116.110.119.64 : 49212
8:39	Account: sarin	 Name: DocXinh8	 Level: 81	 IP Address: 116.110.119.64 : 37693
8:39	Account: nonhantn1	 Name: Th¸nhÙC«	 Level: 102	 IP Address: 183.80.160.143 : 53450
8:40	Account: nonhandm	 Name: ThµnhÙC¸tÙT­ÙH·n	 Level: 81	 IP Address: 183.80.160.143 : 53452
8:40	Account: thoakhungz1	 Name: §ÇuÙTräcÙ9ÙChÊm	 Level: 105	 IP Address: 171.251.230.114 : 49177
8:40	Account: nonhandm	 Name: VuaÙ§ÆtÙBoom	 Level: 89	 IP Address: 183.80.160.143 : 53454
8:41	Account: thoakhungz2	 Name: ThÝchÙ¡nÙ§¹pÙKo	 Level: 104	 IP Address: 171.251.230.114 : 49179
8:41	Account: gcity01	 Name: S¬nÙTÆc	 Level: 80	 IP Address: 42.118.236.81 : 9811
8:41	Account: thoakhungz4	 Name: ThöÙ§ôngÙTaoÙ§i	 Level: 107	 IP Address: 171.251.230.114 : 49181
8:41	Account: nonhandm	 Name: VuaÙ§ÆtÙBoom	 Level: 89	 IP Address: 183.80.160.143 : 53456
8:41	Account: thoakhungz4	 Name: ThöÙ§ôngÙTaoÙ§i	 Level: 107	 IP Address: 171.251.230.114 : 49184
8:41	Account: timlaivohien2	 Name: EyeSmile6	 Level: 88	 IP Address: 14.233.97.112 : 51873
8:43	Account: timlaivohien3	 Name: EyeSmile7	 Level: 86	 IP Address: 14.233.97.112 : 64577
8:44	Account: timlaivohien1	 Name: EyeSmile2	 Level: 89	 IP Address: 14.233.97.112 : 6721
8:45	Account: timlaivohien1	 Name: EyeSmile2	 Level: 89	 IP Address: 14.233.97.112 : 8833
8:48	Account: vunguyen1989	 Name: khongbietten	 Level: 96	 IP Address: 27.75.46.206 : 49372
8:50	Account: sarin	 Name: DocXinh7	 Level: 81	 IP Address: 116.110.119.64 : 49265
8:52	Account: vunguyen1986	 Name: 5555555	 Level: 84	 IP Address: 27.75.46.206 : 49445
8:53	Account: sarin3	 Name: DocXinh17	 Level: 84	 IP Address: 116.110.119.64 : 49380
8:54	Account: vunguyen1988	 Name: 111111111	 Level: 95	 IP Address: 27.75.46.206 : 49448
8:58	Account: 83vunguyen	 Name: ThangDepTrai	 Level: 1	 IP Address: 27.75.46.206 : 49451
9:3	Account: timlaivohien1	 Name: EyeSmile2	 Level: 89	 IP Address: 14.233.97.112 : 8929
9:13	Account: huynhtrongtri13	 Name: B¨ngS¸tNéiC«ng	 Level: 99	 IP Address: 42.118.58.118 : 50565
9:13	Account: huynhtrongtri11	 Name: §écS¸tNéiC«ng	 Level: 116	 IP Address: 42.118.58.118 : 50569
9:13	Account: huynhtrongtri12	 Name: KiÕmPhongKim	 Level: 97	 IP Address: 42.118.58.118 : 50571
9:13	Account: huynhtrongtri14	 Name: §écS¸tNgo¹iC«ng	 Level: 109	 IP Address: 42.118.58.118 : 50570
9:13	Account: huynhtrongtri15	 Name: HáaS¸tNéiC«ng	 Level: 98	 IP Address: 42.118.58.118 : 50575
9:13	Account: huynhtrongtri16	 Name: L«iS¸tNéiC«ng	 Level: 100	 IP Address: 42.118.58.118 : 50574
9:15	Account: timlaivohien4	 Name: EyeSmile12	 Level: 80	 IP Address: 14.233.97.112 : 59617
9:15	Account: timlaivohien5	 Name: EyeSmile9	 Level: 80	 IP Address: 14.233.97.112 : 59969
9:15	Account: timlaivohien5	 Name: EyeSmile14	 Level: 80	 IP Address: 14.233.97.112 : 60257
9:15	Account: huynhtrongtri14	 Name: §écS¸tNgo¹iC«ng	 Level: 109	 IP Address: 42.118.58.118 : 50580
9:15	Account: huynhtrongtri12	 Name: KiÕmPhongKim	 Level: 97	 IP Address: 42.118.58.118 : 50582
9:15	Account: huynhtrongtri13	 Name: B¨ngS¸tNéiC«ng	 Level: 99	 IP Address: 42.118.58.118 : 50583
9:15	Account: huynhtrongtri15	 Name: HáaS¸tNéiC«ng	 Level: 98	 IP Address: 42.118.58.118 : 50584
9:15	Account: huynhtrongtri16	 Name: L«iS¸tNéiC«ng	 Level: 100	 IP Address: 42.118.58.118 : 50585
9:15	Account: huynhtrongtri11	 Name: §écS¸tNéiC«ng	 Level: 116	 IP Address: 42.118.58.118 : 50587
9:16	Account: sangtpbrvt	 Name: SangTp	 Level: 117	 IP Address: 113.169.95.96 : 49733
9:21	Account: thangvl5	 Name: 5TLSuco	 Level: 105	 IP Address: 118.70.81.103 : 14000
9:24	Account: minhtrand3	 Name: HáaÙLongÙTµÙNh©n	 Level: 103	 IP Address: 14.174.119.34 : 49257
9:25	Account: sangtpbrvt	 Name: SangTp	 Level: 117	 IP Address: 113.169.95.96 : 49756
9:27	Account: sarin1990	 Name: DocDepGhe	 Level: 82	 IP Address: 116.110.119.64 : 50379
9:27	Account: sarin	 Name: DocXinh7	 Level: 81	 IP Address: 116.110.119.64 : 45986
9:30	Account: minhtrand3	 Name: HáaÙLongÙTµÙNh©n	 Level: 103	 IP Address: 14.174.119.34 : 49283
9:32	Account: minhtrand7	 Name: 3143242	 Level: 81	 IP Address: 14.174.119.34 : 49292
9:35	Account: minhtrand23	 Name: sanboss8	 Level: 81	 IP Address: 14.174.119.34 : 49303
9:36	Account: sarin	 Name: DocXinh6	 Level: 81	 IP Address: 116.110.119.64 : 50438
9:38	Account: minhtrand23	 Name: sanboss8	 Level: 81	 IP Address: 14.174.119.34 : 49316
9:38	Account: timlaivohien5	 Name: EyeSmile14	 Level: 80	 IP Address: 14.233.97.112 : 33537
9:39	Account: minhtrand7	 Name: 3143242	 Level: 81	 IP Address: 14.174.119.34 : 49317
9:44	Account: sangtpbrvt1	 Name: SangTp111	 Level: 98	 IP Address: 113.169.95.96 : 49909
9:48	Account: sangtpbrvt2	 Name: SangTp222	 Level: 97	 IP Address: 113.169.95.96 : 49912
9:51	Account: luukt56	 Name: NgoalongND	 Level: 96	 IP Address: 42.113.160.47 : 31007
9:52	Account: sangtpbrvt3	 Name: money8	 Level: 85	 IP Address: 113.169.95.96 : 49915
9:54	Account: luukt53	 Name: NgoalongVD	 Level: 125	 IP Address: 115.75.51.168 : 48893
9:54	Account: vunguyen1984	 Name: BinBin	 Level: 87	 IP Address: 27.75.46.206 : 50476
9:55	Account: namhai01	 Name: dsfdsaf	 Level: 1	 IP Address: 113.163.209.80 : 64909
9:55	Account: sangtpbrvt4	 Name: money9	 Level: 87	 IP Address: 113.169.95.96 : 49918
9:57	Account: minhtrand7	 Name: buffbuff	 Level: 80	 IP Address: 14.174.119.34 : 49407
9:57	Account: minhtrand7	 Name: ancuopday	 Level: 80	 IP Address: 14.174.119.34 : 49409
9:57	Account: minhtrand8	 Name: 8657575	 Level: 80	 IP Address: 14.174.119.34 : 49411
9:57	Account: minhtrand8	 Name: 313131	 Level: 80	 IP Address: 14.174.119.34 : 49413
9:57	Account: minhtrand8	 Name: cuopcuop	 Level: 80	 IP Address: 14.174.119.34 : 49415
9:57	Account: minhtrand9	 Name: 3213131	 Level: 80	 IP Address: 14.174.119.34 : 49417
9:57	Account: minhtrand9	 Name: 3213131	 Level: 80	 IP Address: 14.174.119.34 : 49419
9:57	Account: minhtrand9	 Name: talaancuop	 Level: 80	 IP Address: 14.174.119.34 : 49421
9:57	Account: minhtrand9	 Name: 098080	 Level: 80	 IP Address: 14.174.119.34 : 49423
9:58	Account: minhtrand10	 Name: trumaancuop	 Level: 80	 IP Address: 14.174.119.34 : 49425
9:58	Account: minhtrand10	 Name: sanboss6	 Level: 80	 IP Address: 14.174.119.34 : 49427
9:58	Account: minhtrand10	 Name: 32131311	 Level: 80	 IP Address: 14.174.119.34 : 49429
9:58	Account: minhtrand11	 Name: 313133	 Level: 80	 IP Address: 14.174.119.34 : 49431
9:58	Account: minhtrand11	 Name: 443243242	 Level: 80	 IP Address: 14.174.119.34 : 49433
9:58	Account: minhtrand11	 Name: 23123213	 Level: 80	 IP Address: 14.174.119.34 : 49436
9:58	Account: minhtrand12	 Name: 65456464	 Level: 80	 IP Address: 14.174.119.34 : 49438
9:58	Account: minhtrand12	 Name: 322312	 Level: 80	 IP Address: 14.174.119.34 : 49440
9:58	Account: minhtrand12	 Name: 3213131111	 Level: 80	 IP Address: 14.174.119.34 : 49442
9:59	Account: minhtrand13	 Name: 32131111122	 Level: 80	 IP Address: 14.174.119.34 : 49444
9:59	Account: minhtrand13	 Name: 3242400	 Level: 80	 IP Address: 14.174.119.34 : 49446
9:59	Account: minhtrand13	 Name: 31231310	 Level: 80	 IP Address: 14.174.119.34 : 49448
9:59	Account: minhtrand14	 Name: 32131312	 Level: 80	 IP Address: 14.174.119.34 : 49450
9:59	Account: minhtrand14	 Name: 213131	 Level: 80	 IP Address: 14.174.119.34 : 49452
9:59	Account: minhtrand14	 Name: 3113120	 Level: 80	 IP Address: 14.174.119.34 : 49454
9:59	Account: minhtrand15	 Name: 321321	 Level: 80	 IP Address: 14.174.119.34 : 49456
9:59	Account: phamtungdhv6	 Name: ZzYunazZ	 Level: 98	 IP Address: 113.190.139.142 : 61532
9:59	Account: minhtrand15	 Name: 3132131	 Level: 80	 IP Address: 14.174.119.34 : 49458
10:0	Account: minhtrand15	 Name: 311323444	 Level: 80	 IP Address: 14.174.119.34 : 49460
10:1	Account: minhtrand16	 Name: 313123	 Level: 80	 IP Address: 14.174.119.34 : 49465
10:1	Account: minhtrand16	 Name: 32131321	 Level: 80	 IP Address: 14.174.119.34 : 49467
10:2	Account: minhtrand16	 Name: 32131321	 Level: 80	 IP Address: 14.174.119.34 : 49474
10:3	Account: luukt54	 Name: NgoalongNM	 Level: 108	 IP Address: 42.113.160.47 : 61876
10:4	Account: minhtrand7	 Name: 3143242	 Level: 81	 IP Address: 14.174.119.34 : 49483
10:5	Account: minhtrand23	 Name: sanboss8	 Level: 81	 IP Address: 14.174.119.34 : 49485
10:5	Account: phamtungdhv4	 Name: ZzJindozZ	 Level: 90	 IP Address: 113.190.139.142 : 61566
10:7	Account: vunguyen1988	 Name: 111111111	 Level: 95	 IP Address: 27.75.46.206 : 50732
10:9	Account: sangtpbrvt3	 Name: money8	 Level: 85	 IP Address: 113.169.95.96 : 49931
10:13	Account: text01	 Name: eeemNgamy	 Level: 1	 IP Address: 1.52.33.7 : 23515
10:13	Account: sangtpbrvt	 Name: SangTp	 Level: 117	 IP Address: 113.169.95.96 : 49739
10:14	Account: sangtpbrvt1	 Name: SangTp111	 Level: 98	 IP Address: 113.169.95.96 : 49754
10:16	Account: sangtpbrvt2	 Name: SangTp222	 Level: 97	 IP Address: 113.169.95.96 : 49758
10:17	Account: sangtpbrvt3	 Name: money8	 Level: 85	 IP Address: 113.169.95.96 : 49760
10:18	Account: sangtpbrvt4	 Name: money9	 Level: 87	 IP Address: 113.169.95.96 : 49763
10:19	Account: sangtpbrvt5	 Name: SangTp555	 Level: 92	 IP Address: 113.169.95.96 : 49765
10:20	Account: thangvl10	 Name: 10HáaCaCa	 Level: 100	 IP Address: 1.52.33.7 : 12736
10:26	Account: minhtrand7	 Name: 3143242	 Level: 81	 IP Address: 14.174.119.34 : 49521
10:26	Account: minhtrand23	 Name: sanboss06	 Level: 80	 IP Address: 14.174.119.34 : 49523
10:29	Account: thien01	 Name: GiangÙHåÙB¶oÙKª	 Level: 80	 IP Address: 1.53.53.54 : 21726
10:31	Account: cuong25032016	 Name: cuong1990	 Level: 1	 IP Address: 171.238.189.158 : 57986
10:36	Account: thien01	 Name: GiangÙHåÙB¶oÙKª	 Level: 80	 IP Address: 1.53.53.54 : 55122
10:38	Account: bando	 Name: HDÙMÑThiªnH¹	 Level: 117	 IP Address: 27.73.149.169 : 4407
10:39	Account: cuong25032016	 Name: cuong1990	 Level: 80	 IP Address: 171.238.189.158 : 6123
10:41	Account: thoakhungz1	 Name: §ÇuÙTräcÙ9ÙChÊm	 Level: 105	 IP Address: 171.251.230.114 : 49396
10:42	Account: thoakhungz2	 Name: ThÝchÙ¡nÙ§¹pÙKo	 Level: 104	 IP Address: 171.251.230.114 : 49404
10:42	Account: thoakhungz4	 Name: ThöÙ§ôngÙTaoÙ§i	 Level: 107	 IP Address: 171.251.230.114 : 49407
10:43	Account: thoakhungz5	 Name: §õngÙChäcÙTao	 Level: 111	 IP Address: 171.251.230.114 : 49410
10:43	Account: thoakhungs1	 Name: Boss03	 Level: 80	 IP Address: 171.251.230.114 : 49414
10:44	Account: phamtungdhv6	 Name: ZzYunazZ	 Level: 98	 IP Address: 113.190.139.142 : 6345
10:44	Account: banhang1	 Name: 0988207491t	 Level: 80	 IP Address: 27.73.149.169 : 49654
10:44	Account: luukt56	 Name: NgoalongND	 Level: 96	 IP Address: 42.113.160.47 : 6809
10:47	Account: thoakhungz6	 Name: CùcÙKúÙBèÙL¸o	 Level: 102	 IP Address: 171.251.230.114 : 49437
10:48	Account: thoakhungzz6	 Name: KinhBáMÑ	 Level: 103	 IP Address: 171.251.230.114 : 49442
10:49	Account: thoakhungs1	 Name: Boss02	 Level: 80	 IP Address: 171.251.230.114 : 49451
10:49	Account: phamtungdhv6	 Name: ZzYunazZ	 Level: 98	 IP Address: 113.190.139.142 : 6373
10:49	Account: banhang1	 Name: 1234566789	 Level: 85	 IP Address: 27.73.149.169 : 4411
10:50	Account: thoakhungz6	 Name: CùcÙKúÙBèÙL¸o	 Level: 102	 IP Address: 171.251.230.114 : 49453
10:50	Account: phamtungdhv6	 Name: ZzYunazZ	 Level: 98	 IP Address: 113.190.139.142 : 61782
10:50	Account: phamtungdhv6	 Name: ZzYunazZ	 Level: 98	 IP Address: 113.190.139.142 : 61784
10:50	Account: phamtungdhv6	 Name: ZzYunazZ	 Level: 98	 IP Address: 113.190.139.142 : 61788
10:51	Account: ribi01	 Name: RiBi01	 Level: 109	 IP Address: 42.117.247.8 : 50279
10:51	Account: phamtungdhv6	 Name: ZzYunazZ	 Level: 98	 IP Address: 113.190.139.142 : 61790
10:51	Account: vunguyen1987	 Name: 22222222	 Level: 84	 IP Address: 27.75.46.206 : 51502
10:51	Account: phamtungdhv6	 Name: ZzYunazZ	 Level: 98	 IP Address: 113.190.139.142 : 61794
10:52	Account: phamtungdhv6	 Name: ZzYunazZ	 Level: 98	 IP Address: 113.190.139.142 : 61796
10:52	Account: phamtungdhv6	 Name: ZzYunazZ	 Level: 98	 IP Address: 113.190.139.142 : 61798
10:52	Account: phamtungdhv6	 Name: ZzYunazZ	 Level: 98	 IP Address: 113.190.139.142 : 61802
10:53	Account: phamtungdhv6	 Name: ZzYunazZ	 Level: 98	 IP Address: 113.190.139.142 : 61806
10:54	Account: thoakhungz1	 Name: §ÇuÙTräcÙ9ÙChÊm	 Level: 105	 IP Address: 171.251.230.114 : 49479
10:54	Account: thoakhungz2	 Name: ThÝchÙ¡nÙ§¹pÙKo	 Level: 104	 IP Address: 171.251.230.114 : 49481
10:54	Account: thoakhungz4	 Name: ThöÙ§ôngÙTaoÙ§i	 Level: 107	 IP Address: 171.251.230.114 : 49484
10:55	Account: thoakhungz1	 Name: §ÇuÙTräcÙ9ÙChÊm	 Level: 105	 IP Address: 171.251.230.114 : 49496
10:55	Account: thoakhungz2	 Name: ThÝchÙ¡nÙ§¹pÙKo	 Level: 104	 IP Address: 171.251.230.114 : 49498
10:55	Account: thoakhungz4	 Name: ThöÙ§ôngÙTaoÙ§i	 Level: 107	 IP Address: 171.251.230.114 : 49501
10:55	Account: thoakhungz5	 Name: §õngÙChäcÙTao	 Level: 111	 IP Address: 171.251.230.114 : 49503
10:55	Account: thoakhungz6	 Name: CùcÙKúÙBèÙL¸o	 Level: 102	 IP Address: 171.251.230.114 : 49506
10:56	Account: thoakhungzz6	 Name: KinhBáMÑ	 Level: 103	 IP Address: 171.251.230.114 : 49509
10:58	Account: ribi02	 Name: THBTTT	 Level: 1	 IP Address: 42.117.247.8 : 50331
10:58	Account: phamtungdhv6	 Name: ZzYunazZ	 Level: 98	 IP Address: 113.190.139.142 : 6433
10:59	Account: thangvl5	 Name: 5TLSuco	 Level: 105	 IP Address: 118.70.81.103 : 14877
11:1	Account: ribi02	 Name: RiBi02	 Level: 80	 IP Address: 42.117.247.8 : 50352
11:1	Account: ribi02	 Name: RIBI02	 Level: 101	 IP Address: 42.117.247.8 : 50354
11:1	Account: ribi03	 Name: RiBi03	 Level: 80	 IP Address: 42.117.247.8 : 50357
11:2	Account: ribi04	 Name: RiBi04	 Level: 80	 IP Address: 42.117.247.8 : 50364
11:2	Account: thoakhungzz6	 Name: KinhBáMÑ	 Level: 103	 IP Address: 171.251.230.114 : 49544
11:3	Account: ribi04	 Name: BOSSOS	 Level: 80	 IP Address: 42.117.247.8 : 50368
11:3	Account: ribi04	 Name: BOSSSSSSSSSS	 Level: 80	 IP Address: 42.117.247.8 : 50374
11:3	Account: minhtrand27	 Name: sanboss13	 Level: 80	 IP Address: 14.174.119.34 : 49701
11:4	Account: ribi04	 Name: BOSSSSSSSSSS	 Level: 80	 IP Address: 42.117.247.8 : 50384
11:4	Account: ribi05	 Name: BossST	 Level: 80	 IP Address: 42.117.247.8 : 50386
11:4	Account: ribi05	 Name: buffffff	 Level: 80	 IP Address: 42.117.247.8 : 50389
11:5	Account: ribi06	 Name: 000001	 Level: 80	 IP Address: 42.117.247.8 : 50392
11:7	Account: vunguyen1986	 Name: 666666666	 Level: 82	 IP Address: 27.75.46.206 : 51759
11:8	Account: minhtrand7	 Name: buffbuff	 Level: 80	 IP Address: 14.174.119.34 : 49733
11:9	Account: minhtrand7	 Name: ancuopday	 Level: 80	 IP Address: 14.174.119.34 : 49736
11:9	Account: minhtrand8	 Name: 8657575	 Level: 80	 IP Address: 14.174.119.34 : 49738
11:9	Account: minhtrand7	 Name: 3143242	 Level: 81	 IP Address: 14.174.119.34 : 49741
11:9	Account: thoakhungzz1	 Name: XeTiÒn1	 Level: 86	 IP Address: 171.251.230.114 : 49550
