QId	Tip	Content	ChooseCount	Price	Choose1	Choose2	Choose3	Choose4	Choose5	Choose6	Choose7	Choose8	Choose9	Choose10	BeginSaleTime	EndSaleTime	BeginPayForTime	EndPayForTime	Answer	BonusRate	MaxBonus
6	16##?##	##100#?#?#######?##	9	5000	La TuyÕt Quyªn, §éi thÓ dôc dông cô nam Trung Quèc	Quúnh T­, §éi thÓ dôc dông cô nam Trung Quèc	La TuyÕt Quyªn, §éi thÓ dôc dông cô nam Mü 	Quúnh T­, §éi thÓ dôc dông cô nam Mü 	La TuyÕt Quyªn, §éi thÓ dôc dông cô nam n­íc kh¸c	Quúnh T­, §éi thÓ dôc dông cô nam n­íc kh¸c	TuyÓn thñ kh¸c, §éi thÓ dôc dông cô nam Trung Quèc	TuyÓn thñ kh¸c, §éi thÓ dôc dông cô nam Mü 	Kh¶ n¨ng kh¸c 		408150700	408152400	408170900	408222200	5	50	10000000
8	17##?##	######?#?##200#?###?#####?	8	5000	§µm TuyÕt, Phi NhÜ Phæ Kú, Trung Quèc th¾ng Mü 	§µm TuyÕt, TuyÓn thñ kh¸c, Trung Quèc th¾ng Mü 	TuyÓn thñ kh¸c, Phi NhÜ Phæ Kú, Trung Quèc th¾ng Mü 	§µm TuyÕt, Phi NhÜ Phæ Kú, Trung Quèc thua Mü 	§µm TuyÕt, TuyÓn thñ kh¸c, Trung Quèc thua Mü 	TuyÓn thñ kh¸c, Phi NhÜ Phæ Kú, Trung Quèc thua Mü 	TuyÓn thñ kh¸c, TuyÓn thñ kh¸c, Trung Quèc th¾ng Mü 	TuyÓn thñ kh¸c, TuyÓn thñ kh¸c, Trung Quèc thua Mü 			408160700	408162400	408200900	408222200	6	50	10000000
10	18##?##	#######??##69####?##	10	5000	D­¬ng Uy, Tr­¬ng Quèc Ch¸nh	§»ng H¶i T©n, Tr­¬ng Quèc Ch¸nh	##-##?###	D­¬ng Uy, tuyÓn thñ Nga	§»ng H¶i T©n, tuyÓn thñ Nga	##-##?###?#	D­¬ng Uy, TuyÓn thñ kh¸c	§»ng H¶i T©n, TuyÓn thñ kh¸c	TuyÓn thñ kh¸c, Tr­¬ng Quèc Ch¸nh	Kh¶ n¨ng kh¸c 	408170700	408172400	408200900	408222200	3	50	10000000
12	19##?##	##200#?#?###?77#####	8	5000	TÒ Huy, ChiÕm Hóc C­¬ng	Quúnh T­, ChiÕm Hóc C­¬ng	Peter, ChiÕm Hóc C­¬ng	TÒ Huy, TuyÓn thñ kh¸c	Quúnh T­, TuyÓn thñ kh¸c	Peter, TuyÓn thñ kh¸c	TuyÓn thñ kh¸c, ChiÕm Hóc C­¬ng	Kh¶ n¨ng kh¸c 			408180700	408182400	408200900	408222200	6	50	10000000
14	20##?##	###?78#####?######??##?###	10	5000	T«n Phóc Minh, V­¬ng Nam / Tr­¬ng TrÞ Ninh, Hoµng San S¸n	T«n Phóc Minh, Ng­u KiÕm Phong / Qu¸ch D­îc, Hoµng San S¸n	T«n Phóc Minh, TuyÓn thñ kh¸c, Hoµng San S¸n	TuyÓn thñ kh¸c, V­¬ng Nam / Tr­¬ng TrÞ Ninh, Hoµng San S¸n	TuyÓn thñ kh¸c, Ng­u KiÕm Phong / Qu¸ch D­îc, Hoµng San S¸n	T«n Phóc Minh, V­¬ng Nam / Tr­¬ng TrÞ Ninh, TuyÓn thñ kh¸c	T«n Phóc Minh, Ng­u KiÕm Phong / Qu¸ch D­îc, TuyÓn thñ kh¸c	TuyÓn thñ kh¸c, V­¬ng Nam / Tr­¬ng TrÞ Ninh, TuyÓn thñ kh¸c	TuyÓn thñ kh¸c, Ng­u KiÕm Phong / Qu¸ch D­îc, TuyÓn thñ kh¸c	Kh¶ n¨ng kh¸c 	408190700	408192400	408210900	408222200	8	50	10000000
16	21##?##	?########?##100##?##	10	5000	Tr­¬ng TrÞ Ninh, A Long	Tr­¬ng TrÞ Ninh, Hµ Lan	Tr­¬ng TrÞ Ninh, Uy Liªm MÉu Kú 	Tr­¬ng TrÞ Ninh, La Nh­îc Oa	Tr­¬ng TrÞ Ninh, TuyÓn thñ kh¸c	TuyÓn thñ kh¸c, A Long	TuyÓn thñ kh¸c, Hµ Lan	TuyÓn thñ kh¸c, Uy Liªm MÉu Kú 	TuyÓn thñ kh¸c, La Nh­îc Oa	Kh¶ n¨ng kh¸c 	408200700	408202400	408220900	408232200	5	50	10000000
18	22##?##	##100##??##?####	9	5000	Kalh, n÷ tuyÓn thñ Trung Quèc	Bao Uy Nhi, n÷ tuyÓn thñ Trung Quèc	Kalh, Ho¾c Nhi Kim Na	Bao Uy Nhi, Ho¾c Nhi Kim Na	Kalh, TuyÓn thñ kh¸c	Bao Uy Nhi, TuyÓn thñ kh¸c	TuyÓn thñ kh¸c, TuyÓn thñ Trung Quèc	TuyÓn thñ kh¸c, Ho¾c Nhi Kim Na	Kh¶ n¨ng kh¸c 		408210700	408212400	408230900	408242200	9	50	10000000
20	23##?##	??########20#?#?##	10	5000	Lý TiÓu B»ng, Lý TiÓu B»ng, V­¬ng LÖ B×nh	Lý TiÓu B»ng, Lý TiÓu B»ng, Tèng Hång Quyªn	Lý TiÓu B»ng, Lý TiÓu B»ng, Ni -c« -lai	TuyÓn thñ kh¸c, Lý TiÓu B»ng, V­¬ng LÖ B×nh	TuyÓn thñ kh¸c, Lý TiÓu B»ng, Tèng Hång Quyªn	TuyÓn thñ kh¸c, Lý TiÓu B»ng, Ni -c« -lai	Lý TiÓu B»ng, TuyÓn thñ kh¸c, V­¬ng LÖ B×nh	Lý TiÓu B»ng, TuyÓn thñ kh¸c, Tèng Hång Quyªn	Lý TiÓu B»ng, TuyÓn thñ kh¸c, Ni -c« -lai	Kh¶ n¨ng kh¸c 	408220700	408222400	408240900	408252200	10	50	10000000
22	24##?##	Qu¸n qu©n nh¶y cao n÷, nh¶y cÇu ba mÐt man	10	5000	feiferowa, Bå ¤ §inh	Ispanawa, Bå ¤ §inh	feiferowa, Bµnh Bét	Ispanawa, Bµnh Bét	feiferowa, Tobsik	Ispanawa, Tobsik	feiferowa, TuyÓn thñ kh¸c	Ispanawa, TuyÓn thñ kh¸c	TuyÓn thñ kh¸c, Bµnh Bét	Kh¶ n¨ng kh¸c 	408230700	408232400	408250900	408262200	4	50	10000000
24	25##?##	§éi n÷ nÐm t¹ Trung Quèc cã thÓ ®o¹t huy ch­¬ng, ai lµ qu¸n qu©n 	7	5000	cã thÓ, Cè Nguyªn, M¹c L«i Nh­îc	cã thÓ, Tr­¬ng V¨n Tó, M¹c L«i Nh­îc	cã thÓ, Cè Nguyªn, TuyÓn thñ kh¸c	cã thÓ, Cè Nguyªn, TuyÓn thñ kh¸c	kh«ng thÓ, M¹c L«i Nh­îc	kh«ng thÓ, TuyÓn thñ kh¸c	Kh¶ n¨ng kh¸c 				408240700	408242400	408260900	408272200	6	50	10000000
26	26##?##	Qu¸n qu©n nh¶y cÇu ba mÐt n÷, H¹ng ba robèt nam 	10	5000	Qu¸ch Tinh Tinh, TuyÓn thñ Mü 	Ng« MÉn Hµ, TuyÓn thñ Mü 	Qu¸ch Tinh Tinh, TuyÓn thñ Australia	Ng« MÉn Hµ, TuyÓn thñ Australia	Qu¸ch Tinh Tinh, TuyÓn thñ Canada	Ng« MÉn Hµ, TuyÓn thñ Canada	Qu¸ch Tinh Tinh, TuyÓn thñ Anh	Ng« MÉn Hµ, TuyÓn thñ Anh	Qu¸ch Tinh Tinh, TuyÓn thñ n­íc kh¸c	Kh¶ n¨ng kh¸c 	408250700	408252400	408270900	408282200	9	50	10000000
28	27##?##	#110#?##??##10000##?##	10	5000	L­u T­êng, T«n Anh KiÖt	?#-##??#?#	L­u T­êng, Lad klif	?#-##??###?#	L­u T­êng, Atele	?#-##???#?	L­u T­êng, TuyÓn thñ kh¸c	?#-##??##?#	TuyÓn thñ kh¸c, T«n Anh KiÖt	Kh¶ n¨ng kh¸c 	408260700	408262400	408280900	408292200	7	50	10000000
30	28##?##	 ##?####??###500####?## 	10	5000	§iÒn L­¬ng, Hungary	H¸ch Nhi MÉu, Hungary	Desfater, Hungary	§iÒn L­¬ng, Ba Lan	H¸ch Nhi MÉu, Ba Lan	Desfater, Ba Lan	§iÒn L­¬ng, §øc	H¸ch Nhi MÉu, §øc	Desfater, §øc	Kh¶ n¨ng kh¸c 	408270700	408272400	408290900	408302200	10	50	10000000
32	29##?##	Qu¸n qu©n Marathon	7	5000	Kenya	Ma Rèc	T©y Ban Nha	italy	Bå §µo Nha	NhËt B¶n	TuyÓn thñ n­íc kh¸c				408280700	408282400	408300900	408312200	4	50	10000000
1000	Sè huy ch­¬ng cña Trung Quèc	###?#??#2004#?#######???###	7	5000	Kenya	Ma Rèc	T©y Ban Nha	italy	Bå §µo Nha	NhËt B¶n	TuyÓn thñ n­íc kh¸c				408130700	408210700	408300900	408312200	921888	50	10000000
2001		trïng phïng (®¸nh 1 ch÷) 	4	0	ng÷ 	quan 	b»ng 	chóng 											2	50	10000000
2002		cöu ®iÓm (®¸nh 1 ch÷) 	4	0	nhÉn	Phong 	chö 	hoµn 											4	50	10000000
2003		nhÊt nhËt (®¸nh 1 ch÷) 	4	0	®iÒn 	phï 	phï 	cùu 											4	50	10000000
2004		ng÷ thanh (®¸nh 1 ch÷) 	4	0	méng 	am 	th©u 	chuÕ 											2	50	10000000
2005		liªu trai (®¸nh 1 ch÷) 	4	0	ph¸ch 	méc 	kiÖt 	s¸ 											4	50	10000000
2006		NhÞ NguyÖt b×nh (®¸nh 1 ch÷) 	4	0	b»ng 	b¸n 	quy 	khoa 											1	50	10000000
2007		NhÞ tiÓu th­ (®¸nh 1 ch÷) 	4	0	t«n 	muéi 	t­ 	tÒ 											3	50	10000000
2008		tuÕ m¹t cè diÖn (®¸nh 1 ch÷) 	4	0	tÞnh 	thèng 	chóc 	t­¬ng 											1	50	10000000
2009		®«ng chinh t©y th¶o (®¸nh 1 ch÷) 	4	0	phã 	thiÕn 	chøng 	can											3	50	10000000
2010		Nh©n nh©n nh­îng to¹ (®¸nh 1 ch÷) 	4	0	to¹ 	trang 	tßng 	sØ 											2	50	10000000
2011		tr¹m liÔu l­ìng thiªn (®¸nh 1 ch÷) 	4	0	t×nh 	¸m 	béc 	tµm 											2	50	10000000
2012		néi c¸c t¶ t­íng (®¸nh 1 ch÷) 	4	0	thanh	dÞ 	c¸ch 	tiªu 											3	50	10000000
2013		¤m c©y ®îi thá (®¸nh 1 ch÷) 	4	0	kha 	liÔu 	th¾ng 	§·i 											2	50	10000000
2014		phµm ¶nh nhËp môc (®¸nh 1 ch÷) 	4	0	tang 	nhµn 	®Þch 	h¹m 											4	50	10000000
2015		tróc h¹ nhÊt thÊt (®¸nh 1 ch÷) 	4	0	tÊn 	thÝch 	gi¶n 	t©n 											3	50	10000000
2016		b¸n tu th©u miÓu (®¸nh 1 ch÷) 	4	0	tr­íc	thiÖn 	quËt	loan											1	50	10000000
2017		B¸ch niªn tróc l©m (®¸nh 1 ch÷) 	4	0	trï 	tróc 	b¸ /b¸ch 	kho¶ 											1	50	10000000
2018		Giang ®«ng nhÞ KiÒu (®¸nh 1 ch÷) 	4	0	èc 	kiÒu 	cèng  	ng« 											4	50	10000000
2019		minh thiªn nhËt thuyªn tù (®¸nh 1 ch÷) 	4	0	nguyÖt 	hång 	b»ng 	h¹o 											1	50	10000000
2020		th«i khai nh©n hùu lai (®¸nh 1 ch÷) 	4	0	h÷u 	nghiªn 	hiÖp 	than 											4	50	10000000
2021		®é ®Çu d­ l¹c nhËt (®¸nh 1 ch÷) 	4	0	tröu 	mÞch 	hy 	chÝ 											2	50	10000000
2022		Hoµngh«n nhËt b¸n l¹c (®¸nh 1 ch÷) 	4	0	danh 	¸ 	chØ 	vâng 											1	50	10000000
2023		khæng t­íc ®«ng nam phi (®¸nh 1 ch÷) 	4	0	khiªn 	bÕ 	t«n 	gi¸p 											3	50	10000000
2024		dông quyÒn ®Çu thuyÕt tho¹i (®¸nh 1 ch÷) 	4	0	phÇn 	dù 	hû 	®o¶n 											2	50	10000000
2025		nguyÖt û chi, ®ç quyªn ®Ò (®¸nh 1 ch÷) 	4	0	b»ng 	t¸ng 	hoµng 	t« 											1	50	10000000
2026		Tµn nguyÖt tµ chiÕu ¶nh thµnh ®èi (®¸nh 1 ch÷) 	4	0	tå 	gi¸c 	®a 	b»ng 											3	50	10000000
2027		ký trung l­ìng ngé ch©n t©m nh©n (®¸nh 1 ch÷) 	4	0	c­¬ng 	bµnh 	s­¬ng	tiªu 											1	50	10000000
2028		vÞ c«ng minh ®o¹n khÝ « sa (®¸nh 1 ch÷) 	4	0	Méc	chØ 	biÖn 	Phong 											1	50	10000000
2029		§¾c nguyÖt l©u tiÒn tiªn ®¾c nguyÖt (®¸nh 1 ch÷) 	4	0	mª 	¢m 	cïng 	b»ng 											4	50	10000000
2030		T©m t­¬ng t­ nh©n ®¸o kÕt ®ång t©m (®¸nh 1 ch÷) 	4	0	c¸p 	huyÒn 	thoa 	phi 											2	50	10000000
2031		ThiÕu tiÓu li gia l·o ®¹i håi (®¸nh 1 ch÷) 	4	0	khÝ 	tiªm 	thiÖn 	Cã thÓ 											2	50	10000000
2032		NhÊt khø nhËt b¶n ©m tÊn v« (®¸nh 1 ch÷) 	4	0	h¹o 	yÓu 	khung 	h·nh 											2	50	10000000
2033		Phong trung kh«ng hÇu lËp chung tiªu (®¸nh 1 ch÷) 	4	0	t¸i 	tóc 	Hång 	tuÇn 											2	50	10000000
2034		trÊp t¶i hµm lÖ t©y b¾c väng (®¸nh 1 ch÷) 	4	0	TØnh 	uy 	t­ 	mang 											4	50	10000000
2035		l©u biªn kiÒu b¹n liÔu ®iÒu dao /diªu (®¸nh 1 ch÷) 	4	0	l­¬ng 	§¾c 	®µn	b©n 											4	50	10000000
2036		®¹i hµ th­íng h¹ thÊt thao thao (®¸nh 1 ch÷) 	4	0	Kh«ng 	kú 	tÝch 	phµn 											2	50	10000000
2037		nguyÖt di hoa ¶nh ®¸o cao ®µi (®¸nh 1 ch÷) 	4	0	hoµn 	sÝ 	an 	Cã thÓ 											4	50	10000000
2038		trïng loan ®iÖp ch­íng nhÊt c¨n th¶o (®¸nh 1 ch÷) 	4	0	lËt 	tø 	truÊt 	b¶o 											3	50	10000000
2039		ph¹m tiÕn bµng v·n khø Thñy biªn (®¸nh 1 ch÷) 	4	0	uyÓn 	biÕn 	sØ 	Thanh 											1	50	10000000
2040		t©n nguyÖt tam tinh chiÕu chi ®Çu (®¸nh 1 ch÷) 	4	0	cøu 	biÖn 	kh«n 	tÕ 											2	50	10000000
2041		th«n trung cæ thô chi b¸n kh« (®¸nh 1 ch÷) 	4	0	hµ 	t­ëng 	Trèng	minh											3	50	10000000
2042		nhÊt c©u t©n nguyÖt tµ qu¶i thô sao /tiªu (®¸nh 1 ch÷) 	4	0	hµo	hoµ 	nghiÖp 	HuyÒn 											2	50	10000000
2043		biÖt hËu, t©n th¶o, kh«ng ®èi nguyÖt (®¸nh 1 ch÷) 	4	0	kho¸i	dÜnh 	t©n 	tËp 											1	50	10000000
2044		tÝch nhËt nhÊt biÖt hËu, thËp T¶i ph­¬ng t­¬ng phïng (®¸nh 1 ch÷) 	4	0	n¹i 	h·nh 	yÓu 	hé 											4	50	10000000
2045		Tµn Tinh tam l­ìng ®iÓm, c« h¹n hoµnh kh«ng phi (®¸nh 1 ch÷) 	4	0	khuyÓn 	lôc 	c¸i 	thÞ 											2	50	10000000
2046		khuª trung tiÕu lÖ nh©n, hµm tu ®Ýnh uyªn minh (®¸nh 1 ch÷) 	4	0	nhiÔm 	tæng 	thuyÕt 	khuª 											4	50	10000000
2047		kh¸n tù nh¸t  th¶o nhÊt Méc, yªn tri tÝch thñy thµnh cù (®¸nh 1 ch÷) 	4	0	cõ 	l©m  	biªn	hµnh 											1	50	10000000
2048		nhÊt ®èi minh nguyÖt hµo bÊt tµn, l¹c t¹i s¬n  c­íc t¶ h÷u tr¹m (®¸nh 1 ch÷) 	4	0	b¨ng 	cao 	phôc 	thµnh 											1	50	10000000
2049		nhÊt phiÕn tµn v©n giµ thiªn ®Ønh, tam ®iÒu thuú liÔu vò ®«ng phong (®¸nh 1 ch÷) 	4	0	sam 	Thanh 	ph¹m 	biÕn 											1	50	10000000
2050		ngo¹ kh¸n kh«ng s¬n  hµm viÔn thô, bÊt cËpt©y biªn thÝnh tiÔn thanh (®¸nh 1 ch÷) 	4	0	kiÕn 	Kh«ng 	b»ng 	®µ 											1	50	10000000
2051		thiÒm tiÒn trÝch thñy (®¸nh 1 ch÷) 	4	0	méc 	b¾c 	cÊp 	khuÊt											1	50	10000000
2052		Thu S¾c Tµng xu©n (®¸nh 1 ch÷) 	4	0	h­¬ng 	x©m 	u 	nga 											1	50	10000000
2053		ph¸o ®¶ song xa (®¸nh 1 ch÷) 	4	0	c©n	®ª 	oanh 	th­ 											3	50	10000000
2054		t©y hå xu©n m¹t (®¸nh 1 ch÷) 	4	0	l¹c 	hµ 	­¬ng 	mÞch 											4	50	10000000
2055		Töu kú vi b¹n (®¸nh 1 ch÷) 	4	0	thôc 	kú 	tuÕ 	duy 											2	50	10000000
2056		l÷ bè sÊm quan trung /tróng (®¸nh 1 ch÷) 	4	0	phÈm 	l­ 	thuËn 	chØ 											2	50	10000000
2057		èc tiÒn nhÊt ®o¸n t«ng (®¸nh 1 ch÷) 	4	0	vÞ 	hoµng 	c­ 	b»ng 											3	50	10000000
2058		thËp l­ìng hîp nhÊt c©n (®¸nh 1 ch÷) 	4	0	cÇn 	sam 	thÓ 	TrÇn											1	50	10000000
2059		nhËt mé liÔu sao ®Çu (®¸nh 1 ch÷) 	4	0	sao 	méng 	b­u 	ph¹m 											2	50	10000000
2060		h¹o ®Çu cïng kinh th­ (®¸nh 1 ch÷) 	4	0	nh­îc 	©n 	cao 	tr©n 											3	50	10000000
2061		cam lé méc ®µolý (®¸nh 1 ch÷) 	4	0	ký 	l©m 	®­êng 	lam 											2	50	10000000
2062		ch©u nh©n nhÊt d¹ quy (®¸nh 1 ch÷) 	4	0	phµn 	yÓu 	Tr­êng 	lÖ 											4	50	10000000
2063		tróc l©m tiÓu lé tóng hoµnh (®¸nh 1 ch÷) 	4	0	phÖ 	b¹i 	phò 	l­¬ng 											1	50	10000000
2064		Hoµng h«n t©n nguyÖtchiÕu lan tiÒn (®¸nh 1 ch÷) 	4	0	tùu 	t« 	h¹o 	lang 											2	50	10000000
2065		diªu øc mÉu ®an m·n thµnh h­¬ng (®¸nh 1 ch÷) 	4	0	ng¹c 	biªn 	l¹c 	b¶o  											3	50	10000000
2066		thiÓn th¶o thuú lé l­ìng y y (®¸nh 1 ch÷) 	4	0	kú 	huÒ 	m·n 	t­¬ng 											3	50	10000000
2067		giang b¹n®o¹n d­¬ng tiÕp tµn vu (®¸nh 1 ch÷) 	4	0	ngé 	thanh	lung 	®·ng 											4	50	10000000
2068		lo¹n ®iÒn t¸n l¹c b¸n hå ©m (®¸nh 1 ch÷) 	4	0	diÓu 	vÞ 	t« 	thµnh 											2	50	10000000
2069		du b¹i d©n s¬n  hîp môc miªn (®¸nh 1 ch÷) 	4	0	d©n 	Gi¸p 	chi 	lai 											1	50	10000000
2070		biÖt thêi c¸p t¹i tuÕ trõ tÞch (®¸nh 1 ch÷) 	4	0	lÖ 	xo¸ 	thiÕu	bé 											2	50	10000000
2071		cèt la giang b¹n kiÕn nguyÖt minh (®¸nh 1 ch÷) 	4	0	Tr­êng 	th¨ng 	c«ng 	nhËt 											4	50	10000000
2072		Vò tÔ hµ phi tµ nh¹n qua /qu¸ (®¸nh 1 ch÷) 	4	0	th»ng 	ph¹m 	sao 	gi¸  											4	50	10000000
2073		Ngäc th­îng h÷u hµ, nh©n chÈm kh¶ miÔn (®¸nh 1 ch÷) 	4	0	b¶o 	tóc 	Kim	ninh 											3	50	10000000
2074		V­¬ng bµ khiÕu m¹i, hé hé truyÒn thanh (®¸nh 1 ch÷) 	4	0	®¹m 	phØ 	hå 	qu¾c 											3	50	10000000
2075		dÜ khiÓn quÇn khuª t¸c l­ìng bé, canh khø minh nguyÖt thµnh tam nh©n (®¸nh 1 ch÷) 	4	0	giai 	xuÈn 	®iÖp 	Hµn 											2	50	10000000
2076		Ng­ (§¸nh 1 thµnh ng÷) 	4	0	Nh­ Ng­ §¾c Thñy	Y s¬n Bµng Thñy	TiÓu KiÒu L­u Thñy	L­u Niªn Tù Thñy											1	50	10000000
2077		Tßng (§¸nh 1 thµnh ng÷) 	4	0	Tù Tßng §a T×nh	O¸n Thanh T¶i §¹o	Nh­ ¶nh Tïy Th©n	Vong MÖnh Chi §å											3	50	10000000
2078		Ph¶n KÝch (§¸nh 1 thµnh ng÷) 	4	0	HËu Ph¸t ThÝch Nh©n	§ång Quy V« TËn	Phßng Ho¹n VÞ Nhiªn	TiÒn Xa Chi Gi¸m											1	50	10000000
2079		KÞch hiÖn ®¹i (§¸nh 1 thµnh ng÷) 	4	0	Minh HiÖn V¹n Lý 	V« Danh TiÓu Tèt	Vu Kim Vi LiÖt	Së BiÕn BÊt Kinh											3	50	10000000
2080		Tung Tó CÇu (§¸nh 1 thµnh ng÷) 	4	0	Sö BÊt TuyÖt Th­ 	Tiªn §æ VÞ Kho¸i	Néi ¦u Ngo¹i Ho¹n	Thiªn Kim NhÊt TrÝ, §Çu Kú Së H÷u											4	50	10000000
2081		 T­¬ng T­ (§¸nh 1 thµnh ng÷) 	4	0	Nh©n T©m T­ §Þnh	Ng« H¹ A M«ng	Thùc BÊt T­¬ng M·n	NhÊt V·ng T×nh Th©m											4	50	10000000
2082		TuyÖt thÕ h¶o KiÕm (§¸nh 1 thµnh ng÷) 	4	0	TÜnh TÜnh H÷u §iÒu	NhÜ Môc NhÊt T©n	Thiªn H¹ V« Song	Tè Hµnh BÊt L­¬ng											3	50	10000000
