0:1	Account: banhang	 Name: 0988207491	 Level: 80	 IP Address: 118.71.192.99 : 25857
1:54	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 49939
1:58	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 49945
1:58	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 49948
1:58	Account: phamtungdhv1	 Name: ZzTungpszZ	 Level: 92	 IP Address: 42.113.95.215 : 64296
2:0	Account: phamtungdhv6	 Name: ZzYunazZ	 Level: 101	 IP Address: 42.113.95.215 : 64305
2:2	Account: phamtungdhv2	 Name: ZzNgocCuxizZ	 Level: 90	 IP Address: 42.113.95.215 : 64320
2:3	Account: phamtungdhv3	 Name: ZzNhimXinhzZ	 Level: 94	 IP Address: 42.113.95.215 : 64326
2:5	Account: phamtungdhv4	 Name: ZzJindozZ	 Level: 90	 IP Address: 42.113.95.215 : 64331
2:7	Account: phamtungdhv5	 Name: ZzThaiSonzZ	 Level: 91	 IP Address: 42.113.95.215 : 64407
2:13	Account: minsimon2	 Name: MiuÙLoire	 Level: 80	 IP Address: 183.80.21.13 : 63833
2:14	Account: phamtungdhv5	 Name: ZzThaiSonzZ	 Level: 91	 IP Address: 42.113.95.215 : 64447
2:16	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 49955
2:16	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 49954
2:22	Account: phamtungdhv1	 Name: ZzTungpszZ	 Level: 92	 IP Address: 42.113.95.215 : 64491
2:25	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 49967
2:25	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 49969
2:27	Account: phamtungdhv2	 Name: ZzNgocCuxizZ	 Level: 90	 IP Address: 42.113.95.215 : 64520
2:28	Account: phamtungdhv3	 Name: ZzNhimXinhzZ	 Level: 94	 IP Address: 42.113.95.215 : 64528
2:29	Account: tumap3001	 Name: ÙLureÙKiure	 Level: 80	 IP Address: 183.80.21.13 : 64299
2:30	Account: phamtungdhv4	 Name: ZzJindozZ	 Level: 90	 IP Address: 42.113.95.215 : 64535
2:30	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 49976
2:30	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 49978
2:31	Account: phamtungdhv5	 Name: ZzThaiSonzZ	 Level: 91	 IP Address: 42.113.95.215 : 64541
2:31	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 49984
2:32	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 49986
2:32	Account: phamtungdhv6	 Name: ZzYunazZ	 Level: 101	 IP Address: 42.113.95.215 : 64547
2:53	Account: minsimon1	 Name: ÙJunÙKiri	 Level: 101	 IP Address: 183.80.21.13 : 34527
3:5	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 49993
3:5	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 49996
3:13	Account: 85vunguyen	 Name: NgocNgoc	 Level: 80	 IP Address: 27.75.46.206 : 61643
3:42	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50001
3:42	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50003
3:44	Account: minsimon1	 Name: Licusitr	 Level: 80	 IP Address: 183.80.21.13 : 2509
3:44	Account: samsimon	 Name: ÙMiaÙPu	 Level: 80	 IP Address: 183.80.21.13 : 19152
3:45	Account: minsimon	 Name: ÙKiruya	 Level: 80	 IP Address: 183.80.21.13 : 40505
4:11	Account: minsimon1	 Name: ÙJunÙKiri	 Level: 101	 IP Address: 183.80.21.13 : 61856
4:12	Account: samsimon1	 Name: ÙRitaÙOri	 Level: 110	 IP Address: 183.80.21.13 : 32040
4:13	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50010
4:13	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50011
4:14	Account: usd001	 Name: USD001	 Level: 95	 IP Address: 14.167.83.83 : 13172
4:14	Account: usd002	 Name: USD002	 Level: 93	 IP Address: 14.167.83.83 : 13176
4:14	Account: ribi01	 Name: RiBi01	 Level: 110	 IP Address: 14.167.83.83 : 13177
4:15	Account: usd001	 Name: USD001	 Level: 95	 IP Address: 14.167.83.83 : 13197
4:15	Account: usd002	 Name: USD002	 Level: 93	 IP Address: 14.167.83.83 : 13202
4:15	Account: ribi01	 Name: RiBi01	 Level: 110	 IP Address: 14.167.83.83 : 13203
4:16	Account: minsimon1	 Name: ÙJunÙKiri	 Level: 101	 IP Address: 183.80.21.13 : 37104
4:21	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50016
4:21	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50017
4:34	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50024
4:34	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50023
4:54	Account: ribi01	 Name: RiBi01	 Level: 110	 IP Address: 14.167.83.83 : 1073
4:55	Account: usd001	 Name: USD001	 Level: 95	 IP Address: 14.167.83.83 : 1081
4:56	Account: usd002	 Name: USD002	 Level: 93	 IP Address: 14.167.83.83 : 1088
4:58	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50029
4:58	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50030
5:0	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50033
5:0	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50034
5:5	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50038
5:5	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50040
5:6	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50045
5:6	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50047
5:15	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50053
5:15	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50055
5:17	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50061
5:17	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50062
5:18	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50068
5:18	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50070
5:19	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50075
5:19	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50076
5:19	Account: samsimon3	 Name: ZudoSIr	 Level: 80	 IP Address: 183.80.21.13 : 64967
5:20	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50081
5:20	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50083
5:21	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50088
5:21	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50090
5:23	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50094
5:24	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50096
5:29	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50102
5:29	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50103
5:39	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50107
5:39	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50109
5:46	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50114
5:46	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50115
5:48	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50118
5:48	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50119
5:53	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50122
5:53	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50123
5:55	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50129
5:55	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50130
5:56	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50133
5:56	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50134
5:57	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50137
5:57	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50138
6:1	Account: luukt53	 Name: NgoalongVD	 Level: 127	 IP Address: 115.75.51.168 : 58860
6:14	Account: nonhandl	 Name: NhËmÙNg·ÙHµnhÙ	 Level: 125	 IP Address: 183.80.160.143 : 51280
6:15	Account: nonhantl	 Name: V«DanhÙThÇnÙT¨ng	 Level: 104	 IP Address: 183.80.160.143 : 51284
6:16	Account: nonhannm	 Name: NhËmÙDoanhÙDoanh	 Level: 103	 IP Address: 183.80.160.143 : 51286
6:16	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50142
6:16	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50144
6:19	Account: nonhanvd	 Name: Vâ§angÙCh©nÙNh©n	 Level: 101	 IP Address: 183.80.160.143 : 51291
6:19	Account: nonhantn1	 Name: Th¸nhÙC«	 Level: 104	 IP Address: 183.80.160.143 : 51293
6:20	Account: nonhannd	 Name: MécÙUyÓnÙThanh	 Level: 84	 IP Address: 183.80.160.143 : 51295
6:21	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50150
6:21	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50151
6:22	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50155
6:22	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50157
6:24	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50160
6:24	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50161
6:25	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50167
6:25	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50169
6:27	Account: timlaivohien	 Name: EyeSmile	 Level: 95	 IP Address: 14.233.97.112 : 26785
6:28	Account: timlaivohien	 Name: EyeSmile	 Level: 95	 IP Address: 14.233.97.112 : 26849
6:31	Account: timlaivohien1	 Name: EyeSmile2	 Level: 91	 IP Address: 14.233.97.112 : 27329
6:36	Account: timlaivohien2	 Name: EyeSmile6	 Level: 89	 IP Address: 14.233.97.112 : 27905
6:37	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50171
6:37	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50173
6:38	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50176
6:38	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50178
6:39	Account: timlaivohien3	 Name: EyeSmile7	 Level: 87	 IP Address: 14.233.97.112 : 28609
6:40	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50180
6:40	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50182
6:42	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50186
6:42	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50187
6:42	Account: timlaivohien3	 Name: EyeSmile7	 Level: 87	 IP Address: 14.233.97.112 : 29249
6:43	Account: 83vunguyen	 Name: AnhThang	 Level: 80	 IP Address: 27.75.46.206 : 65241
6:43	Account: 83vunguyen	 Name: TaLaThang	 Level: 80	 IP Address: 27.75.46.206 : 65243
6:48	Account: luukt54	 Name: NgoalongNM	 Level: 110	 IP Address: 115.75.51.168 : 59772
6:48	Account: tranvinh04	 Name: B­ímÙEmÙCãÙ§éc	 Level: 103	 IP Address: 113.189.123.125 : 49331
6:49	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50191
6:49	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50193
6:49	Account: thangvl1	 Name: DocDoc1	 Level: 80	 IP Address: 113.189.123.125 : 49333
6:50	Account: thangvl1	 Name: DongBangsat	 Level: 80	 IP Address: 113.189.123.125 : 49335
6:51	Account: thangvl2	 Name: SetSetSÐt	 Level: 80	 IP Address: 113.189.123.125 : 49337
6:51	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50202
6:51	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50203
6:51	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50205
6:51	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50207
6:52	Account: thangvl2	 Name: Tocdodichuyen	 Level: 80	 IP Address: 113.189.123.125 : 49339
6:52	Account: thangvl3	 Name: sdfdsfdsf	 Level: 80	 IP Address: 113.189.123.125 : 49341
6:52	Account: thangvl4	 Name: 5§­êngCaCa	 Level: 80	 IP Address: 113.189.123.125 : 49344
6:53	Account: thangvl5	 Name: 5TLSuco	 Level: 106	 IP Address: 113.189.123.125 : 49346
6:53	Account: timlaivohien4	 Name: EyeSmile12	 Level: 80	 IP Address: 14.233.97.112 : 35105
6:54	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50211
6:54	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50214
6:56	Account: thangvl6	 Name: 6Vâ®ang	 Level: 101	 IP Address: 113.189.123.125 : 49348
6:56	Account: thangvl7	 Name: 7NgaMiBuffBuff	 Level: 99	 IP Address: 113.189.123.125 : 49350
6:57	Account: thangvl8	 Name: 8ThóyYªnTû	 Level: 101	 IP Address: 113.189.123.125 : 49352
6:58	Account: thangvl9	 Name: 9§écV«Biªn	 Level: 101	 IP Address: 113.189.123.125 : 49354
6:58	Account: 85vunguyen	 Name: NgocNgoc	 Level: 80	 IP Address: 27.75.46.206 : 65506
6:59	Account: thangvl10	 Name: 10HáaCaCa	 Level: 101	 IP Address: 113.189.123.125 : 49356
7:0	Account: tranvinh05	 Name: 75ÙNhíÙMétÙNg­êi	 Level: 97	 IP Address: 113.189.123.125 : 49358
7:1	Account: luukt55	 Name: NgoalongCB	 Level: 99	 IP Address: 115.75.51.168 : 60001
7:2	Account: luukt55	 Name: NgoalongCB	 Level: 99	 IP Address: 115.75.51.168 : 60009
7:2	Account: luukt55	 Name: NgoalongCB	 Level: 99	 IP Address: 115.75.51.168 : 60021
7:3	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50221
7:3	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50222
7:5	Account: luukt52	 Name: NgoalongTN	 Level: 95	 IP Address: 115.75.51.168 : 60076
7:7	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50230
7:7	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50231
7:12	Account: luukt56	 Name: NgoalongND	 Level: 96	 IP Address: 115.75.51.168 : 60176
7:16	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50238
7:16	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50239
7:16	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50242
7:16	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50243
7:19	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50247
7:19	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50249
7:26	Account: luukt51	 Name: NgoaLongTN	 Level: 94	 IP Address: 115.75.51.168 : 60423
7:27	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50254
7:28	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50256
7:28	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50259
7:28	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50260
7:28	Account: 83vunguyen	 Name: ThangDepTrai	 Level: 80	 IP Address: 27.75.46.206 : 49649
7:34	Account: timlaivohien5	 Name: EyeSmile9	 Level: 80	 IP Address: 14.233.97.112 : 57953
7:36	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50267
7:36	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50269
7:38	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50277
7:38	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50279
7:44	Account: 84vunguyen	 Name: TiemTapHoa	 Level: 80	 IP Address: 27.75.46.206 : 49906
7:46	Account: 85vunguyen	 Name: NgocNgoc	 Level: 80	 IP Address: 27.75.46.206 : 49908
7:48	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50286
7:48	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50287
7:50	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 50293
7:50	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 50294
7:51	Account: vunguyen1983	 Name: Thiennhan	 Level: 87	 IP Address: 27.75.46.206 : 50104
7:52	Account: 83vunguyen	 Name: ThangDepTrai	 Level: 80	 IP Address: 27.75.46.206 : 50167
7:52	Account: vunguyen1984	 Name: BinBin	 Level: 91	 IP Address: 27.75.46.206 : 50169
7:52	Account: vunguyen1983	 Name: Thiennhan	 Level: 87	 IP Address: 27.75.46.206 : 50171
7:56	Account: 83vunguyen	 Name: TaLaThang	 Level: 80	 IP Address: 27.75.46.206 : 50174
7:57	Account: 84vunguyen	 Name: TiemTapHoa	 Level: 80	 IP Address: 27.75.46.206 : 50176
7:58	Account: vunguyen1983	 Name: Thiennhan	 Level: 87	 IP Address: 27.75.46.206 : 50179
8:0	Account: vunguyen1985	 Name: binbin2	 Level: 82	 IP Address: 27.75.46.206 : 50181
8:0	Account: vunguyen1985	 Name: binbin3	 Level: 81	 IP Address: 27.75.46.206 : 50183
8:0	Account: vunguyen1985	 Name: BinBin1	 Level: 80	 IP Address: 27.75.46.206 : 50185
8:0	Account: vunguyen1986	 Name: 5555555	 Level: 84	 IP Address: 27.75.46.206 : 50187
