15:40:31	 Account: sauden020	Name: BuBinhhamay	 DelItem: Tóc S­¬ng
15:44:19	 Account: sauden020	Name: BuBinhhamay	 DelItem: Tiªn Th¶o Lé 
15:44:19	 Account: sauden020	Name: BuBinhhamay	 DelItem: Tinh Hång B¶o Th¹ch
15:44:19	 Account: sauden020	Name: BuBinhhamay	 DelItem: QuÕ Hoa Töu
15:44:19	 Account: sauden020	Name: BuBinhhamay	 DelItem: Tiªn Th¶o Lé 
15:44:19	 Account: sauden020	Name: BuBinhhamay	 DelItem: Tiªn Th¶o Lé 
15:44:19	 Account: sauden020	Name: BuBinhhamay	 DelItem: Tinh Hång B¶o Th¹ch
15:44:19	 Account: sauden020	Name: BuBinhhamay	 DelItem: Phi Tèc hoµn
15:44:19	 Account: sauden020	Name: BuBinhhamay	 DelItem: Gia Bµo hoµn
15:44:19	 Account: sauden020	Name: BuBinhhamay	 DelItem: Tr­êng MÖnh hoµn
15:44:26	 Account: daudau1150	Name: 123123	 DelItem: Viªm §Õ LÖnh
15:44:26	 Account: daudau1150	Name: 123123	 DelItem: Hång ¶nh Tô Chiªu
15:44:26	 Account: daudau1150	Name: 123123	 DelItem: Tiªn Th¶o Lé 
15:44:26	 Account: daudau1150	Name: 123123	 DelItem: LÖnh bµi Phong L¨ng §é
15:44:48	 Account: sauden020	Name: BuBinhhamay	 DelItem: Viªm §Õ LÖnh
15:44:48	 Account: sauden020	Name: BuBinhhamay	 DelItem: S¸t thñ gi¶n
15:44:48	 Account: sauden020	Name: BuBinhhamay	 DelItem: Tiªn Th¶o Lé 
15:44:48	 Account: sauden020	Name: BuBinhhamay	 DelItem: Tinh Hång B¶o Th¹ch
15:44:48	 Account: sauden020	Name: BuBinhhamay	 DelItem: QuÕ Hoa Töu
15:44:48	 Account: sauden020	Name: BuBinhhamay	 DelItem: Tinh Hång B¶o Th¹ch
15:44:48	 Account: sauden020	Name: BuBinhhamay	 DelItem: QuÕ Hoa Töu
15:44:48	 Account: sauden020	Name: BuBinhhamay	 DelItem: Tiªn Th¶o Lé 
15:44:48	 Account: sauden020	Name: BuBinhhamay	 DelItem: Thiªn s¬n B¶o Lé 
15:44:48	 Account: sauden020	Name: BuBinhhamay	 DelItem: QuÕ Hoa Töu
15:44:48	 Account: sauden020	Name: BuBinhhamay	 DelItem: Tiªn Th¶o Lé 
15:44:48	 Account: sauden020	Name: BuBinhhamay	 DelItem: Tinh Hång B¶o Th¹ch
15:44:48	 Account: sauden020	Name: BuBinhhamay	 DelItem: QuÕ Hoa Töu
15:45:55	 Account: daudau1150	Name: 123123	 DelItem: LÖnh bµi Phong L¨ng §é
15:45:55	 Account: daudau1150	Name: 123123	 DelItem: Viªm §Õ LÖnh
15:45:55	 Account: daudau1150	Name: 123123	 DelItem: S¸t thñ gi¶n
15:45:55	 Account: daudau1150	Name: 123123	 DelItem: Phóc Lîi §¬n LÔ Hép
15:45:55	 Account: daudau1150	Name: 123123	 DelItem: LÖnh bµi Phong L¨ng §é
15:45:55	 Account: daudau1150	Name: 123123	 DelItem: Viªm §Õ LÖnh
15:45:55	 Account: daudau1150	Name: 123123	 DelItem: S¸t thñ gi¶n
15:45:55	 Account: daudau1150	Name: 123123	 DelItem: Tiªn Th¶o Lé 
15:45:55	 Account: daudau1150	Name: 123123	 DelItem: LÖnh bµi Phong L¨ng §é
15:45:55	 Account: daudau1150	Name: 123123	 DelItem: Viªm §Õ LÖnh
15:45:55	 Account: daudau1150	Name: 123123	 DelItem: S¸t thñ gi¶n
15:45:55	 Account: daudau1150	Name: 123123	 DelItem: Tiªn Th¶o Lé 
15:45:55	 Account: daudau1150	Name: 123123	 DelItem: Tiªn Th¶o Lé 
15:45:55	 Account: daudau1150	Name: 123123	 DelItem: LÖnh bµi Phong L¨ng §é
15:45:55	 Account: daudau1150	Name: 123123	 DelItem: Viªm §Õ LÖnh
15:45:55	 Account: daudau1150	Name: 123123	 DelItem: S¸t thñ gi¶n
15:45:55	 Account: daudau1150	Name: 123123	 DelItem: Tiªn Th¶o Lé 
15:45:55	 Account: daudau1150	Name: 123123	 DelItem: Tiªn Th¶o Lé 
16:28:40	 Account: sauden020	Name: BuBinhhamay	 DelItem: TiÒn ®ång
16:28:40	 Account: sauden020	Name: BuBinhhamay	 DelItem: Hång ¶nh ThÈm Viªn UyÓn
16:28:40	 Account: sauden020	Name: BuBinhhamay	 DelItem: LÖnh bµi Phong L¨ng §é
16:28:40	 Account: sauden020	Name: BuBinhhamay	 DelItem: Viªm §Õ LÖnh
16:28:40	 Account: sauden020	Name: BuBinhhamay	 DelItem: QuÕ Hoa Töu
16:28:40	 Account: sauden020	Name: BuBinhhamay	 DelItem: Tiªn Th¶o Lé 
16:28:40	 Account: sauden020	Name: BuBinhhamay	 DelItem: Tiªn Th¶o Lé 
16:28:40	 Account: sauden020	Name: BuBinhhamay	 DelItem: Viªm §Õ LÖnh
16:28:40	 Account: sauden020	Name: BuBinhhamay	 DelItem: QuÕ Hoa Töu
16:28:40	 Account: sauden020	Name: BuBinhhamay	 DelItem: Tiªn Th¶o Lé 
16:28:40	 Account: sauden020	Name: BuBinhhamay	 DelItem: Tiªn Th¶o Lé 
16:28:40	 Account: sauden020	Name: BuBinhhamay	 DelItem: Viªm §Õ LÖnh
16:28:40	 Account: sauden020	Name: BuBinhhamay	 DelItem: S¸t thñ gi¶n
16:28:40	 Account: sauden020	Name: BuBinhhamay	 DelItem: Tiªn Th¶o Lé 
16:28:40	 Account: sauden020	Name: BuBinhhamay	 DelItem: Tiªn Th¶o Lé 
16:28:40	 Account: sauden020	Name: BuBinhhamay	 DelItem: Thiªn s¬n B¶o Lé 
16:28:40	 Account: sauden020	Name: BuBinhhamay	 DelItem: Tiªn Th¶o Lé 
16:28:40	 Account: sauden020	Name: BuBinhhamay	 DelItem: LÖnh bµi Phong L¨ng §é
16:28:40	 Account: sauden020	Name: BuBinhhamay	 DelItem: Tiªn Th¶o Lé 
16:28:40	 Account: sauden020	Name: BuBinhhamay	 DelItem: Tiªn Th¶o Lé 
16:28:40	 Account: sauden020	Name: BuBinhhamay	 DelItem: Tiªn Th¶o Lé 
16:29:08	 Account: sauden020	Name: BuBinhhamay	 DelItem: S¸t thñ gi¶n
16:29:08	 Account: sauden020	Name: BuBinhhamay	 DelItem: LÖnh bµi Phong L¨ng §é
16:29:08	 Account: sauden020	Name: BuBinhhamay	 DelItem: S¸t thñ gi¶n
16:29:08	 Account: sauden020	Name: BuBinhhamay	 DelItem: Phóc Duyªn Lé (TiÓu) 
16:29:08	 Account: sauden020	Name: BuBinhhamay	 DelItem: LÖnh bµi Phong L¨ng §é
16:29:08	 Account: sauden020	Name: BuBinhhamay	 DelItem: QuÕ Hoa Töu
16:29:08	 Account: sauden020	Name: BuBinhhamay	 DelItem: Tiªn Th¶o Lé 
16:39:30	 Account: sauden020	Name: BuBinhhamay	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
16:39:30	 Account: sauden020	Name: BuBinhhamay	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
16:39:30	 Account: sauden020	Name: BuBinhhamay	 DelItem: Kim Phong Lan §×nh Ngäc
16:39:30	 Account: sauden020	Name: BuBinhhamay	 DelItem: Kim Phong Tr¹c Liªn Quang
16:57:36	 Account: banhbanh	Name: NguoiMoi	 DelItem: Tóc S­¬ng
16:59:33	 Account: sauden030	Name: dasdsadsadasd	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
16:59:33	 Account: sauden030	Name: dasdsadsadasd	 DelItem: Kim Phong HËu NghÖ dÉn cung
16:59:33	 Account: sauden030	Name: dasdsadsadasd	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
16:59:33	 Account: sauden030	Name: dasdsadsadasd	 DelItem: Kim Phong Lan §×nh Ngäc
16:59:33	 Account: sauden030	Name: dasdsadsadasd	 DelItem: Ngäc Hoa Th«ng
16:59:33	 Account: sauden030	Name: dasdsadsadasd	 DelItem: Kim Phong Thanh D­¬ng Kh«i
16:59:33	 Account: sauden030	Name: dasdsadsadasd	 DelItem: Kim Phong Tr¹c Liªn Quang
16:59:33	 Account: sauden030	Name: dasdsadsadasd	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
17:00:14	 Account: sauden030	Name: dasdsadsadasd	 DelItem: Tóc S­¬ng
17:00:14	 Account: sauden030	Name: dasdsadsadasd	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
17:00:14	 Account: sauden030	Name: dasdsadsadasd	 DelItem: Kim Phong Kú L©n HuyÕt
17:00:14	 Account: sauden030	Name: dasdsadsadasd	 DelItem: Tóc S­¬ng
17:43:53	 Account: sauden020	Name: BuBinhhamay	 DelItem: Phi V©n
17:53:09	 Account: banhbanh	Name: NguoiMoi	 DelItem: Tinh Hång B¶o Th¹ch
17:53:09	 Account: banhbanh	Name: NguoiMoi	 DelItem: M¶nh Bæ Thiªn Th¹ch (trung)
17:53:09	 Account: banhbanh	Name: NguoiMoi	 DelItem: M¶nh Bæ Thiªn Th¹ch (tiÓu)
18:53:12	 Account: banhbanh	Name: NguoiMoi	 DelItem: §Þnh Quèc Ng©n Tµm Yªu ®¸i
18:53:12	 Account: banhbanh	Name: NguoiMoi	 DelItem:  §Þnh Quèc Thanh Sa Tr­êng Sam
