00:18:53	 Account: samsimon1	Name: ÙRitaÙOri	 DelItem: Kim Phong Thanh D­¬ng Kh«i
02:30:26	 Account: tumap3001	Name: ÙLureÙKiure	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
02:30:26	 Account: tumap3001	Name: ÙLureÙKiure	 DelItem: Kim Phong Thanh D­¬ng Kh«i
02:30:26	 Account: tumap3001	Name: ÙLureÙKiure	 DelItem: Kim Phong Kú L©n HuyÕt
02:30:26	 Account: tumap3001	Name: ÙLureÙKiure	 DelItem: Kim Phong Tr¹c Liªn Quang
02:30:26	 Account: tumap3001	Name: ÙLureÙKiure	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
02:30:37	 Account: tumap3001	Name: ÙLureÙKiure	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
02:30:37	 Account: tumap3001	Name: ÙLureÙKiure	 DelItem: Kim Phong HËu NghÖ dÉn cung
02:30:37	 Account: tumap3001	Name: ÙLureÙKiure	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
02:30:37	 Account: tumap3001	Name: ÙLureÙKiure	 DelItem: Kim Phong Lan §×nh Ngäc
07:30:49	 Account: luukt51	Name: NgoaLongTN	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
07:30:49	 Account: luukt51	Name: NgoaLongTN	 DelItem: Kim Phong Kú L©n HuyÕt
07:30:49	 Account: luukt51	Name: NgoaLongTN	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
07:30:49	 Account: luukt51	Name: NgoaLongTN	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
07:30:49	 Account: luukt51	Name: NgoaLongTN	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
07:30:49	 Account: luukt51	Name: NgoaLongTN	 DelItem: Kim Phong Tr¹c Liªn Quang
07:33:07	 Account: luukt51	Name: NgoaLongTN	 DelItem: Tóc S­¬ng
07:33:50	 Account: luukt51	Name: NgoaLongTN	 DelItem: Kim Phong Thanh D­¬ng Kh«i
07:40:57	 Account: luukt51	Name: NgoaLongTN	 DelItem: Kim Phong HËu NghÖ dÉn cung
08:47:21	 Account: timlaivohien4	Name: EyeSmile10	 DelItem: Kim Phong Thanh D­¬ng Kh«i
08:54:21	 Account: minhtrand6	Name: BÐÙMóp	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
08:54:21	 Account: minhtrand6	Name: BÐÙMóp	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
08:54:21	 Account: minhtrand6	Name: BÐÙMóp	 DelItem: Kim Phong Thanh D­¬ng Kh«i
08:54:21	 Account: minhtrand6	Name: BÐÙMóp	 DelItem: Kim Phong HËu NghÖ dÉn cung
08:54:46	 Account: minhtrand6	Name: BÐÙMóp	 DelItem: Tóc S­¬ng
08:54:46	 Account: minhtrand6	Name: BÐÙMóp	 DelItem: Kim Phong Kú L©n HuyÕt
08:55:51	 Account: minhtrand6	Name: BÐÙMóp	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
09:07:34	 Account: phamtungdhv2	Name: ZzNgocCuxizZ	 DelItem: Toan Nghª gi¸p
09:20:37	 Account: ctcshxt2	Name: CTCÙTiÒnÙ02	 DelItem: Tóc S­¬ng
09:21:13	 Account: minhtrand6	Name: BÐÙMóp	 DelItem: Kim Phong Lan §×nh Ngäc
09:21:13	 Account: minhtrand6	Name: BÐÙMóp	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
09:24:26	 Account: minhtrand6	Name: BÐÙMóp	 DelItem: Kim Phong Tr¹c Liªn Quang
10:10:43	 Account: timlaivohien	Name: EyeSmile	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
10:10:43	 Account: timlaivohien	Name: EyeSmile	 DelItem: Kim Phong Thanh D­¬ng Kh«i
10:10:43	 Account: timlaivohien	Name: EyeSmile	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
10:10:43	 Account: timlaivohien	Name: EyeSmile	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
10:10:43	 Account: timlaivohien	Name: EyeSmile	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
10:22:32	 Account: hiennguyenag12	Name: CayTienAG	 DelItem: Tóc S­¬ng
10:29:59	 Account: hiennguyenag13	Name: ÙCayTienAG1Ù	 DelItem: Tóc S­¬ng
10:32:50	 Account: hiennguyenag14	Name: ÙCayTienAG2Ù	 DelItem: Tóc S­¬ng
10:37:34	 Account: hiennguyenag15	Name: ÙCayTienAG3Ù	 DelItem: Tóc S­¬ng
10:41:42	 Account: hiennguyenag10	Name: HoaLongAG1	 DelItem: Tóc S­¬ng
10:48:16	 Account: timlaivohien1	Name: EyeSmile2	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
10:48:16	 Account: timlaivohien1	Name: EyeSmile2	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
10:48:16	 Account: timlaivohien1	Name: EyeSmile2	 DelItem: Kim Phong HËu NghÖ dÉn cung
10:48:16	 Account: timlaivohien1	Name: EyeSmile2	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
10:48:16	 Account: timlaivohien1	Name: EyeSmile2	 DelItem: Kim Phong Lan §×nh Ngäc
10:48:16	 Account: timlaivohien1	Name: EyeSmile2	 DelItem: Kim Phong Thanh D­¬ng Kh«i
10:48:16	 Account: timlaivohien1	Name: EyeSmile2	 DelItem: Kim Phong Kú L©n HuyÕt
10:48:16	 Account: timlaivohien1	Name: EyeSmile2	 DelItem: Kim Phong Tr¹c Liªn Quang
10:48:16	 Account: timlaivohien1	Name: EyeSmile2	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
11:08:17	 Account: luukt53	Name: NgoalongVD	 DelItem: Kinh B¶o quÇn
11:10:18	 Account: luukt53	Name: NgoalongVD	 DelItem: Hæ B× Ngoa
11:19:13	 Account: luukt53	Name: NgoalongVD	 DelItem: Hå §iÖp Song §ao
11:28:09	 Account: luukt53	Name: NgoalongVD	 DelItem: Gi¶i Tr¹i gi¸p
11:31:07	 Account: luukt52	Name: NgoalongTN	 DelItem: Tµm T¬ M·o
11:31:17	 Account: luukt52	Name: NgoalongTN	 DelItem: Kh«n Léc m·o
11:31:24	 Account: luukt52	Name: NgoalongTN	 DelItem: Y T¬ Ph¸t §¸i
11:31:35	 Account: luukt52	Name: NgoalongTN	 DelItem: §iªu ThiÒn Qu¸n
11:31:42	 Account: luukt52	Name: NgoalongTN	 DelItem: X­¬ng Hoµn ngoa
12:00:47	 Account: luukt53	Name: NgoalongVD	 DelItem: Phï Dung M·o
19:45:39	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Hång ¶nh ThÈm Viªn UyÓn
19:45:39	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Hång ¶nh ThÈm Viªn UyÓn
19:45:39	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Hång ¶nh ThÈm Viªn UyÓn
19:45:39	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Hång ¶nh ThÈm Viªn UyÓn
20:08:25	 Account: tranvinh03	Name: ItsÙMyLife	 DelItem: Kim Phong HËu NghÖ dÉn cung
20:08:25	 Account: tranvinh03	Name: ItsÙMyLife	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
20:08:25	 Account: tranvinh03	Name: ItsÙMyLife	 DelItem: Kim Phong Lan §×nh Ngäc
20:08:25	 Account: tranvinh03	Name: ItsÙMyLife	 DelItem: Kim Phong Thanh D­¬ng Kh«i
20:08:25	 Account: tranvinh03	Name: ItsÙMyLife	 DelItem: Kim Phong Kú L©n HuyÕt
20:08:25	 Account: tranvinh03	Name: ItsÙMyLife	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
20:08:25	 Account: tranvinh03	Name: ItsÙMyLife	 DelItem: Kim Phong Tr¹c Liªn Quang
20:08:25	 Account: tranvinh03	Name: ItsÙMyLife	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
20:08:25	 Account: tranvinh03	Name: ItsÙMyLife	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:07:55	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: HuyÒn Tinh CÈm Nang
23:07:55	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: HuyÒn ThiÕt kho¸ng
23:07:55	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: MËt Ng©n Nguyªn Kho¸ng
23:07:55	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Hoa Quèc Kh¸nh
23:07:55	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: MËt ®å thÇn bÝ 
23:07:55	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: HiÖp Cèt §an T©m Giíi
23:07:55	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: HiÖp Cèt §a T×nh Hoµn
23:07:55	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: HiÖp Cèt ThiÕt HuyÕt Sam
23:07:55	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: M¶nh HiÖp Cèt T×nh ý KÕt (5/6) 
23:07:55	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: M¶nh HiÖp Cèt T×nh ý KÕt (6/6) 
23:07:55	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: M¶nh HiÖp Cèt T×nh ý KÕt (4/6) 
23:07:55	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: M¶nh HiÖp Cèt T×nh ý KÕt (3/6) 
23:07:55	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: M¶nh HiÖp Cèt T×nh ý KÕt (1/6) 
23:10:23	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Thiªn NhÉn MËt Trang
23:10:23	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Thiªn NhÉn MËt Trang
