0:3	Account: minhvu25091990	 Name: DocXinh	 Level: 81	 IP Address: 116.110.119.64 : 13647
4:53	Account: usd002	 Name: USD002	 Level: 92	 IP Address: 14.167.83.83 : 7300
4:53	Account: usd002	 Name: USD002	 Level: 92	 IP Address: 14.167.83.83 : 7307
4:53	Account: usd001	 Name: USD001	 Level: 94	 IP Address: 14.167.83.83 : 7308
4:53	Account: ribi01	 Name: RiBi01	 Level: 109	 IP Address: 14.167.83.83 : 7312
4:55	Account: thangvl6	 Name: 6Vâ®ang	 Level: 100	 IP Address: 113.22.34.131 : 2486
4:56	Account: thangvl8	 Name: 8ThóyYªnTû	 Level: 100	 IP Address: 113.22.34.131 : 2490
4:57	Account: thangvl7	 Name: 7NgaMiBuffBuff	 Level: 97	 IP Address: 113.22.34.131 : 2494
4:58	Account: thangvl1	 Name: DocDoc1	 Level: 80	 IP Address: 113.22.34.131 : 2498
5:4	Account: thangvl5	 Name: 5TLSuco	 Level: 105	 IP Address: 113.22.34.131 : 2506
5:14	Account: minhtrand3	 Name: HáaÙLongÙTµÙNh©n	 Level: 103	 IP Address: 27.75.46.206 : 63346
5:19	Account: 83vunguyen	 Name: AnhThang	 Level: 80	 IP Address: 27.75.46.206 : 63413
5:27	Account: 83vunguyen	 Name: AnhThang	 Level: 80	 IP Address: 27.75.46.206 : 63606
5:31	Account: thangvl10	 Name: 10HáaCaCa	 Level: 100	 IP Address: 113.22.34.131 : 2550
5:37	Account: thangvl3	 Name: sdfdsfdsf	 Level: 80	 IP Address: 113.22.34.131 : 2561
5:38	Account: thangvl4	 Name: 5§­êngCaCa	 Level: 80	 IP Address: 113.22.34.131 : 2565
5:38	Account: thangvl2	 Name: SetSetSÐt	 Level: 80	 IP Address: 113.22.34.131 : 2567
5:44	Account: thangvl9	 Name: 9§écV«Biªn	 Level: 100	 IP Address: 113.22.34.131 : 2578
5:46	Account: thangvl10	 Name: 10HáaCaCa	 Level: 100	 IP Address: 113.22.34.131 : 2586
5:46	Account: thangvl8	 Name: 8ThóyYªnTû	 Level: 100	 IP Address: 113.22.34.131 : 2589
5:47	Account: tranvinh05	 Name: 75ÙNhíÙMétÙNg­êi	 Level: 94	 IP Address: 14.176.227.170 : 60016
5:47	Account: tranvinh04	 Name: B­ímÙEmÙCãÙ§éc	 Level: 100	 IP Address: 14.176.227.170 : 60019
5:47	Account: tranvinh01	 Name: Ù2SaoÙ1g¹ch	 Level: 102	 IP Address: 14.176.227.170 : 60021
5:47	Account: tranvinh02	 Name: HuúnhÙNi	 Level: 94	 IP Address: 14.176.227.170 : 60022
5:47	Account: tranvinh03	 Name: ItsÙMyLife	 Level: 93	 IP Address: 14.176.227.170 : 60023
5:47	Account: tranvinh06	 Name: ThiªnÙ§ÞaÙV«ÙCù	 Level: 94	 IP Address: 14.176.227.170 : 60024
5:49	Account: thangvl6	 Name: 6Vâ®ang	 Level: 100	 IP Address: 113.22.34.131 : 2595
5:55	Account: thangvl1	 Name: DongBangsat	 Level: 1	 IP Address: 113.22.34.131 : 2607
6:7	Account: thangvl2	 Name: Tocdodichuyen	 Level: 1	 IP Address: 113.22.34.131 : 2624
6:11	Account: thangvl5	 Name: 5TLSuco	 Level: 105	 IP Address: 113.22.34.131 : 2630
6:15	Account: luukt51	 Name: NgoaLongTN	 Level: 94	 IP Address: 123.25.218.214 : 58385
7:14	Account: 83vunguyen	 Name: AnhThang	 Level: 80	 IP Address: 27.75.46.206 : 65393
7:18	Account: 83vunguyen	 Name: TaLaThang	 Level: 1	 IP Address: 27.75.46.206 : 65395
7:42	Account: bando	 Name: HDÙMÑThiªnH¹	 Level: 113	 IP Address: 118.71.192.89 : 47531
7:45	Account: banhang1	 Name: 0988207491t	 Level: 80	 IP Address: 118.71.192.89 : 38354
7:46	Account: timlaivohien	 Name: EyeSmile	 Level: 87	 IP Address: 14.233.97.112 : 64865
7:46	Account: banhang	 Name: 0988207491	 Level: 80	 IP Address: 118.71.192.89 : 47339
7:51	Account: hieuham1996	 Name: TriÖuÙTöÙLong	 Level: 108	 IP Address: 118.71.192.89 : 6601
7:55	Account: minhtrand5	 Name: LÇyÙAÙMinh	 Level: 101	 IP Address: 27.75.46.206 : 50165
7:58	Account: timlaivohien1	 Name: EyeSmile2	 Level: 84	 IP Address: 14.233.97.112 : 25089
8:0	Account: timlaivohien2	 Name: EyeSmile6	 Level: 84	 IP Address: 14.233.97.112 : 37281
8:6	Account: timlaivohien3	 Name: EyeSmile7	 Level: 82	 IP Address: 14.233.97.112 : 51809
8:15	Account: minhtrand1	 Name: GiÕtÙS­Ù§ètÙChïa	 Level: 101	 IP Address: 14.174.119.34 : 49360
8:16	Account: minhtrand2	 Name: TiÓuÙLinh	 Level: 100	 IP Address: 14.174.119.34 : 49372
8:17	Account: luukt52	 Name: NgoalongTN	 Level: 94	 IP Address: 123.25.218.214 : 60726
8:18	Account: minhtrand3	 Name: HáaÙLongÙTµÙNh©n	 Level: 103	 IP Address: 14.174.119.34 : 49379
8:25	Account: minhtrand7	 Name: 3143242	 Level: 81	 IP Address: 14.174.119.34 : 49408
8:26	Account: minhtrand20	 Name: sanboss2	 Level: 81	 IP Address: 14.174.119.34 : 49417
8:27	Account: minhtrand20	 Name: sanboss1	 Level: 80	 IP Address: 14.174.119.34 : 49419
8:27	Account: minhtrand21	 Name: sanboss3	 Level: 80	 IP Address: 14.174.119.34 : 49421
8:28	Account: minhtrand20	 Name: sanboss2	 Level: 81	 IP Address: 14.174.119.34 : 49427
8:31	Account: minhtrand8	 Name: 8657575	 Level: 80	 IP Address: 14.174.119.34 : 49433
8:31	Account: minhtrand8	 Name: 313131	 Level: 80	 IP Address: 14.174.119.34 : 49435
8:31	Account: minhtrand10	 Name: trumaancuop	 Level: 80	 IP Address: 14.174.119.34 : 49437
8:31	Account: minhtrand10	 Name: sanboss6	 Level: 80	 IP Address: 14.174.119.34 : 49439
8:31	Account: minhtrand10	 Name: 32131311	 Level: 80	 IP Address: 14.174.119.34 : 49441
8:32	Account: minhtrand8	 Name: 313131	 Level: 80	 IP Address: 14.174.119.34 : 49444
8:32	Account: minhtrand8	 Name: cuopcuop	 Level: 80	 IP Address: 14.174.119.34 : 49446
8:32	Account: minhtrand9	 Name: 3213131	 Level: 80	 IP Address: 14.174.119.34 : 49448
8:32	Account: minhtrand9	 Name: talaancuop	 Level: 80	 IP Address: 14.174.119.34 : 49450
8:32	Account: minhtrand9	 Name: 098080	 Level: 80	 IP Address: 14.174.119.34 : 49452
8:33	Account: minhtrand10	 Name: 32131311	 Level: 80	 IP Address: 14.174.119.34 : 49455
8:33	Account: minhtrand11	 Name: 313133	 Level: 80	 IP Address: 14.174.119.34 : 49457
8:33	Account: minhtrand11	 Name: 443243242	 Level: 80	 IP Address: 14.174.119.34 : 49459
8:34	Account: minhtrand11	 Name: 23123213	 Level: 80	 IP Address: 14.174.119.34 : 49461
8:34	Account: minhtrand20	 Name: 332131321	 Level: 80	 IP Address: 14.174.119.34 : 49466
8:41	Account: vu25091990	 Name: XinhGai21	 Level: 81	 IP Address: 14.174.119.34 : 49476
8:41	Account: banhang1	 Name: 1234566789	 Level: 83	 IP Address: 118.71.192.89 : 9571
8:41	Account: thoakhungz5	 Name: §õngÙChäcÙTao	 Level: 108	 IP Address: 171.231.196.243 : 49169
8:42	Account: thoakhungzz6	 Name: KinhBáMÑ	 Level: 102	 IP Address: 171.231.196.243 : 49172
8:42	Account: vu25091990	 Name: DocXinh22	 Level: 81	 IP Address: 14.174.119.34 : 49485
8:42	Account: thangvl10	 Name: 10HáaCaCa	 Level: 100	 IP Address: 14.176.227.170 : 60037
8:42	Account: kingvl1	 Name: HáaLongCaCa	 Level: 87	 IP Address: 118.71.192.89 : 32927
8:44	Account: thangvl1	 Name: DongBangsat	 Level: 80	 IP Address: 14.176.227.170 : 60039
8:44	Account: vu25091990	 Name: DocXinh23	 Level: 81	 IP Address: 14.174.119.34 : 49493
8:45	Account: thoakhungz1	 Name: §ÇuÙTräcÙ9ÙChÊm	 Level: 104	 IP Address: 171.231.196.243 : 49176
8:45	Account: thangvl1	 Name: DocDoc1	 Level: 80	 IP Address: 14.176.227.170 : 60041
8:45	Account: sarin1	 Name: DocXinh9	 Level: 81	 IP Address: 14.174.119.34 : 49496
8:46	Account: kingvl5	 Name: HDÙTh¶o	 Level: 86	 IP Address: 118.71.192.89 : 45869
8:46	Account: thangvl2	 Name: SetSetSÐt	 Level: 80	 IP Address: 14.176.227.170 : 60043
8:46	Account: thoakhungz2	 Name: ThÝchÙ¡nÙ§¹pÙKo	 Level: 103	 IP Address: 171.231.196.243 : 49178
8:46	Account: sarin1	 Name: DocXinh10	 Level: 81	 IP Address: 14.174.119.34 : 49498
8:46	Account: thangvl2	 Name: Tocdodichuyen	 Level: 80	 IP Address: 14.176.227.170 : 60045
8:46	Account: thangvl3	 Name: sdfdsfdsf	 Level: 80	 IP Address: 14.176.227.170 : 60047
8:46	Account: kingvl4	 Name: HDÙbuff	 Level: 86	 IP Address: 118.71.192.89 : 42963
8:46	Account: thangvl4	 Name: 5§­êngCaCa	 Level: 80	 IP Address: 14.176.227.170 : 60049
8:47	Account: thangvl5	 Name: 5TLSuco	 Level: 105	 IP Address: 14.176.227.170 : 60051
8:47	Account: thoakhungz4	 Name: ThöÙ§ôngÙTaoÙ§i	 Level: 105	 IP Address: 171.231.196.243 : 49180
8:47	Account: thangvl6	 Name: 6Vâ®ang	 Level: 100	 IP Address: 14.176.227.170 : 60053
8:48	Account: thoakhungz6	 Name: CùcÙKúÙBèÙL¸o	 Level: 101	 IP Address: 171.231.196.243 : 49186
8:48	Account: thangvl7	 Name: 7NgaMiBuffBuff	 Level: 97	 IP Address: 14.176.227.170 : 60055
8:49	Account: thangvl8	 Name: 8ThóyYªnTû	 Level: 100	 IP Address: 14.176.227.170 : 60057
8:49	Account: thangvl9	 Name: 9§écV«Biªn	 Level: 100	 IP Address: 14.176.227.170 : 60059
8:50	Account: thangvl10	 Name: 10HáaCaCa	 Level: 100	 IP Address: 14.176.227.170 : 60062
8:53	Account: tranvinh03	 Name: ItsÙMyLife	 Level: 93	 IP Address: 14.176.227.170 : 60064
8:54	Account: thangvl10	 Name: 10HáaCaCa	 Level: 100	 IP Address: 14.176.227.170 : 60068
8:54	Account: thangvl9	 Name: 9§écV«Biªn	 Level: 100	 IP Address: 14.176.227.170 : 60070
8:55	Account: thangvl8	 Name: 8ThóyYªnTû	 Level: 100	 IP Address: 14.176.227.170 : 60072
8:55	Account: thangvl7	 Name: 7NgaMiBuffBuff	 Level: 97	 IP Address: 14.176.227.170 : 60074
8:57	Account: tranvinh03	 Name: ItsÙMyLife	 Level: 93	 IP Address: 14.176.227.170 : 60076
9:2	Account: ctcshxt1	 Name: hangve	 Level: 80	 IP Address: 14.176.227.170 : 60078
9:2	Account: tranvinh03	 Name: ItsÙMyLife	 Level: 93	 IP Address: 14.176.227.170 : 60080
9:4	Account: sarin1	 Name: DocXinh10	 Level: 81	 IP Address: 14.174.119.34 : 49520
9:4	Account: sarin1	 Name: DocXinh11	 Level: 81	 IP Address: 14.174.119.34 : 49522
9:5	Account: sarin2	 Name: DocXinh12	 Level: 82	 IP Address: 14.174.119.34 : 49526
9:5	Account: sarin2	 Name: DocXinh14	 Level: 81	 IP Address: 14.174.119.34 : 49528
9:6	Account: sarin2	 Name: DocXinh13	 Level: 81	 IP Address: 14.174.119.34 : 49530
9:6	Account: minhtrand20	 Name: sanboss2	 Level: 81	 IP Address: 14.174.119.34 : 49533
9:8	Account: kingvl1	 Name: KimLongKAKA	 Level: 1	 IP Address: 118.71.192.89 : 40207
9:12	Account: minhtrand5	 Name: LÇyÙAÙMinh	 Level: 101	 IP Address: 14.174.119.34 : 49548
9:12	Account: vunguyen1989	 Name: khongbietten	 Level: 93	 IP Address: 115.73.16.148 : 49453
9:13	Account: vunguyen1983	 Name: Thiennhan	 Level: 85	 IP Address: 115.73.16.148 : 49456
9:15	Account: minhtrand7	 Name: buffbuff	 Level: 80	 IP Address: 14.174.119.34 : 49557
9:15	Account: minhtrand7	 Name: ancuopday	 Level: 80	 IP Address: 14.174.119.34 : 49559
9:15	Account: vunguyen1988	 Name: 111111111	 Level: 93	 IP Address: 115.73.16.148 : 49458
9:15	Account: minhtrand8	 Name: 8657575	 Level: 80	 IP Address: 14.174.119.34 : 49562
9:15	Account: minhtrand8	 Name: 313131	 Level: 80	 IP Address: 14.174.119.34 : 49564
9:15	Account: minhtrand8	 Name: cuopcuop	 Level: 80	 IP Address: 14.174.119.34 : 49566
9:15	Account: vunguyen1984	 Name: BinBin	 Level: 85	 IP Address: 115.73.16.148 : 49460
9:15	Account: minhtrand9	 Name: 3213131	 Level: 80	 IP Address: 14.174.119.34 : 49568
9:15	Account: minhtrand9	 Name: talaancuop	 Level: 80	 IP Address: 14.174.119.34 : 49570
9:15	Account: minhtrand9	 Name: 098080	 Level: 80	 IP Address: 14.174.119.34 : 49572
9:16	Account: minhtrand10	 Name: trumaancuop	 Level: 80	 IP Address: 14.174.119.34 : 49574
9:16	Account: minhtrand10	 Name: sanboss6	 Level: 80	 IP Address: 14.174.119.34 : 49576
9:16	Account: minhtrand10	 Name: 32131311	 Level: 80	 IP Address: 14.174.119.34 : 49578
9:16	Account: minhtrand11	 Name: 313133	 Level: 80	 IP Address: 14.174.119.34 : 49580
9:16	Account: minhtrand11	 Name: 443243242	 Level: 80	 IP Address: 14.174.119.34 : 49582
9:16	Account: minhtrand7	 Name: 3143242	 Level: 81	 IP Address: 14.174.119.34 : 49585
9:17	Account: minhtrand26	 Name: sanboss11	 Level: 80	 IP Address: 14.174.119.34 : 49587
9:21	Account: kingvl1	 Name: KimLongKAKA	 Level: 80	 IP Address: 118.71.192.89 : 35201
9:25	Account: minhtrand5	 Name: LÇyÙAÙMinh	 Level: 101	 IP Address: 14.174.119.34 : 49606
9:26	Account: vunguyen1985	 Name: binbin2	 Level: 82	 IP Address: 115.73.16.148 : 49728
9:27	Account: 83vunguyen	 Name: TaLaThang	 Level: 80	 IP Address: 115.73.16.148 : 49733
9:28	Account: minhtrand5	 Name: LÇyÙAÙMinh	 Level: 101	 IP Address: 14.174.119.34 : 49609
9:35	Account: minhtrand8	 Name: 8657575	 Level: 80	 IP Address: 14.174.119.34 : 49630
9:35	Account: vunguyen1986	 Name: 5555555	 Level: 82	 IP Address: 115.73.16.148 : 49746
9:37	Account: minhtrand25	 Name: sanboss10	 Level: 80	 IP Address: 14.174.119.34 : 49732
9:37	Account: minhtrand26	 Name: sanboss11	 Level: 80	 IP Address: 14.174.119.34 : 49734
9:38	Account: minhtrand7	 Name: 3143242	 Level: 81	 IP Address: 14.174.119.34 : 49759
10:5	Account: sarin1990	 Name: DocDep	 Level: 89	 IP Address: 116.110.119.64 : 49203
10:6	Account: minhvu25091990	 Name: Kamikaze	 Level: 83	 IP Address: 116.110.119.64 : 31064
10:6	Account: minhtrand27	 Name: sanboss13	 Level: 80	 IP Address: 14.174.119.34 : 50323
10:7	Account: saluci	 Name: DocXinh3	 Level: 81	 IP Address: 116.110.119.64 : 31299
10:8	Account: 83vunguyen	 Name: TaLaThang	 Level: 80	 IP Address: 115.73.16.148 : 50271
10:8	Account: 83vunguyen	 Name: AnhThang	 Level: 80	 IP Address: 115.73.16.148 : 50273
10:18	Account: saluci	 Name: DocXinh4	 Level: 81	 IP Address: 116.110.119.64 : 49406
10:18	Account: sarin3	 Name: DocXinh17	 Level: 81	 IP Address: 116.110.119.64 : 33989
10:21	Account: minhtrand8	 Name: 8657575	 Level: 80	 IP Address: 14.174.119.34 : 50685
10:21	Account: minhtrand8	 Name: 8657575	 Level: 80	 IP Address: 14.174.119.34 : 50687
10:21	Account: minhtrand8	 Name: 313131	 Level: 80	 IP Address: 14.174.119.34 : 50693
10:22	Account: minhtrand8	 Name: cuopcuop	 Level: 80	 IP Address: 14.174.119.34 : 50695
10:22	Account: minhtrand9	 Name: 3213131	 Level: 80	 IP Address: 14.174.119.34 : 50698
10:22	Account: minhtrand9	 Name: talaancuop	 Level: 80	 IP Address: 14.174.119.34 : 50701
10:22	Account: minhtrand9	 Name: 098080	 Level: 80	 IP Address: 14.174.119.34 : 50704
10:22	Account: minhtrand10	 Name: trumaancuop	 Level: 80	 IP Address: 14.174.119.34 : 50708
10:22	Account: minhtrand10	 Name: sanboss6	 Level: 80	 IP Address: 14.174.119.34 : 50711
10:22	Account: minhtrand10	 Name: 32131311	 Level: 80	 IP Address: 14.174.119.34 : 50715
10:22	Account: minhtrand11	 Name: 313133	 Level: 80	 IP Address: 14.174.119.34 : 50717
10:22	Account: minhtrand11	 Name: 443243242	 Level: 80	 IP Address: 14.174.119.34 : 50723
10:23	Account: minhtrand11	 Name: 23123213	 Level: 80	 IP Address: 14.174.119.34 : 50741
10:23	Account: minhtrand12	 Name: 65456464	 Level: 80	 IP Address: 14.174.119.34 : 50744
10:23	Account: minhtrand12	 Name: 322312	 Level: 80	 IP Address: 14.174.119.34 : 50747
10:23	Account: minhtrand12	 Name: 3213131111	 Level: 80	 IP Address: 14.174.119.34 : 50750
10:23	Account: saluci	 Name: DocXinh3	 Level: 81	 IP Address: 116.110.119.64 : 49457
10:23	Account: minhtrand13	 Name: 32131111122	 Level: 80	 IP Address: 14.174.119.34 : 50756
10:24	Account: minhtrand13	 Name: 3242400	 Level: 80	 IP Address: 14.174.119.34 : 50759
10:24	Account: minhtrand13	 Name: 31231310	 Level: 80	 IP Address: 14.174.119.34 : 50761
10:24	Account: minhtrand14	 Name: 32131312	 Level: 80	 IP Address: 14.174.119.34 : 50765
10:24	Account: minhtrand14	 Name: 213131	 Level: 80	 IP Address: 14.174.119.34 : 50770
10:24	Account: minhtrand14	 Name: 3113120	 Level: 80	 IP Address: 14.174.119.34 : 50772
10:24	Account: minhtrand15	 Name: 321321	 Level: 80	 IP Address: 14.174.119.34 : 50776
10:24	Account: minhtrand15	 Name: 3132131	 Level: 80	 IP Address: 14.174.119.34 : 50781
10:24	Account: minhtrand15	 Name: 311323444	 Level: 80	 IP Address: 14.174.119.34 : 50785
10:24	Account: minhtrand16	 Name: 313123	 Level: 80	 IP Address: 14.174.119.34 : 50790
10:25	Account: minhtrand16	 Name: 32131321	 Level: 80	 IP Address: 14.174.119.34 : 50794
10:25	Account: saluci	 Name: DocXinh5	 Level: 81	 IP Address: 116.110.119.64 : 34612
10:25	Account: minhtrand26	 Name: sanboss11	 Level: 80	 IP Address: 14.174.119.34 : 50804
10:30	Account: 83vunguyen	 Name: TaLaThang	 Level: 80	 IP Address: 115.73.16.148 : 50795
10:34	Account: minhtrand20	 Name: sanboss2	 Level: 81	 IP Address: 14.174.119.34 : 50851
10:35	Account: saluci	 Name: DocXinh4	 Level: 81	 IP Address: 116.110.119.64 : 34445
10:35	Account: minhtrand20	 Name: sanboss1	 Level: 80	 IP Address: 14.174.119.34 : 50854
10:35	Account: minhtrand20	 Name: 332131321	 Level: 80	 IP Address: 14.174.119.34 : 50856
10:36	Account: minhtrand21	 Name: sanboss3	 Level: 80	 IP Address: 14.174.119.34 : 50860
10:37	Account: minhtrand21	 Name: sanboss4	 Level: 80	 IP Address: 14.174.119.34 : 50863
10:38	Account: minhtrand21	 Name: sanboss7	 Level: 80	 IP Address: 14.174.119.34 : 50868
10:38	Account: minhtrand22	 Name: sanboss12	 Level: 80	 IP Address: 14.174.119.34 : 50870
10:44	Account: minhtrand22	 Name: sanboss5	 Level: 80	 IP Address: 14.174.119.34 : 50901
10:47	Account: sarin1990	 Name: DocDepGhe	 Level: 1	 IP Address: 116.110.119.64 : 49662
10:53	Account: minhtrand1	 Name: GiÕtÙS­Ù§ètÙChïa	 Level: 101	 IP Address: 14.174.119.34 : 50926
10:59	Account: vu25091990	 Name: XinhGai21	 Level: 81	 IP Address: 116.110.119.64 : 36669
11:0	Account: minhtrand6	 Name: BÐÙMóp	 Level: 101	 IP Address: 14.174.119.34 : 50969
11:3	Account: minhtrand3	 Name: HáaÙLongÙTµÙNh©n	 Level: 103	 IP Address: 14.174.119.34 : 50988
11:4	Account: z1minhtao	 Name: adg12a	 Level: 1	 IP Address: 171.242.177.123 : 16907
11:5	Account: z1minhtao	 Name: adg12a	 Level: 80	 IP Address: 171.242.177.123 : 49378
11:6	Account: thangvl10	 Name: 10HáaCaCa	 Level: 100	 IP Address: 14.176.227.170 : 60085
11:7	Account: thangvl9	 Name: 9§écV«Biªn	 Level: 100	 IP Address: 14.176.227.170 : 60087
11:7	Account: thangvl8	 Name: 8ThóyYªnTû	 Level: 100	 IP Address: 14.176.227.170 : 60089
11:7	Account: thangvl7	 Name: 7NgaMiBuffBuff	 Level: 97	 IP Address: 14.176.227.170 : 60091
11:9	Account: thangvl6	 Name: 6Vâ®ang	 Level: 100	 IP Address: 14.176.227.170 : 60093
11:9	Account: thangvl5	 Name: 5TLSuco	 Level: 105	 IP Address: 14.176.227.170 : 60095
11:10	Account: thangvl4	 Name: 5§­êngCaCa	 Level: 80	 IP Address: 14.176.227.170 : 60097
11:10	Account: tranvinh03	 Name: ItsÙMyLife	 Level: 94	 IP Address: 14.176.227.170 : 60099
11:10	Account: vu25091990	 Name: DocXinh22	 Level: 81	 IP Address: 116.110.119.64 : 49881
11:12	Account: minhtrand2	 Name: TiÓuÙLinh	 Level: 100	 IP Address: 14.174.119.34 : 51007
11:13	Account: minhtrand3	 Name: HáaÙLongÙTµÙNh©n	 Level: 103	 IP Address: 14.174.119.34 : 51011
11:13	Account: minhtrand20	 Name: sanboss2	 Level: 81	 IP Address: 14.174.119.34 : 51014
11:14	Account: minhtrand8	 Name: 8657575	 Level: 80	 IP Address: 14.174.119.34 : 51017
11:14	Account: minhtrand7	 Name: buffbuff	 Level: 80	 IP Address: 14.174.119.34 : 51020
11:15	Account: 83vunguyen	 Name: AnhThang	 Level: 80	 IP Address: 115.73.16.148 : 51578
11:16	Account: thangvl10	 Name: 10HáaCaCa	 Level: 100	 IP Address: 14.176.227.170 : 60102
11:18	Account: thangvl1	 Name: DocDoc1	 Level: 80	 IP Address: 14.176.227.170 : 60104
11:18	Account: minhtrand1	 Name: GiÕtÙS­Ù§ètÙChïa	 Level: 101	 IP Address: 14.174.119.34 : 51028
11:19	Account: minhtrand7	 Name: 3143242	 Level: 81	 IP Address: 14.174.119.34 : 51030
11:20	Account: minhtrand22	 Name: sanboss12	 Level: 80	 IP Address: 14.174.119.34 : 51035
11:20	Account: minhtrand21	 Name: sanboss3	 Level: 80	 IP Address: 14.174.119.34 : 51037
11:21	Account: vubluish1	 Name: vipngamy	 Level: 87	 IP Address: 42.115.137.159 : 43451
11:22	Account: vu25091990	 Name: DocXinh22	 Level: 81	 IP Address: 116.110.119.64 : 36875
11:23	Account: vubluish2	 Name: hoalongcaka	 Level: 87	 IP Address: 42.115.137.159 : 48563
11:23	Account: minhtrand8	 Name: 8657575	 Level: 80	 IP Address: 14.174.119.34 : 51055
11:23	Account: vu25091990	 Name: DocXinh23	 Level: 81	 IP Address: 116.110.119.64 : 49990
11:24	Account: minhtrand8	 Name: 313131	 Level: 80	 IP Address: 14.174.119.34 : 51057
11:24	Account: thoakhungzz1	 Name: XeTiÒn1	 Level: 86	 IP Address: 171.231.196.243 : 49196
11:24	Account: minhtrand8	 Name: cuopcuop	 Level: 80	 IP Address: 14.174.119.34 : 51060
11:24	Account: thoakhungzz1	 Name: NgäcKúL©n	 Level: 94	 IP Address: 171.231.196.243 : 49198
11:24	Account: thoakhungzz1	 Name: FZ1100	 Level: 80	 IP Address: 171.231.196.243 : 49200
11:24	Account: minhtrand9	 Name: 3213131	 Level: 80	 IP Address: 14.174.119.34 : 51062
11:24	Account: sarin3	 Name: DocXinh17	 Level: 81	 IP Address: 116.110.119.64 : 49996
11:24	Account: vubluish	 Name: truongchannhan	 Level: 91	 IP Address: 42.115.137.159 : 18231
