0:1	Account: hetpjn1992	 Name: Notail	 Level: 80	 IP Address: 171.250.251.163 : 65190
1:51	Account: minhvu25091990	 Name: DocXinh2	 Level: 80	 IP Address: 42.119.136.199 : 50406
1:53	Account: thaocanh116	 Name: S­ThÇyÙXuèngNói	 Level: 91	 IP Address: 117.4.153.2 : 52867
1:57	Account: sarin	 Name: DocXinh6	 Level: 81	 IP Address: 116.110.119.64 : 50752
1:58	Account: minhvu25091990	 Name: DocXinh	 Level: 80	 IP Address: 42.119.136.199 : 50411
1:58	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 104	 IP Address: 117.4.153.2 : 52875
2:3	Account: th114	 Name: ¡nÙMµyÙLµÙTao	 Level: 91	 IP Address: 117.4.153.2 : 52884
2:6	Account: sarin2	 Name: DocXinh12	 Level: 81	 IP Address: 42.119.136.199 : 50421
2:9	Account: sarin2	 Name: DocXinh14	 Level: 80	 IP Address: 42.119.136.199 : 50423
2:10	Account: sarin2	 Name: DocXinh13	 Level: 80	 IP Address: 42.119.136.199 : 50426
2:11	Account: sarin2	 Name: DocXinh14	 Level: 80	 IP Address: 42.119.136.199 : 50429
2:11	Account: sarin3	 Name: DocXinh16	 Level: 81	 IP Address: 42.119.136.199 : 50432
2:16	Account: sarin3	 Name: DocXinh15	 Level: 81	 IP Address: 42.119.136.199 : 50434
2:16	Account: sarin3	 Name: DocXinh17	 Level: 80	 IP Address: 42.119.136.199 : 50436
2:17	Account: sarin4	 Name: DocXinh20	 Level: 81	 IP Address: 42.119.136.199 : 50438
2:19	Account: sarin4	 Name: DocXinh18	 Level: 80	 IP Address: 42.119.136.199 : 50442
2:21	Account: sarin4	 Name: DocXinh19	 Level: 80	 IP Address: 42.119.136.199 : 50445
2:22	Account: sarin1	 Name: DocXinh9	 Level: 80	 IP Address: 42.119.136.199 : 50448
2:23	Account: sarin1	 Name: DocXinh10	 Level: 80	 IP Address: 42.119.136.199 : 50450
2:23	Account: sarin1	 Name: DocXinh11	 Level: 80	 IP Address: 42.119.136.199 : 50452
2:33	Account: huynhtrongtri14	 Name: §écS¸tNgo¹iC«ng	 Level: 90	 IP Address: 42.119.136.199 : 50461
2:36	Account: huynhtrongtri13	 Name: B¨ngS¸tNéiC«ng	 Level: 85	 IP Address: 42.119.136.199 : 50466
2:36	Account: sarin1	 Name: DocXinh9	 Level: 80	 IP Address: 42.119.136.199 : 50468
2:37	Account: sarin1	 Name: DocXinh10	 Level: 80	 IP Address: 42.119.136.199 : 50470
2:38	Account: sarin1	 Name: DocXinh11	 Level: 80	 IP Address: 42.119.136.199 : 50472
2:38	Account: sarin2	 Name: DocXinh12	 Level: 81	 IP Address: 42.119.136.199 : 50474
2:39	Account: sarin2	 Name: DocXinh14	 Level: 80	 IP Address: 42.119.136.199 : 50476
2:39	Account: sarin2	 Name: DocXinh13	 Level: 80	 IP Address: 42.119.136.199 : 50478
2:40	Account: sarin3	 Name: DocXinh16	 Level: 81	 IP Address: 42.119.136.199 : 50482
2:42	Account: sarin3	 Name: DocXinh15	 Level: 81	 IP Address: 42.119.136.199 : 50485
2:42	Account: sarin3	 Name: DocXinh17	 Level: 80	 IP Address: 42.119.136.199 : 50487
2:44	Account: sarin4	 Name: DocXinh20	 Level: 81	 IP Address: 42.119.136.199 : 50489
2:50	Account: huynhtrongtri13	 Name: B¨ngS¸tNéiC«ng	 Level: 85	 IP Address: 42.119.136.199 : 50494
5:14	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 104	 IP Address: 117.4.153.2 : 53333
5:29	Account: sarin1990	 Name: DocDep	 Level: 83	 IP Address: 113.165.166.236 : 4218
5:31	Account: minhvu25091990	 Name: Kamikaze	 Level: 81	 IP Address: 113.165.166.236 : 4234
5:33	Account: minhvu25091990	 Name: DocXinh2	 Level: 80	 IP Address: 113.165.166.236 : 4248
5:33	Account: minhvu25091990	 Name: DocXinh	 Level: 80	 IP Address: 113.165.166.236 : 4250
6:5	Account: hieuham1996	 Name: TriÖuÙTöÙLong	 Level: 101	 IP Address: 171.245.86.191 : 23621
6:7	Account: hieuham1997	 Name: QuanÙV©nÙTr­êng	 Level: 89	 IP Address: 171.245.86.191 : 23627
6:8	Account: hieuham1996	 Name: TriÖuÙTöÙLong	 Level: 101	 IP Address: 171.245.86.191 : 23629
6:10	Account: hieuham1996	 Name: TriÖuÙTöÙLong	 Level: 101	 IP Address: 171.245.86.191 : 23631
6:11	Account: hieuham1996	 Name: TriÖuÙTöÙLong	 Level: 101	 IP Address: 171.245.86.191 : 23639
6:13	Account: hieuham1996	 Name: TriÖuÙTöÙLong	 Level: 101	 IP Address: 171.245.86.191 : 49196
6:15	Account: hieuham1998	 Name: HoaR¬iÙCöaPhËt	 Level: 89	 IP Address: 171.245.86.191 : 49200
6:18	Account: hieuham1996	 Name: TriÖuÙTöÙLong	 Level: 101	 IP Address: 171.245.86.191 : 49219
6:22	Account: nonhandl	 Name: NhËmÙNg·ÙHµnhÙ	 Level: 108	 IP Address: 118.68.135.141 : 49721
6:22	Account: nonhantl	 Name: V«DanhÙThÇnÙT¨ng	 Level: 95	 IP Address: 118.68.135.141 : 49723
6:28	Account: nonhandl	 Name: NhËmÙNg·ÙHµnhÙ	 Level: 108	 IP Address: 118.68.135.141 : 49754
6:29	Account: nam92hd	 Name: HáaThÇnÙV«Song	 Level: 100	 IP Address: 117.1.61.19 : 1040
6:30	Account: nonhandl	 Name: NhËmÙNg·ÙHµnhÙ	 Level: 108	 IP Address: 118.68.135.141 : 49785
6:31	Account: nam92hd1	 Name: ThÇnÙT¨ng	 Level: 92	 IP Address: 117.1.61.19 : 1048
6:31	Account: nonhandl	 Name: NhËmÙNg·ÙHµnhÙ	 Level: 108	 IP Address: 118.68.135.141 : 49787
6:31	Account: nonhantl	 Name: V«DanhÙThÇnÙT¨ng	 Level: 95	 IP Address: 118.68.135.141 : 49790
6:32	Account: nonhannm	 Name: NhËmÙDoanhÙDoanh	 Level: 94	 IP Address: 118.68.135.141 : 49792
6:32	Account: nam92hd2	 Name: PhongÙThÇn	 Level: 92	 IP Address: 117.1.61.19 : 19185
6:33	Account: nonhantn1	 Name: Th¸nhÙC«	 Level: 90	 IP Address: 118.68.135.141 : 49794
6:33	Account: nonhancl	 Name: XÝchLuyÖnÙTiªnTö	 Level: 94	 IP Address: 118.68.135.141 : 49796
6:34	Account: nonhantn	 Name: HµnÙL©mÙNhi	 Level: 92	 IP Address: 118.68.135.141 : 49800
6:34	Account: nam92hd3	 Name: ThiªnÙ§ÞaÙV«ÙCùc	 Level: 93	 IP Address: 117.1.61.19 : 1056
6:36	Account: nam92hd4	 Name: HoaÙR¬iÙCöaÙPhËt	 Level: 92	 IP Address: 117.1.61.19 : 1060
6:41	Account: nam92hd5	 Name: CuÙChäcÙNg­îc	 Level: 91	 IP Address: 117.1.61.19 : 19287
7:1	Account: tuanlovekun	 Name: 1StÙThiªnÙNhÉn	 Level: 91	 IP Address: 171.241.216.241 : 16505
7:5	Account: luukt53	 Name: NgoalongVD	 Level: 112	 IP Address: 115.75.51.168 : 47316
7:6	Account: luukt51	 Name: NgoaLongTN	 Level: 89	 IP Address: 115.75.51.168 : 47335
7:7	Account: luukt52	 Name: NgoalongTN	 Level: 89	 IP Address: 115.75.51.168 : 47356
7:11	Account: bunia90	 Name: 5DocNhop	 Level: 85	 IP Address: 117.3.46.224 : 17528
7:14	Account: luukt57	 Name: ruongdonl01	 Level: 80	 IP Address: 115.75.51.168 : 47505
7:14	Account: luukt56	 Name: NgoalongND	 Level: 92	 IP Address: 115.75.51.168 : 47512
7:27	Account: luukt56	 Name: NgoalongND	 Level: 92	 IP Address: 115.75.51.168 : 47736
7:34	Account: bunia92	 Name: Bunia90	 Level: 1	 IP Address: 117.3.46.224 : 24796
7:40	Account: anlonnhe	 Name: DanCay	 Level: 82	 IP Address: 14.235.12.208 : 1549
7:45	Account: luukt52	 Name: NgoalongTN	 Level: 89	 IP Address: 115.75.51.168 : 48034
7:46	Account: luukt54	 Name: NgoalongNM	 Level: 90	 IP Address: 115.75.51.168 : 48046
7:47	Account: luukt55	 Name: NgoalongCB	 Level: 94	 IP Address: 115.75.51.168 : 48072
8:6	Account: luukt53	 Name: NgoalongVD	 Level: 112	 IP Address: 123.25.218.214 : 47126
8:7	Account: thoakhungzz1	 Name: XeTiÒn1	 Level: 85	 IP Address: 116.99.167.107 : 49174
8:7	Account: luukt51	 Name: NgoaLongTN	 Level: 89	 IP Address: 123.25.218.214 : 47135
8:8	Account: luukt52	 Name: NgoalongTN	 Level: 89	 IP Address: 123.25.218.214 : 47143
8:9	Account: luukt54	 Name: NgoalongNM	 Level: 91	 IP Address: 123.25.218.214 : 47153
8:9	Account: thoakhungzz2	 Name: XeTiÒn2	 Level: 85	 IP Address: 116.99.167.107 : 49177
8:9	Account: thoakhungzz3	 Name: XeTiÒn3	 Level: 85	 IP Address: 116.99.167.107 : 49179
8:10	Account: thoakhungzz4	 Name: XeTiÒn4	 Level: 85	 IP Address: 116.99.167.107 : 49181
8:10	Account: luukt55	 Name: NgoalongCB	 Level: 94	 IP Address: 123.25.218.214 : 47219
8:10	Account: thoakhungzz5	 Name: XeTiÒn5	 Level: 85	 IP Address: 116.99.167.107 : 49183
8:10	Account: luukt56	 Name: NgoalongND	 Level: 92	 IP Address: 123.25.218.214 : 47294
8:11	Account: thoakhungz5	 Name: §õngÙChäcÙTao	 Level: 100	 IP Address: 116.99.167.107 : 49185
8:20	Account: anhyeuem	 Name: ada23133	 Level: 80	 IP Address: 14.235.12.208 : 1578
8:36	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 104	 IP Address: 14.226.85.10 : 63259
8:38	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 104	 IP Address: 14.226.85.10 : 63272
8:38	Account: luukt56	 Name: NgoalongND	 Level: 92	 IP Address: 123.25.218.214 : 47743
8:38	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 104	 IP Address: 14.226.85.10 : 63281
8:40	Account: thaocanh117	 Name: UyÓnÙNh·	 Level: 100	 IP Address: 14.226.85.10 : 63287
8:41	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 104	 IP Address: 14.226.85.10 : 63295
8:42	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 104	 IP Address: 14.226.85.10 : 63305
8:43	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 91	 IP Address: 113.176.144.109 : 49810
8:45	Account: minhtrand3	 Name: HáaÙLongÙTµÙNh©n	 Level: 101	 IP Address: 14.174.119.34 : 49289
8:46	Account: minhtrand7	 Name: buffbuff	 Level: 80	 IP Address: 14.174.119.34 : 49294
8:46	Account: thaocanh117	 Name: UyÓnÙNh·	 Level: 100	 IP Address: 14.226.85.10 : 63317
8:46	Account: minhtrand8	 Name: 8657575	 Level: 80	 IP Address: 14.174.119.34 : 49299
8:47	Account: thaocanh113	 Name: ThienÙNha	 Level: 92	 IP Address: 14.226.85.10 : 63325
8:49	Account: thaocanh115	 Name: C«nÙL«nÙ§aoÙPh¸p	 Level: 92	 IP Address: 14.226.85.10 : 63332
8:51	Account: thaocanh116	 Name: S­ThÇyÙXuèngNói	 Level: 91	 IP Address: 14.226.85.10 : 63344
8:52	Account: th114	 Name: ¡nÙMµyÙLµÙTao	 Level: 91	 IP Address: 14.226.85.10 : 63349
8:52	Account: taodeohieu	 Name: ConLonDe1	 Level: 87	 IP Address: 14.235.12.208 : 2751
8:54	Account: minhtrand9	 Name: 098080	 Level: 1	 IP Address: 14.174.119.34 : 49346
9:2	Account: anhyeuem	 Name: NHulon	 Level: 81	 IP Address: 14.235.12.208 : 2761
9:4	Account: anhyeuem	 Name: TaoDocLam	 Level: 81	 IP Address: 14.235.12.208 : 2764
9:4	Account: anhyeuem	 Name: ada23133	 Level: 80	 IP Address: 14.235.12.208 : 2766
9:7	Account: minhtrand2	 Name: TiÓuÙLinh	 Level: 100	 IP Address: 14.174.119.34 : 49364
9:12	Account: minhtrand1	 Name: GiÕtÙS­Ù§ètÙChïa	 Level: 101	 IP Address: 14.174.119.34 : 49372
9:14	Account: minhtrand4	 Name: SÊmÙSÐtÙT©yÙB¾c	 Level: 100	 IP Address: 14.174.119.34 : 49379
9:16	Account: minhtrand1	 Name: GiÕtÙS­Ù§ètÙChïa	 Level: 101	 IP Address: 14.174.119.34 : 49392
9:16	Account: minhtrand2	 Name: TiÓuÙLinh	 Level: 100	 IP Address: 14.174.119.34 : 49394
9:16	Account: minhtrand3	 Name: HáaÙLongÙTµÙNh©n	 Level: 102	 IP Address: 14.174.119.34 : 49396
9:16	Account: minhtrand4	 Name: SÊmÙSÐtÙT©yÙB¾c	 Level: 100	 IP Address: 14.174.119.34 : 49398
9:16	Account: luukt56	 Name: NgoalongND	 Level: 92	 IP Address: 123.25.218.214 : 48551
9:17	Account: minhtrand5	 Name: LÇyÙAÙMinh	 Level: 100	 IP Address: 14.174.119.34 : 49401
9:18	Account: minhtrand6	 Name: BÐÙMóp	 Level: 101	 IP Address: 14.174.119.34 : 49407
9:20	Account: hetpjn1992	 Name: Notail	 Level: 80	 IP Address: 171.250.251.163 : 52742
9:22	Account: th113	 Name: ManhÙDoÙPho	 Level: 1	 IP Address: 14.226.85.10 : 34228
9:24	Account: thaocanh116	 Name: S­ThÇyÙXuèngNói	 Level: 91	 IP Address: 14.226.85.10 : 34444
9:25	Account: th113	 Name: ManhÙDoÙPho	 Level: 80	 IP Address: 14.226.85.10 : 34448
9:26	Account: thaocanh116	 Name: S­ThÇyÙXuèngNói	 Level: 91	 IP Address: 14.226.85.10 : 34451
9:27	Account: minhtrand9	 Name: 098080	 Level: 80	 IP Address: 14.174.119.34 : 49429
9:27	Account: minhtrand8	 Name: 8657575	 Level: 80	 IP Address: 14.174.119.34 : 49432
9:28	Account: minhtrand5	 Name: LÇyÙAÙMinh	 Level: 100	 IP Address: 14.174.119.34 : 49435
9:29	Account: minhtrand3	 Name: HáaÙLongÙTµÙNh©n	 Level: 102	 IP Address: 14.174.119.34 : 49438
9:29	Account: minhtrand1	 Name: GiÕtÙS­Ù§ètÙChïa	 Level: 101	 IP Address: 14.174.119.34 : 49444
9:29	Account: minhtrand5	 Name: LÇyÙAÙMinh	 Level: 100	 IP Address: 14.174.119.34 : 49446
9:29	Account: minhtrand2	 Name: TiÓuÙLinh	 Level: 100	 IP Address: 14.174.119.34 : 49449
9:30	Account: minhtrand4	 Name: SÊmÙSÐtÙT©yÙB¾c	 Level: 100	 IP Address: 14.174.119.34 : 49451
9:33	Account: minhtrand8	 Name: 8657575	 Level: 80	 IP Address: 14.174.119.34 : 49486
9:34	Account: minhtrand5	 Name: LÇyÙAÙMinh	 Level: 100	 IP Address: 14.174.119.34 : 49489
9:38	Account: luukt56	 Name: NgoalongND	 Level: 92	 IP Address: 123.25.218.214 : 48915
9:39	Account: luukt56	 Name: NgoalongND	 Level: 92	 IP Address: 123.25.218.214 : 48925
9:42	Account: minhtrand3	 Name: HáaÙLongÙTµÙNh©n	 Level: 102	 IP Address: 14.174.119.34 : 49518
9:44	Account: minhtrand1	 Name: GiÕtÙS­Ù§ètÙChïa	 Level: 101	 IP Address: 14.174.119.34 : 49541
9:45	Account: minhtrand2	 Name: TiÓuÙLinh	 Level: 100	 IP Address: 14.174.119.34 : 49544
9:45	Account: minhtrand3	 Name: HáaÙLongÙTµÙNh©n	 Level: 102	 IP Address: 14.174.119.34 : 49547
9:45	Account: minhtrand4	 Name: SÊmÙSÐtÙT©yÙB¾c	 Level: 100	 IP Address: 14.174.119.34 : 49549
9:46	Account: minhtrand5	 Name: LÇyÙAÙMinh	 Level: 100	 IP Address: 14.174.119.34 : 49551
9:46	Account: minhtrand6	 Name: BÐÙMóp	 Level: 101	 IP Address: 14.174.119.34 : 49555
9:50	Account: minhtrand8	 Name: 8657575	 Level: 80	 IP Address: 14.174.119.34 : 49581
9:51	Account: minhtrand5	 Name: LÇyÙAÙMinh	 Level: 100	 IP Address: 14.174.119.34 : 49585
9:54	Account: minhtrand5	 Name: LÇyÙAÙMinh	 Level: 100	 IP Address: 14.174.119.34 : 49605
9:55	Account: minhtrand1	 Name: GiÕtÙS­Ù§ètÙChïa	 Level: 101	 IP Address: 14.174.119.34 : 49611
9:55	Account: minhtrand2	 Name: TiÓuÙLinh	 Level: 100	 IP Address: 14.174.119.34 : 49613
9:57	Account: minhtrand3	 Name: HáaÙLongÙTµÙNh©n	 Level: 102	 IP Address: 14.174.119.34 : 49625
9:57	Account: minhtrand4	 Name: SÊmÙSÐtÙT©yÙB¾c	 Level: 100	 IP Address: 14.174.119.34 : 49631
9:58	Account: minhtrand5	 Name: LÇyÙAÙMinh	 Level: 100	 IP Address: 14.174.119.34 : 49644
9:58	Account: minhtrand6	 Name: BÐÙMóp	 Level: 101	 IP Address: 14.174.119.34 : 49646
9:59	Account: minhtrand2	 Name: TiÓuÙLinh	 Level: 100	 IP Address: 14.174.119.34 : 49667
9:59	Account: minhtrand1	 Name: GiÕtÙS­Ù§ètÙChïa	 Level: 101	 IP Address: 14.174.119.34 : 49666
10:11	Account: sarin1	 Name: DocXinh10	 Level: 80	 IP Address: 42.119.136.199 : 50948
10:14	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 104	 IP Address: 14.226.85.10 : 37172
10:16	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 104	 IP Address: 14.226.85.10 : 37192
10:16	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 104	 IP Address: 14.226.85.10 : 37195
10:17	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 104	 IP Address: 14.226.85.10 : 37223
10:17	Account: thaocanh113	 Name: ThienÙNha	 Level: 92	 IP Address: 14.226.85.10 : 37339
10:19	Account: thaocanh115	 Name: C«nÙL«nÙ§aoÙPh¸p	 Level: 92	 IP Address: 14.226.85.10 : 37354
10:20	Account: thaocanh116	 Name: S­ThÇyÙXuèngNói	 Level: 91	 IP Address: 14.226.85.10 : 37486
10:23	Account: vubluish1	 Name: vipngamy	 Level: 84	 IP Address: 1.53.229.180 : 38431
10:24	Account: vubluish2	 Name: hoalongcaka	 Level: 83	 IP Address: 1.53.229.180 : 51356
10:24	Account: vubluish	 Name: truongchannhan	 Level: 86	 IP Address: 1.53.229.180 : 57897
10:26	Account: minhvu25091990	 Name: Kamikaze	 Level: 81	 IP Address: 116.110.119.64 : 50805
10:26	Account: thaocanh117	 Name: UyÓnÙNh·	 Level: 100	 IP Address: 14.226.85.10 : 37633
10:32	Account: thaocanh116	 Name: S­ThÇyÙXuèngNói	 Level: 91	 IP Address: 14.226.85.10 : 37728
10:34	Account: th113	 Name: ManhÙDoÙPho	 Level: 80	 IP Address: 14.226.85.10 : 37771
10:38	Account: thaocanh115	 Name: C«nÙL«nÙ§aoÙPh¸p	 Level: 92	 IP Address: 14.226.85.10 : 38127
10:46	Account: ribi01	 Name: RiBi01	 Level: 102	 IP Address: 1.54.47.160 : 49188
10:46	Account: longyen010	 Name: BXÙLong	 Level: 96	 IP Address: 14.187.167.3 : 49179
10:46	Account: vubluish	 Name: truongchannhan	 Level: 88	 IP Address: 1.53.229.180 : 17849
10:46	Account: vubluish1	 Name: vipngamy	 Level: 84	 IP Address: 1.53.229.180 : 62509
10:46	Account: vubluish2	 Name: hoalongcaka	 Level: 83	 IP Address: 1.53.229.180 : 30329
10:48	Account: longyen011	 Name: MrÙLong	 Level: 91	 IP Address: 14.187.167.3 : 49206
10:49	Account: longyen012	 Name: NMÙCñaÙLong	 Level: 90	 IP Address: 14.187.167.3 : 49209
10:50	Account: longyen013	 Name: DMÙCñaÙLong	 Level: 90	 IP Address: 14.187.167.3 : 49213
10:50	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 91	 IP Address: 113.176.144.109 : 50109
10:50	Account: longyen014	 Name: TNÙCñaÙLong	 Level: 90	 IP Address: 14.187.167.3 : 49216
10:51	Account: ribi02	 Name: RIBI02	 Level: 99	 IP Address: 1.54.47.160 : 49355
10:51	Account: huynhtrongtri11	 Name: §écS¸tNéiC«ng	 Level: 102	 IP Address: 42.119.136.199 : 51380
10:52	Account: sarin4	 Name: DocXinh20	 Level: 81	 IP Address: 42.119.136.199 : 51387
10:54	Account: sarin4	 Name: DocXinh18	 Level: 80	 IP Address: 42.119.136.199 : 51390
10:57	Account: th113	 Name: ManhÙDoÙPho	 Level: 80	 IP Address: 14.226.85.10 : 38603
10:57	Account: sarin4	 Name: DocXinh19	 Level: 80	 IP Address: 42.119.136.199 : 51393
10:57	Account: thaocanh115	 Name: C«nÙL«nÙ§aoÙPh¸p	 Level: 92	 IP Address: 14.226.85.10 : 38607
10:58	Account: sarin3	 Name: DocXinh16	 Level: 81	 IP Address: 42.119.136.199 : 51397
10:58	Account: thaocanh113	 Name: ThienÙNha	 Level: 92	 IP Address: 14.226.85.10 : 38611
11:1	Account: ngocbich01	 Name: sanboss01	 Level: 90	 IP Address: 113.176.144.109 : 50197
11:2	Account: sarin3	 Name: DocXinh15	 Level: 81	 IP Address: 42.119.136.199 : 51408
11:3	Account: sarin3	 Name: DocXinh17	 Level: 80	 IP Address: 42.119.136.199 : 51410
11:5	Account: th114	 Name: ¡nÙMµyÙLµÙTao	 Level: 91	 IP Address: 14.226.85.10 : 38830
11:6	Account: huynhtrongtri12	 Name: KiÕmPhongKim	 Level: 83	 IP Address: 42.119.136.199 : 51416
11:10	Account: huynhtrongtri13	 Name: B¨ngS¸tNéiC«ng	 Level: 85	 IP Address: 42.119.136.199 : 51421
11:17	Account: thaocanh117	 Name: UyÓnÙNh·	 Level: 100	 IP Address: 14.226.85.10 : 38849
11:20	Account: huynhtrongtri14	 Name: §écS¸tNgo¹iC«ng	 Level: 90	 IP Address: 42.119.136.199 : 51457
11:21	Account: huynhtrongtri15	 Name: HáaS¸tNéiC«ng	 Level: 83	 IP Address: 42.119.136.199 : 51459
11:22	Account: huynhtrongtri16	 Name: L«iS¸tNéiC«ng	 Level: 86	 IP Address: 42.119.136.199 : 51461
11:22	Account: thaocanh113	 Name: ThienÙNha	 Level: 92	 IP Address: 14.226.85.10 : 38867
11:23	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 104	 IP Address: 14.226.85.10 : 38870
11:23	Account: sarin4	 Name: DocXinh19	 Level: 80	 IP Address: 42.119.136.199 : 51467
11:23	Account: thaocanh115	 Name: C«nÙL«nÙ§aoÙPh¸p	 Level: 92	 IP Address: 14.226.85.10 : 38875
11:24	Account: sarin4	 Name: DocXinh18	 Level: 80	 IP Address: 42.119.136.199 : 51469
11:24	Account: thaocanh116	 Name: S­ThÇyÙXuèngNói	 Level: 91	 IP Address: 14.226.85.10 : 38880
11:24	Account: th114	 Name: ¡nÙMµyÙLµÙTao	 Level: 91	 IP Address: 14.226.85.10 : 38883
11:25	Account: sarin4	 Name: DocXinh20	 Level: 81	 IP Address: 42.119.136.199 : 51471
11:25	Account: sarin2	 Name: DocXinh12	 Level: 81	 IP Address: 42.119.136.199 : 51473
11:27	Account: sarin1990	 Name: DocDep	 Level: 83	 IP Address: 42.119.136.199 : 51481
11:29	Account: nonhangiudo	 Name: NgocBoiDayChuyen	 Level: 80	 IP Address: 118.68.135.141 : 49919
11:29	Account: nonhandophoi	 Name: DayChuyenNgocBoi	 Level: 1	 IP Address: 118.68.135.141 : 49921
11:30	Account: sarin2	 Name: DocXinh13	 Level: 80	 IP Address: 42.119.136.199 : 51487
11:30	Account: sarin2	 Name: DocXinh14	 Level: 80	 IP Address: 42.119.136.199 : 51489
11:32	Account: thaocanh117	 Name: UyÓnÙNh·	 Level: 100	 IP Address: 14.226.85.10 : 38928
11:35	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 104	 IP Address: 14.226.85.10 : 38947
11:42	Account: thaocanh117	 Name: UyÓnÙNh·	 Level: 100	 IP Address: 14.226.85.10 : 38983
11:44	Account: huynhtrongtri14	 Name: §écS¸tNgo¹iC«ng	 Level: 90	 IP Address: 42.119.136.199 : 51505
11:46	Account: nonhandophoi	 Name: DoPhoi1	 Level: 80	 IP Address: 118.68.135.141 : 49931
11:47	Account: taodeohieu	 Name: ConLonDe1	 Level: 87	 IP Address: 14.235.12.208 : 3127
11:47	Account: nonhandovip	 Name: LayÙPhoi	 Level: 80	 IP Address: 118.68.135.141 : 49934
11:48	Account: anlonnhe	 Name: DanCay	 Level: 83	 IP Address: 14.235.12.208 : 3129
11:48	Account: nonhantn1	 Name: Th¸nhÙC«	 Level: 91	 IP Address: 118.68.135.141 : 49937
11:49	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 104	 IP Address: 14.226.85.10 : 39025
11:51	Account: thaocanh117	 Name: UyÓnÙNh·	 Level: 100	 IP Address: 14.226.85.10 : 39043
11:51	Account: huynhtrongtri14	 Name: §écS¸tNgo¹iC«ng	 Level: 90	 IP Address: 42.119.136.199 : 51590
