07:05:02	 Account: luukt52	Name: NgoalongTN	 DelItem: Tinh Qu¸n
20:11:12	 Account: usd002	Name: USD002	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
20:22:48	 Account: luukt56	Name: NgoalongND	 DelItem: Long HuyÕt §Çu hoµn
20:28:39	 Account: luukt56	Name: NgoalongND	 DelItem: Ph¹m Hång Ngoa
20:29:55	 Account: luukt56	Name: NgoalongND	 DelItem: Tiªu Bæng
21:14:04	 Account: luukt56	Name: NgoalongND	 DelItem: Hµn S­¬ng bµo
21:30:01	 Account: sangtpbrvt11	Name: money4	 DelItem: Kim Phong Kú L©n HuyÕt
21:30:01	 Account: sangtpbrvt11	Name: money4	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
21:30:01	 Account: sangtpbrvt11	Name: money4	 DelItem: Tóc S­¬ng
21:30:17	 Account: sangtpbrvt11	Name: money4	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
21:30:17	 Account: sangtpbrvt11	Name: money4	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
21:30:17	 Account: sangtpbrvt11	Name: money4	 DelItem: Kim Phong HËu NghÖ dÉn cung
21:30:17	 Account: sangtpbrvt11	Name: money4	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
21:30:17	 Account: sangtpbrvt11	Name: money4	 DelItem: Kim Phong Lan §×nh Ngäc
21:30:17	 Account: sangtpbrvt11	Name: money4	 DelItem: Kim Phong Thanh D­¬ng Kh«i
21:30:17	 Account: sangtpbrvt11	Name: money4	 DelItem: Kim Phong Tr¹c Liªn Quang
22:25:40	 Account: sangtpbrvt	Name: SangTp	 DelItem: Kim Phong HËu NghÖ dÉn cung
22:57:04	 Account: nonhantn	Name: HµnÙL©mÙNhi	 DelItem: §¹i Thµnh BÝ KÝp 90
22:57:04	 Account: nonhantn	Name: HµnÙL©mÙNhi	 DelItem: S¸ch kü n¨ng cÊp 90
23:32:03	 Account: tranvinh06	Name: ThiªnÙ§ÞaÙV«ÙCù	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:32:03	 Account: tranvinh06	Name: ThiªnÙ§ÞaÙV«ÙCù	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:32:03	 Account: tranvinh06	Name: ThiªnÙ§ÞaÙV«ÙCù	 DelItem: Kim Phong Kú L©n HuyÕt
23:32:03	 Account: tranvinh06	Name: ThiªnÙ§ÞaÙV«ÙCù	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:32:03	 Account: tranvinh06	Name: ThiªnÙ§ÞaÙV«ÙCù	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:51:57	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:51:57	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Tóc S­¬ng
23:52:18	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:52:18	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:52:18	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:52:18	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:52:18	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Kim Phong Lan §×nh Ngäc
23:52:18	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Kim Phong Kú L©n HuyÕt
23:52:18	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Kim Phong Tr¹c Liªn Quang
23:52:18	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:52:44	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Tiªn Th¶o Lé 
23:52:44	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Tiªn Th¶o Lé 
23:52:44	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Tiªn Th¶o Lé 
23:52:44	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Tiªn Th¶o Lé 
23:52:44	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Tiªn Th¶o Lé 
23:52:44	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Tiªn Th¶o Lé 
23:52:44	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Tiªn Th¶o Lé 
23:52:44	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Tiªn Th¶o Lé 
23:52:44	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Tiªn Th¶o Lé 
23:54:09	 Account: testgame	Name: lymacsau	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:54:09	 Account: testgame	Name: lymacsau	 DelItem: Kim Phong Tr¹c Liªn Quang
23:54:09	 Account: testgame	Name: lymacsau	 DelItem: Kim Phong Kú L©n HuyÕt
23:54:09	 Account: testgame	Name: lymacsau	 DelItem: Kim Phong Lan §×nh Ngäc
23:54:09	 Account: testgame	Name: lymacsau	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:54:09	 Account: testgame	Name: lymacsau	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:54:09	 Account: testgame	Name: lymacsau	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:54:09	 Account: testgame	Name: lymacsau	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:54:47	 Account: testgame	Name: lymacsau	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:58:48	 Account: testgame	Name: lymacsau	 DelItem: Kim Phong Kú L©n HuyÕt
23:58:48	 Account: testgame	Name: lymacsau	 DelItem: Tóc S­¬ng
23:59:07	 Account: testgame	Name: lymacsau	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:59:07	 Account: testgame	Name: lymacsau	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:59:07	 Account: testgame	Name: lymacsau	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:59:07	 Account: testgame	Name: lymacsau	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:59:07	 Account: testgame	Name: lymacsau	 DelItem: Kim Phong Lan §×nh Ngäc
23:59:07	 Account: testgame	Name: lymacsau	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:59:07	 Account: testgame	Name: lymacsau	 DelItem: Kim Phong Tr¹c Liªn Quang
23:59:07	 Account: testgame	Name: lymacsau	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
