00:05:57	 Account: huy1713	Name: V­¬ngÙT¸	 DelItem: T­îng B× Hé UyÓn
23:52:05	 Account: coca1	Name: CanhSat110	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:52:05	 Account: coca1	Name: CanhSat110	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:52:09	 Account: nam92hd3	Name: 565442	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:52:15	 Account: nam92hd3	Name: 565442	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:52:24	 Account: nam92hd3	Name: 565442	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:52:30	 Account: nam92hd3	Name: 565442	 DelItem: Kim Phong Kú L©n HuyÕt
23:52:33	 Account: vunguyen1988	Name: ThienNhanKich	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:52:33	 Account: vunguyen1988	Name: ThienNhanKich	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:52:33	 Account: vunguyen1988	Name: ThienNhanKich	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:52:33	 Account: vunguyen1988	Name: ThienNhanKich	 DelItem: Kim Phong Lan §×nh Ngäc
23:52:33	 Account: vunguyen1988	Name: ThienNhanKich	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:52:33	 Account: vunguyen1988	Name: ThienNhanKich	 DelItem: Kim Phong Tr¹c Liªn Quang
23:52:33	 Account: vunguyen1988	Name: ThienNhanKich	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:52:33	 Account: vunguyen1988	Name: ThienNhanKich	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:52:33	 Account: vunguyen1988	Name: ThienNhanKich	 DelItem: Kim Phong Kú L©n HuyÕt
23:52:35	 Account: nam92hd3	Name: 565442	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:52:40	 Account: nam92hd3	Name: 565442	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:52:45	 Account: nam92hd3	Name: 565442	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:52:50	 Account: nam92hd3	Name: 565442	 DelItem: Kim Phong Tr¹c Liªn Quang
23:52:56	 Account: nam92hd3	Name: 565442	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:53:01	 Account: nam92hd3	Name: 565442	 DelItem: Kim Phong Lan §×nh Ngäc
23:53:07	 Account: nam92hd3	Name: 565442	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:53:13	 Account: nam92hd3	Name: 565442	 DelItem: Kim Phong Lan §×nh Ngäc
23:53:17	 Account: nam92hd3	Name: 565442	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:53:31	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong Kú L©n HuyÕt
23:53:37	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:53:47	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong Tr¹c Liªn Quang
23:53:53	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:53:59	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:54:04	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:54:09	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:54:15	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:54:20	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:54:25	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong Lan §×nh Ngäc
23:54:30	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:54:47	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:54:54	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:54:59	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:55:05	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong Lan §×nh Ngäc
23:56:08	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:56:08	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong Lan §×nh Ngäc
23:56:08	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:56:08	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong Kú L©n HuyÕt
23:56:08	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:56:08	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:56:18	 Account: nam92hd	Name: LµmTýLöaKh«ngEm	 DelItem: Kim Phong Kú L©n HuyÕt
23:56:23	 Account: nam92hd	Name: LµmTýLöaKh«ngEm	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:56:28	 Account: nam92hd	Name: LµmTýLöaKh«ngEm	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:56:34	 Account: nam92hd	Name: LµmTýLöaKh«ngEm	 DelItem: Kim Phong Tr¹c Liªn Quang
23:56:39	 Account: nam92hd	Name: LµmTýLöaKh«ngEm	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:56:44	 Account: nam92hd	Name: LµmTýLöaKh«ngEm	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:56:46	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:56:46	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong Tr¹c Liªn Quang
23:56:46	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:56:50	 Account: nam92hd	Name: LµmTýLöaKh«ngEm	 DelItem: Kim Phong Lan §×nh Ngäc
23:56:56	 Account: nam92hd	Name: LµmTýLöaKh«ngEm	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:57:02	 Account: nam92hd	Name: LµmTýLöaKh«ngEm	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:57:57	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong Kú L©n HuyÕt
23:57:57	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:57:57	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong Kú L©n HuyÕt
23:57:57	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:58:19	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:58:19	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:58:19	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong Lan §×nh Ngäc
23:58:19	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong Tr¹c Liªn Quang
23:58:19	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong Tr¹c Liªn Quang
23:58:19	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:58:19	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:58:19	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:58:19	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong Lan §×nh Ngäc
23:58:19	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:58:19	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:58:22	 Account: nam92hd	Name: LµmTýLöaKh«ngEm	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:58:27	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:58:27	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:58:27	 Account: haivlc2	Name: EmS¨nBoss	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:58:34	 Account: gamethu	Name: KhaiCheckGame	 DelItem: Kim Phong Lan §×nh Ngäc
23:58:34	 Account: gamethu	Name: KhaiCheckGame	 DelItem: Kim Phong Kú L©n HuyÕt
23:58:34	 Account: gamethu	Name: KhaiCheckGame	 DelItem: Kim Phong Tr¹c Liªn Quang
23:58:34	 Account: gamethu	Name: KhaiCheckGame	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:58:34	 Account: gamethu	Name: KhaiCheckGame	 DelItem: Kim Phong Tr¹c Liªn Quang
23:58:34	 Account: gamethu	Name: KhaiCheckGame	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:58:34	 Account: gamethu	Name: KhaiCheckGame	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:58:34	 Account: gamethu	Name: KhaiCheckGame	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:58:49	 Account: gamethu	Name: KhaiCheckGame	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:58:49	 Account: gamethu	Name: KhaiCheckGame	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:58:49	 Account: gamethu	Name: KhaiCheckGame	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:58:49	 Account: gamethu	Name: KhaiCheckGame	 DelItem: Kim Phong Kú L©n HuyÕt
23:58:49	 Account: gamethu	Name: KhaiCheckGame	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:58:51	 Account: nam92hd	Name: LµmTýLöaKh«ngEm	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:58:56	 Account: nam92hd	Name: LµmTýLöaKh«ngEm	 DelItem: Kim Phong Kú L©n HuyÕt
23:59:07	 Account: nam92hd	Name: LµmTýLöaKh«ngEm	 DelItem: Kim Phong Tr¹c Liªn Quang
23:59:27	 Account: nam92hd	Name: LµmTýLöaKh«ngEm	 DelItem: Kim Phong Kú L©n HuyÕt
23:59:33	 Account: nam92hd	Name: LµmTýLöaKh«ngEm	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:59:40	 Account: nam92hd	Name: LµmTýLöaKh«ngEm	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:59:45	 Account: nam92hd	Name: LµmTýLöaKh«ngEm	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:59:50	 Account: nam92hd	Name: LµmTýLöaKh«ngEm	 DelItem: Kim Phong Tr¹c Liªn Quang
23:59:55	 Account: nam92hd	Name: LµmTýLöaKh«ngEm	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
