0:2	Account: longyen017	 Name: VipÙTN	 Level: 1	 IP Address: 14.187.167.3 : 54377
0:35	Account: testgame	 Name: testgame3	 Level: 1	 IP Address: 113.176.144.109 : 51098
0:35	Account: nonhantn	 Name: HµnÙL©mÙNhi	 Level: 95	 IP Address: 118.69.88.247 : 50146
0:36	Account: nonhantn	 Name: HµnÙL©mÙNhi	 Level: 95	 IP Address: 118.69.88.247 : 50149
0:44	Account: banhang1	 Name: 1234566789	 Level: 82	 IP Address: 1.55.227.165 : 45110
0:44	Account: luukt53	 Name: NgoalongVD	 Level: 120	 IP Address: 115.75.51.168 : 47176
0:45	Account: longyen018	 Name: TNÙVip	 Level: 81	 IP Address: 14.187.167.3 : 54456
0:45	Account: luukt56	 Name: NgoalongND	 Level: 95	 IP Address: 115.75.51.168 : 47280
0:45	Account: vunguyen1987	 Name: 22222222	 Level: 84	 IP Address: 27.75.46.206 : 51523
0:46	Account: longyen017	 Name: VipÙTN	 Level: 81	 IP Address: 14.187.167.3 : 54460
0:47	Account: longyen014	 Name: TNÙCñaÙLong	 Level: 93	 IP Address: 14.187.167.3 : 54466
0:48	Account: saluci	 Name: DocXinh3	 Level: 81	 IP Address: 116.110.119.64 : 56529
0:49	Account: longyen016	 Name: TNÙCµy	 Level: 1	 IP Address: 14.187.167.3 : 54472
0:49	Account: luukt54	 Name: NgoalongNM	 Level: 98	 IP Address: 115.75.51.168 : 47352
0:50	Account: luukt55	 Name: NgoalongCB	 Level: 97	 IP Address: 115.75.51.168 : 47373
0:52	Account: luukt51	 Name: NgoaLongTN	 Level: 93	 IP Address: 115.75.51.168 : 47391
0:52	Account: luukt52	 Name: NgoalongTN	 Level: 93	 IP Address: 115.75.51.168 : 47402
0:53	Account: luukt56	 Name: NgoalongND	 Level: 95	 IP Address: 115.75.51.168 : 47408
0:58	Account: sarin	 Name: DocXinh6	 Level: 81	 IP Address: 116.110.119.64 : 56609
0:59	Account: testgame	 Name: lymacsau	 Level: 80	 IP Address: 113.176.144.109 : 51113
0:59	Account: sarin	 Name: DocXinh7	 Level: 81	 IP Address: 116.110.119.64 : 56621
0:59	Account: longyen010	 Name: BXÙLong	 Level: 100	 IP Address: 14.187.167.3 : 54487
0:59	Account: thaocanh119	 Name: HµngÙCñaÙNh·	 Level: 80	 IP Address: 117.4.153.2 : 49675
1:0	Account: sarin	 Name: DocXinh8	 Level: 81	 IP Address: 116.110.119.64 : 4725
1:0	Account: sarin1	 Name: DocXinh9	 Level: 81	 IP Address: 116.110.119.64 : 4468
1:0	Account: sarin1	 Name: DocXinh10	 Level: 81	 IP Address: 116.110.119.64 : 56640
1:1	Account: sarin1	 Name: DocXinh11	 Level: 81	 IP Address: 116.110.119.64 : 56642
1:1	Account: sarin2	 Name: DocXinh12	 Level: 82	 IP Address: 116.110.119.64 : 56651
1:1	Account: sarin2	 Name: DocXinh14	 Level: 81	 IP Address: 116.110.119.64 : 56657
1:2	Account: sarin2	 Name: DocXinh13	 Level: 81	 IP Address: 116.110.119.64 : 56659
1:2	Account: sarin3	 Name: DocXinh16	 Level: 81	 IP Address: 116.110.119.64 : 56662
1:2	Account: sarin3	 Name: DocXinh15	 Level: 81	 IP Address: 116.110.119.64 : 56664
1:2	Account: sarin3	 Name: DocXinh17	 Level: 81	 IP Address: 116.110.119.64 : 4340
1:2	Account: sarin4	 Name: DocXinh20	 Level: 81	 IP Address: 116.110.119.64 : 4341
1:3	Account: sarin4	 Name: DocXinh18	 Level: 81	 IP Address: 116.110.119.64 : 56675
1:3	Account: sarin4	 Name: DocXinh19	 Level: 81	 IP Address: 116.110.119.64 : 56682
1:3	Account: vu25091990	 Name: XinhGai21	 Level: 81	 IP Address: 116.110.119.64 : 56686
1:4	Account: vu25091990	 Name: DocXinh22	 Level: 81	 IP Address: 116.110.119.64 : 56689
1:4	Account: vu25091990	 Name: DocXinh23	 Level: 81	 IP Address: 116.110.119.64 : 56691
1:4	Account: minhvu25091990	 Name: Kamikaze	 Level: 82	 IP Address: 116.110.119.64 : 56695
1:4	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 105	 IP Address: 117.4.153.2 : 49693
1:6	Account: saluci	 Name: DocXinh5	 Level: 81	 IP Address: 116.110.119.64 : 5109
1:6	Account: vu25091990	 Name: XinhGai21	 Level: 81	 IP Address: 116.110.119.64 : 56723
1:9	Account: thaocanh120	 Name: ChuaÙDoÙ04	 Level: 1	 IP Address: 117.4.153.2 : 49715
1:15	Account: th116	 Name: ChøaÙ§å	 Level: 80	 IP Address: 117.4.153.2 : 49740
1:18	Account: th117	 Name: ChøaÙ§åÙ01	 Level: 80	 IP Address: 117.4.153.2 : 49756
1:20	Account: th118	 Name: ChøaÙ§åÙ02	 Level: 80	 IP Address: 117.4.153.2 : 49767
1:24	Account: th119	 Name: ChøaÙ§åÙ03	 Level: 80	 IP Address: 117.4.153.2 : 49786
1:25	Account: thaocanh115	 Name: C«nÙL«nÙ§aoÙPh¸p	 Level: 93	 IP Address: 117.4.153.2 : 49792
1:26	Account: th114	 Name: ¡nÙMµyÙLµÙTao	 Level: 92	 IP Address: 117.4.153.2 : 49796
1:52	Account: vu25091990	 Name: DocXinh22	 Level: 81	 IP Address: 116.110.119.64 : 57300
1:52	Account: tranvinh06	 Name: ThiªnÙ§ÞaÙV«ÙCù	 Level: 91	 IP Address: 116.110.119.64 : 57305
1:53	Account: vu25091990	 Name: DocXinh22	 Level: 81	 IP Address: 116.110.119.64 : 57316
2:5	Account: vu25091990	 Name: DocXinh23	 Level: 81	 IP Address: 116.110.119.64 : 4378
2:48	Account: thangvl6	 Name: 6Vâ®ang	 Level: 100	 IP Address: 118.71.169.72 : 57436
2:49	Account: thangvl10	 Name: 10HáaCaCa	 Level: 100	 IP Address: 118.71.169.72 : 57441
5:8	Account: thangvl10	 Name: 10HáaCaCa	 Level: 100	 IP Address: 118.71.169.72 : 57718
5:9	Account: thangvl10	 Name: 10HáaCaCa	 Level: 100	 IP Address: 118.71.169.72 : 57736
5:47	Account: lexuantho1	 Name: XiAoXiAo	 Level: 80	 IP Address: 42.119.29.139 : 49494
6:5	Account: lexuantho2	 Name: Alibaba	 Level: 1	 IP Address: 42.119.29.139 : 49687
6:6	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 91	 IP Address: 113.176.144.109 : 51244
6:7	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 91	 IP Address: 113.176.144.109 : 51278
6:11	Account: nonhantn1	 Name: Th¸nhÙC«	 Level: 100	 IP Address: 118.69.88.247 : 50469
6:11	Account: nonhantl	 Name: V«DanhÙThÇnÙT¨ng	 Level: 100	 IP Address: 118.69.88.247 : 50472
6:11	Account: nonhandl	 Name: NhËmÙNg·ÙHµnhÙ	 Level: 117	 IP Address: 118.69.88.247 : 50475
6:11	Account: nonhannm	 Name: NhËmÙDoanhÙDoanh	 Level: 100	 IP Address: 118.69.88.247 : 50476
6:11	Account: nonhanvd	 Name: Vâ§angÙCh©nÙNh©n	 Level: 94	 IP Address: 118.69.88.247 : 50478
6:13	Account: nonhantn	 Name: HµnÙL©mÙNhi	 Level: 95	 IP Address: 118.69.88.247 : 50482
6:21	Account: lexuantho3	 Name: Sipachao	 Level: 1	 IP Address: 42.119.29.139 : 49717
6:27	Account: luukt56	 Name: NgoalongND	 Level: 95	 IP Address: 115.75.51.168 : 52890
6:51	Account: xuxuka10	 Name: NyNoNgNoi	 Level: 80	 IP Address: 118.68.5.109 : 50883
6:51	Account: xuxuka010	 Name: KaTaNa10	 Level: 89	 IP Address: 118.68.5.109 : 29968
6:53	Account: xuxuka010	 Name: KaTaNa10	 Level: 89	 IP Address: 118.68.5.109 : 47938
7:27	Account: colobache195	 Name: DocCoPhong	 Level: 80	 IP Address: 117.5.236.180 : 13763
7:30	Account: tranvinh01	 Name: Ù2SaoÙ1g¹ch	 Level: 101	 IP Address: 14.176.241.9 : 49161
7:31	Account: tranvinh02	 Name: HuúnhÙNi	 Level: 91	 IP Address: 14.176.241.9 : 49163
7:32	Account: tranvinh02	 Name: HuúnhÙNi	 Level: 91	 IP Address: 14.176.241.9 : 49172
7:33	Account: tranvinh03	 Name: ItsÙMyLife	 Level: 90	 IP Address: 14.176.241.9 : 49174
7:34	Account: tranvinh04	 Name: B­ímÙEmÙCãÙ§éc	 Level: 94	 IP Address: 14.176.241.9 : 49176
7:34	Account: tranvinh06	 Name: ThiªnÙ§ÞaÙV«ÙCù	 Level: 91	 IP Address: 14.176.241.9 : 49178
7:36	Account: tranvinh05	 Name: 75ÙNhíÙMétÙNg­êi	 Level: 92	 IP Address: 14.176.241.9 : 49183
7:48	Account: tranvinh03	 Name: ItsÙMyLife	 Level: 90	 IP Address: 14.176.241.9 : 49185
7:48	Account: tranvinh03	 Name: ItsÙMyLife	 Level: 90	 IP Address: 14.176.241.9 : 49187
7:49	Account: colobache195	 Name: DocCoPhong	 Level: 80	 IP Address: 117.5.236.180 : 14023
7:51	Account: saluci	 Name: DocXinh3	 Level: 81	 IP Address: 14.176.241.9 : 49189
7:52	Account: saluci	 Name: DocXinh5	 Level: 81	 IP Address: 14.176.241.9 : 49191
7:52	Account: saluci	 Name: DocXinh4	 Level: 81	 IP Address: 14.176.241.9 : 49193
7:53	Account: minhvu25091990	 Name: Kamikaze	 Level: 83	 IP Address: 14.176.241.9 : 49195
7:54	Account: minhvu25091990	 Name: DocXinh2	 Level: 81	 IP Address: 14.176.241.9 : 49197
7:55	Account: minhvu25091990	 Name: DocXinh	 Level: 81	 IP Address: 14.176.241.9 : 49199
7:56	Account: minhvu25091990	 Name: DocXinh	 Level: 81	 IP Address: 14.176.241.9 : 49201
7:56	Account: minhvu25091990	 Name: DocXinh2	 Level: 81	 IP Address: 14.176.241.9 : 49203
7:57	Account: tranvinh01	 Name: Ù2SaoÙ1g¹ch	 Level: 101	 IP Address: 14.176.241.9 : 49205
7:57	Account: tranvinh06	 Name: GÊuÙCon	 Level: 80	 IP Address: 14.176.241.9 : 49207
7:58	Account: tranvinh06	 Name: ThiªnÙ§ÞaÙV«ÙCù	 Level: 91	 IP Address: 14.176.241.9 : 49209
8:5	Account: vunguyen1984	 Name: BinBin	 Level: 83	 IP Address: 27.75.46.206 : 59095
8:9	Account: sarin1	 Name: DocXinh9	 Level: 81	 IP Address: 14.176.241.9 : 49211
8:10	Account: sarin1	 Name: DocXinh10	 Level: 81	 IP Address: 14.176.241.9 : 49213
8:11	Account: sarin1	 Name: DocXinh11	 Level: 81	 IP Address: 14.176.241.9 : 49215
8:12	Account: sarin1	 Name: DocXinh11	 Level: 81	 IP Address: 14.176.241.9 : 49217
8:12	Account: sarin2	 Name: DocXinh12	 Level: 82	 IP Address: 14.176.241.9 : 49219
8:13	Account: sarin2	 Name: DocXinh14	 Level: 81	 IP Address: 14.176.241.9 : 49221
8:13	Account: sarin2	 Name: DocXinh13	 Level: 81	 IP Address: 14.176.241.9 : 49223
8:14	Account: sarin3	 Name: DocXinh16	 Level: 81	 IP Address: 14.176.241.9 : 49225
8:15	Account: sarin3	 Name: DocXinh15	 Level: 81	 IP Address: 14.176.241.9 : 49227
8:15	Account: luukt57	 Name: ruongdonl01	 Level: 80	 IP Address: 115.75.51.168 : 56039
8:15	Account: sarin3	 Name: DocXinh17	 Level: 81	 IP Address: 14.176.241.9 : 49229
8:15	Account: sarin4	 Name: DocXinh20	 Level: 81	 IP Address: 14.176.241.9 : 49231
8:16	Account: sarin4	 Name: DocXinh20	 Level: 81	 IP Address: 14.176.241.9 : 49233
8:17	Account: sarin4	 Name: DocXinh18	 Level: 81	 IP Address: 14.176.241.9 : 49235
8:17	Account: sarin4	 Name: DocXinh19	 Level: 81	 IP Address: 14.176.241.9 : 49237
8:20	Account: ctcshxt1	 Name: hangve	 Level: 1	 IP Address: 14.176.241.9 : 49239
8:28	Account: tranvinh01	 Name: Ù2SaoÙ1g¹ch	 Level: 101	 IP Address: 14.176.241.9 : 49242
8:28	Account: tranvinh05	 Name: 75ÙNhíÙMétÙNg­êi	 Level: 92	 IP Address: 14.176.241.9 : 49244
8:31	Account: minhtrand7	 Name: 3143242	 Level: 81	 IP Address: 14.174.119.34 : 49289
8:36	Account: minhtrand4	 Name: SÊmÙSÐtÙT©yÙB¾c	 Level: 100	 IP Address: 14.174.119.34 : 49335
8:37	Account: tranvinh01	 Name: Ù2SaoÙ1g¹ch	 Level: 101	 IP Address: 14.176.241.9 : 49250
8:37	Account: minhtrand23	 Name: sanboss06	 Level: 80	 IP Address: 14.174.119.34 : 49337
8:37	Account: tranvinh01	 Name: Ù2SaoÙ1g¹ch	 Level: 101	 IP Address: 14.176.241.9 : 49252
8:38	Account: minhtrand24	 Name: sanboss9	 Level: 80	 IP Address: 14.174.119.34 : 49339
8:38	Account: minhtrand23	 Name: sanboss8	 Level: 80	 IP Address: 14.174.119.34 : 49341
8:38	Account: minhtrand22	 Name: sanboss5	 Level: 80	 IP Address: 14.174.119.34 : 49344
8:42	Account: luukt51	 Name: NgoaLongTN	 Level: 94	 IP Address: 115.75.51.168 : 56532
8:44	Account: thoakhungzz1	 Name: XeTiÒn1	 Level: 86	 IP Address: 116.99.167.107 : 56484
8:45	Account: thoakhungzz1	 Name: NgäcKúL©n	 Level: 94	 IP Address: 116.99.167.107 : 56486
8:45	Account: thoakhungzz1	 Name: NgäcKúL©n	 Level: 94	 IP Address: 116.99.167.107 : 56488
8:45	Account: thoakhungzz1	 Name: FZ1100	 Level: 80	 IP Address: 116.99.167.107 : 56490
8:45	Account: thoakhungzz2	 Name: FZ1313	 Level: 80	 IP Address: 116.99.167.107 : 56493
8:45	Account: thoakhungzz2	 Name: XeTiÒn2	 Level: 86	 IP Address: 116.99.167.107 : 56495
8:45	Account: thoakhungzz2	 Name: NM®Çubß	 Level: 89	 IP Address: 116.99.167.107 : 56497
8:45	Account: thoakhungzz3	 Name: Ho¶KúL©n	 Level: 96	 IP Address: 116.99.167.107 : 56499
8:45	Account: thoakhungzz3	 Name: XeTiÒn3	 Level: 86	 IP Address: 116.99.167.107 : 56501
8:45	Account: thoakhungzz4	 Name: XeTiÒn4	 Level: 85	 IP Address: 116.99.167.107 : 56503
8:46	Account: thoakhungzz4	 Name: H¾cKúL©n	 Level: 93	 IP Address: 116.99.167.107 : 56505
8:46	Account: thoakhungzz4	 Name: FZ1243	 Level: 80	 IP Address: 116.99.167.107 : 56507
8:46	Account: thoakhungzz5	 Name: XeTiÒn5	 Level: 86	 IP Address: 116.99.167.107 : 56509
8:46	Account: thoakhungzz5	 Name: FangLßiCøt	 Level: 91	 IP Address: 116.99.167.107 : 56511
8:46	Account: thoakhungzz5	 Name: FZ2100	 Level: 80	 IP Address: 116.99.167.107 : 56513
8:46	Account: thoakhungz3	 Name: HoaÙR¬iÙCængÙChî	 Level: 98	 IP Address: 116.99.167.107 : 56515
8:46	Account: thoakhungz3	 Name: BFZ1200	 Level: 80	 IP Address: 116.99.167.107 : 56517
8:46	Account: thoakhungz3	 Name: FF0219	 Level: 80	 IP Address: 116.99.167.107 : 56519
8:48	Account: thoakhungz6	 Name: CùcÙKúÙBèÙL¸o	 Level: 100	 IP Address: 116.99.167.107 : 56521
8:50	Account: luukt56	 Name: NgoalongND	 Level: 95	 IP Address: 115.75.51.168 : 56670
8:52	Account: tranvinh03	 Name: ItsÙMyLife	 Level: 90	 IP Address: 14.176.241.9 : 49256
8:55	Account: testgame	 Name: lymacsau	 Level: 80	 IP Address: 171.250.133.155 : 22483
8:57	Account: testgame	 Name: testgame3	 Level: 80	 IP Address: 171.250.133.155 : 22503
8:58	Account: minhtrand7	 Name: ancuopday	 Level: 1	 IP Address: 14.174.119.34 : 49396
9:0	Account: minhtrand9	 Name: talaancuop	 Level: 1	 IP Address: 14.174.119.34 : 49401
9:1	Account: sarin	 Name: DocXinh6	 Level: 81	 IP Address: 116.110.119.64 : 15268
9:1	Account: sarin1990	 Name: DocDep	 Level: 86	 IP Address: 116.110.119.64 : 15204
9:1	Account: tranvinh01	 Name: Ù2SaoÙ1g¹ch	 Level: 101	 IP Address: 14.176.241.9 : 49259
9:1	Account: sarin	 Name: DocXinh6	 Level: 81	 IP Address: 116.110.119.64 : 49610
9:1	Account: sarin1	 Name: DocXinh9	 Level: 81	 IP Address: 116.110.119.64 : 49616
9:2	Account: tranvinh02	 Name: HuúnhÙNi	 Level: 91	 IP Address: 14.176.241.9 : 49261
9:2	Account: sarin2	 Name: DocXinh12	 Level: 82	 IP Address: 116.110.119.64 : 49619
9:2	Account: tranvinh03	 Name: ItsÙMyLife	 Level: 90	 IP Address: 14.176.241.9 : 49263
9:2	Account: sarin3	 Name: DocXinh16	 Level: 81	 IP Address: 116.110.119.64 : 49629
9:2	Account: tranvinh04	 Name: B­ímÙEmÙCãÙ§éc	 Level: 95	 IP Address: 14.176.241.9 : 49265
9:2	Account: sarin4	 Name: DocXinh20	 Level: 81	 IP Address: 116.110.119.64 : 49633
9:3	Account: tranvinh05	 Name: 75ÙNhíÙMétÙNg­êi	 Level: 92	 IP Address: 14.176.241.9 : 49267
9:3	Account: saluci	 Name: DocXinh3	 Level: 81	 IP Address: 116.110.119.64 : 49635
9:3	Account: tranvinh06	 Name: ThiªnÙ§ÞaÙV«ÙCù	 Level: 91	 IP Address: 14.176.241.9 : 49269
9:3	Account: vu25091990	 Name: XinhGai21	 Level: 81	 IP Address: 116.110.119.64 : 49641
9:3	Account: minhvu25091990	 Name: Kamikaze	 Level: 83	 IP Address: 116.110.119.64 : 49646
9:5	Account: vu25091990	 Name: XinhGai21	 Level: 81	 IP Address: 116.110.119.64 : 49672
9:6	Account: testgame	 Name: testgame3	 Level: 80	 IP Address: 171.250.133.155 : 22658
9:6	Account: sarin	 Name: DocXinh6	 Level: 81	 IP Address: 116.110.119.64 : 15285
9:6	Account: sarin1	 Name: DocXinh9	 Level: 81	 IP Address: 116.110.119.64 : 14453
9:6	Account: saluci	 Name: DocXinh4	 Level: 81	 IP Address: 116.110.119.64 : 49684
9:6	Account: saluci	 Name: DocXinh5	 Level: 81	 IP Address: 116.110.119.64 : 49688
9:6	Account: saluci	 Name: DocXinh3	 Level: 81	 IP Address: 116.110.119.64 : 14708
9:6	Account: vu25091990	 Name: XinhGai21	 Level: 81	 IP Address: 116.110.119.64 : 15220
9:7	Account: vu25091990	 Name: DocXinh22	 Level: 81	 IP Address: 116.110.119.64 : 15221
9:7	Account: vu25091990	 Name: DocXinh23	 Level: 81	 IP Address: 116.110.119.64 : 49700
9:8	Account: tranvinh02	 Name: HuúnhÙNi	 Level: 91	 IP Address: 14.176.241.9 : 49271
9:8	Account: sarin	 Name: DocXinh6	 Level: 81	 IP Address: 116.110.119.64 : 49714
9:10	Account: minhtrand7	 Name: 3143242	 Level: 81	 IP Address: 14.174.119.34 : 49420
9:10	Account: minhtrand22	 Name: sanboss5	 Level: 80	 IP Address: 14.174.119.34 : 49422
9:12	Account: tranvinh02	 Name: HuúnhÙNi	 Level: 91	 IP Address: 14.176.241.9 : 49273
9:13	Account: minhtrand22	 Name: sanboss12	 Level: 80	 IP Address: 14.174.119.34 : 49428
9:16	Account: minhtrand9	 Name: talaancuop	 Level: 80	 IP Address: 14.174.119.34 : 49433
9:16	Account: colobache195	 Name: DocCoPhong	 Level: 80	 IP Address: 117.5.236.180 : 14449
9:18	Account: minhtrand10	 Name: trumaancuop	 Level: 1	 IP Address: 14.174.119.34 : 49449
9:18	Account: sarin	 Name: DocXinh7	 Level: 81	 IP Address: 116.110.119.64 : 14380
9:23	Account: colobache195	 Name: DocCoPhong	 Level: 80	 IP Address: 117.5.236.180 : 14549
9:24	Account: minhtrand8	 Name: cuopcuop	 Level: 1	 IP Address: 14.174.119.34 : 49482
9:24	Account: minhtrand7	 Name: ancuopday	 Level: 80	 IP Address: 14.174.119.34 : 49488
9:29	Account: longyen011	 Name: MrÙLong	 Level: 94	 IP Address: 14.187.167.3 : 55269
9:31	Account: colobache195195	 Name: LÖSÇuThiªnThu	 Level: 1	 IP Address: 117.5.236.180 : 1462
9:34	Account: colobache195	 Name: DocCoPhong	 Level: 80	 IP Address: 117.5.236.180 : 1464
9:35	Account: minhtrand5	 Name: LÇyÙAÙMinh	 Level: 101	 IP Address: 14.174.119.34 : 49550
9:43	Account: sarin	 Name: DocXinh8	 Level: 81	 IP Address: 116.110.119.64 : 50095
9:45	Account: luukt53	 Name: NgoalongVD	 Level: 121	 IP Address: 115.75.51.168 : 57657
9:46	Account: luukt53	 Name: NgoalongVD	 Level: 121	 IP Address: 115.75.51.168 : 57666
9:46	Account: huynhtrongtri11	 Name: PhoiCacKieu	 Level: 80	 IP Address: 42.119.136.199 : 50542
9:47	Account: luukt53	 Name: NgoalongVD	 Level: 121	 IP Address: 115.75.51.168 : 57675
9:47	Account: luukt53	 Name: NgoalongVD	 Level: 121	 IP Address: 115.75.51.168 : 57690
9:49	Account: minhvu25091990	 Name: Kamikaze	 Level: 83	 IP Address: 116.110.119.64 : 14550
9:50	Account: minhvu25091990	 Name: DocXinh2	 Level: 81	 IP Address: 116.110.119.64 : 14551
9:50	Account: minhvu25091990	 Name: DocXinh	 Level: 81	 IP Address: 116.110.119.64 : 50155
9:50	Account: sarin1	 Name: DocXinh9	 Level: 81	 IP Address: 116.110.119.64 : 14806
10:1	Account: huynhtrongtri11	 Name: §écS¸tNéiC«ng	 Level: 111	 IP Address: 42.119.136.199 : 50549
10:3	Account: luukt56	 Name: NgoalongND	 Level: 95	 IP Address: 115.75.51.168 : 57963
10:4	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 91	 IP Address: 113.176.144.109 : 51528
10:5	Account: luukt53	 Name: NgoalongVD	 Level: 121	 IP Address: 115.75.51.168 : 57998
10:5	Account: colobache195	 Name: DocCoPhong	 Level: 80	 IP Address: 117.5.236.180 : 1614
10:5	Account: luukt53	 Name: NgoalongVD	 Level: 121	 IP Address: 115.75.51.168 : 58002
10:32	Account: vubluish	 Name: truongchannhan	 Level: 91	 IP Address: 42.115.137.72 : 64110
