0:19	Account: kimmalenhhai5	 Name: B­ímToNhÊtXãm	 Level: 1	 IP Address: 117.3.187.15 : 59894
1:13	Account: quocviet1985	 Name: CauHaiTL	 Level: 74	 IP Address: 123.20.48.106 : 52082
1:19	Account: quocviet1985	 Name: CauHaiTL	 Level: 74	 IP Address: 123.20.48.106 : 49194
1:20	Account: quocviet1986	 Name: CauHai	 Level: 74	 IP Address: 123.20.48.106 : 49200
1:20	Account: quocviet1987	 Name: ChiHaiND	 Level: 73	 IP Address: 123.20.48.106 : 49206
1:21	Account: quocviet1988	 Name: ChiHaiNM	 Level: 70	 IP Address: 123.20.48.106 : 49214
1:25	Account: kaiba1	 Name: ÙAÙTònÙ	 Level: 82	 IP Address: 171.255.153.107 : 34279
1:25	Account: kaiba1	 Name: ÙAÙTònÙ	 Level: 82	 IP Address: 171.255.153.107 : 38203
1:27	Account: kaiba1	 Name: ÙAÙTònÙ	 Level: 82	 IP Address: 171.255.153.107 : 35692
1:28	Account: kaiba1	 Name: ÙAÙTònÙ	 Level: 82	 IP Address: 171.255.153.107 : 45613
1:29	Account: kaiba2	 Name: CuToLµmEmHo	 Level: 78	 IP Address: 171.255.153.107 : 37246
1:30	Account: kaiba4	 Name: GiµngÙAÙTèng	 Level: 81	 IP Address: 171.255.153.107 : 44141
1:30	Account: kaiba3	 Name: §o¹tÙHånÙ§ao	 Level: 82	 IP Address: 171.255.153.107 : 42905
3:2	Account: coca03	 Name: CanhSat115	 Level: 70	 IP Address: 14.246.75.89 : 28896
3:37	Account: phamtungdhv3	 Name: ZzNhimXinhzZ	 Level: 79	 IP Address: 42.116.136.69 : 64167
3:37	Account: phamtungdhv2	 Name: ZzNgocCuxiZz	 Level: 78	 IP Address: 42.116.136.69 : 64169
3:37	Account: phamtungdhv1	 Name: ZzJindozZ	 Level: 81	 IP Address: 42.116.136.69 : 64170
3:37	Account: phamtungdhv4	 Name: ZzTungpszZ	 Level: 79	 IP Address: 42.116.136.69 : 64172
4:24	Account: minsimon1	 Name: ÙDÇnÙSG	 Level: 86	 IP Address: 14.230.179.226 : 51861
4:47	Account: tranvinh04	 Name: HoaÙDiÙCungÙChñ	 Level: 79	 IP Address: 14.245.139.5 : 52526
4:48	Account: tranvinh03	 Name: IstÙMyÙlife	 Level: 79	 IP Address: 14.245.139.5 : 52528
4:49	Account: tranvinh02	 Name: HuúnhÙNi	 Level: 78	 IP Address: 14.245.139.5 : 52530
4:50	Account: tranvinh01	 Name: Ù2ÙSaoÙ1ÙG¹ch	 Level: 84	 IP Address: 14.245.139.5 : 52532
5:9	Account: minsimon	 Name: ÙSöuÙSG	 Level: 84	 IP Address: 14.230.179.226 : 52768
5:28	Account: vubluish	 Name: hoalongcaca	 Level: 67	 IP Address: 1.52.39.133 : 24538
5:34	Account: nghibgnh	 Name: JX1ÙThanhÙLong	 Level: 81	 IP Address: 113.179.140.192 : 64114
5:36	Account: nghibgnh	 Name: JX1ÙThanhÙLong	 Level: 81	 IP Address: 113.179.140.192 : 64149
5:50	Account: quoccuongg3	 Name: Tinhlahotel	 Level: 81	 IP Address: 113.188.205.115 : 52024
5:51	Account: huy1712	 Name: ¡nÙMµyÙV­¬ngÙGia	 Level: 72	 IP Address: 116.108.185.216 : 2560
5:56	Account: quoccuongg2	 Name: Tinhlawhat	 Level: 80	 IP Address: 113.188.205.115 : 52031
5:58	Account: gcity02	 Name: 02ÙThiªnÙNhÉn	 Level: 86	 IP Address: 113.22.199.222 : 1073
5:59	Account: gcity01	 Name: 01ÙThiÕuÙL©m	 Level: 85	 IP Address: 113.22.199.222 : 42027
6:0	Account: gcity03	 Name: 03ÙNgaÙMi	 Level: 83	 IP Address: 113.22.199.222 : 8454
6:0	Account: nam192hd1	 Name: HáaÙThÇn	 Level: 71	 IP Address: 27.73.149.10 : 7495
6:1	Account: gcity04	 Name: 04Ù§­êngÙM«n	 Level: 84	 IP Address: 113.22.199.222 : 39218
6:1	Account: quoccuongg1	 Name: Tinhlagi	 Level: 79	 IP Address: 113.188.205.115 : 52034
6:2	Account: quoccuongg4	 Name: TinhLa3cham	 Level: 76	 IP Address: 113.188.205.115 : 52036
6:8	Account: nam192hd	 Name: ThİchÙTh×ÙCh¬i	 Level: 78	 IP Address: 27.73.149.10 : 2538
6:18	Account: nonhantl	 Name: V«DanhÙThÇnÙT¨ng	 Level: 85	 IP Address: 118.68.135.17 : 63932
6:18	Account: nonhannm	 Name: NhËmÙDoanhÙDoanh	 Level: 83	 IP Address: 118.68.135.17 : 63934
6:19	Account: nonhandl	 Name: V«ÙNhaiÙTö	 Level: 86	 IP Address: 118.68.135.17 : 63938
6:22	Account: nonhancl	 Name: HµnÙL©mÙNhi	 Level: 73	 IP Address: 118.68.135.17 : 63944
6:25	Account: huy1712	 Name: ¡nÙMµyÙV­¬ngÙGia	 Level: 72	 IP Address: 116.108.185.216 : 4841
6:26	Account: nonhandl	 Name: V«ÙNhaiÙTö	 Level: 86	 IP Address: 118.68.135.17 : 63967
6:26	Account: huy1712	 Name: ¡nÙMµyÙV­¬ngÙGia	 Level: 72	 IP Address: 116.108.185.216 : 4865
6:27	Account: nonhantl	 Name: V«DanhÙThÇnÙT¨ng	 Level: 85	 IP Address: 118.68.135.17 : 63971
6:27	Account: nonhannm	 Name: NhËmÙDoanhÙDoanh	 Level: 83	 IP Address: 118.68.135.17 : 63973
6:31	Account: huy1713	 Name: V­¬ngÙT¸	 Level: 72	 IP Address: 116.108.185.216 : 5220
6:35	Account: nonhancl	 Name: HµnÙL©mÙNhi	 Level: 73	 IP Address: 118.68.135.17 : 63977
6:43	Account: hahaha1	 Name: oKeoXe	 Level: 57	 IP Address: 27.64.55.102 : 49491
6:43	Account: hahaha	 Name: oB¸nhBétLäc	 Level: 51	 IP Address: 27.64.55.102 : 49496
6:44	Account: hahaha2	 Name: oEmBuff	 Level: 53	 IP Address: 27.64.55.102 : 49499
6:53	Account: sarin1990	 Name: DocDep	 Level: 67	 IP Address: 27.69.147.127 : 54925
7:5	Account: anlonnhe	 Name: KimXaLuan	 Level: 63	 IP Address: 113.175.103.178 : 1140
7:8	Account: ovichat1t	 Name: ChiÒuÙChñÙNhËt	 Level: 83	 IP Address: 14.184.51.120 : 49194
7:9	Account: thanhtuoi1	 Name: ÙÙÙÙÙÙÙÙÙ	 Level: 84	 IP Address: 14.184.51.120 : 49202
7:9	Account: thanhtuoi2	 Name: LµmÙKh¸ngÙT¨ng	 Level: 82	 IP Address: 14.184.51.120 : 49208
7:10	Account: thanhtuoi3	 Name: C«ÙSinhÙTån	 Level: 82	 IP Address: 14.184.51.120 : 49213
7:12	Account: tranhoangcham	 Name: KeVoDanh	 Level: 1	 IP Address: 14.240.198.129 : 49619
7:16	Account: tienanh	 Name: ChŞM­êiBa	 Level: 1	 IP Address: 14.161.2.192 : 58933
7:17	Account: tienanh1	 Name: AnhB¶yGµ	 Level: 1	 IP Address: 14.161.2.192 : 58941
7:19	Account: tienanh2	 Name: ThËpTøC«N­¬ng	 Level: 1	 IP Address: 14.161.2.192 : 58947
7:23	Account: tienanh	 Name: ChŞM­êiBa	 Level: 5	 IP Address: 14.161.2.192 : 59000
7:24	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 125	 IP Address: 14.233.236.231 : 49280
7:26	Account: quoccuongg1	 Name: Tinhlagi	 Level: 80	 IP Address: 113.188.205.115 : 49181
7:26	Account: quoccuongg2	 Name: Tinhlawhat	 Level: 81	 IP Address: 113.188.205.115 : 49183
7:26	Account: tienanh3	 Name: AnhViC¸	 Level: 1	 IP Address: 14.161.2.192 : 59054
7:27	Account: quoccuongg3	 Name: Tinhlahotel	 Level: 81	 IP Address: 113.188.205.115 : 49187
7:28	Account: quoccuongg4	 Name: TinhLa3cham	 Level: 77	 IP Address: 113.188.205.115 : 49189
7:36	Account: ruan131101	 Name: Do·nCa	 Level: 80	 IP Address: 113.185.15.106 : 39018
7:36	Account: ruan131102	 Name: §­êngLang	 Level: 77	 IP Address: 113.185.15.106 : 34876
7:36	Account: ruan131104	 Name: TiÓuTuyÕt	 Level: 77	 IP Address: 113.185.15.106 : 1788
7:36	Account: ruan131103	 Name: Qu¸chCa	 Level: 79	 IP Address: 113.185.15.106 : 12482
7:47	Account: tantrang1989	 Name: T©nTrang	 Level: 81	 IP Address: 171.253.131.254 : 50490
7:51	Account: ruan131101	 Name: Do·nCa	 Level: 80	 IP Address: 113.185.15.106 : 12315
7:54	Account: minsimon	 Name: ÙSöuÙSG	 Level: 84	 IP Address: 14.230.179.226 : 55155
7:54	Account: tantrang1986	 Name: LãcXo¸iTöThÇn	 Level: 78	 IP Address: 171.253.131.254 : 30983
7:55	Account: ruan131104	 Name: TiÓuTuyÕt	 Level: 77	 IP Address: 113.185.15.106 : 6395
7:56	Account: tantrang1987	 Name: Mét§aoTĞNgôa	 Level: 78	 IP Address: 171.253.131.254 : 21152
7:57	Account: tantrang1988	 Name: ChuChØNh­îc	 Level: 77	 IP Address: 171.253.131.254 : 35986
8:7	Account: minsimon1	 Name: ÙDÇnÙSG	 Level: 86	 IP Address: 14.230.179.226 : 55207
8:7	Account: hangnitocvay1	 Name: ThiªnÙsøÙJAV	 Level: 67	 IP Address: 171.251.168.241 : 49759
8:8	Account: hangnitocvay	 Name: N÷ÙThÇnÙJAV	 Level: 68	 IP Address: 171.251.168.241 : 49766
8:8	Account: hangnitocvay2	 Name: C«ÙbĞÙJAV	 Level: 71	 IP Address: 171.251.168.241 : 49772
8:12	Account: bihulk03	 Name: CLHulk	 Level: 5	 IP Address: 42.117.84.197 : 56377
8:16	Account: quocviet1985	 Name: CauHaiTL	 Level: 77	 IP Address: 123.25.240.42 : 49269
8:17	Account: quocviet1986	 Name: CauHai	 Level: 78	 IP Address: 123.25.240.42 : 49275
8:18	Account: quocviet1987	 Name: ChiHaiND	 Level: 76	 IP Address: 123.25.240.42 : 49286
8:18	Account: quocviet1988	 Name: ChiHaiNM	 Level: 74	 IP Address: 123.25.240.42 : 49296
8:20	Account: nonhantl	 Name: V«DanhÙThÇnÙT¨ng	 Level: 86	 IP Address: 118.68.135.17 : 64063
8:20	Account: qwqwqw2	 Name: LinhÙNhi	 Level: 5	 IP Address: 171.249.236.64 : 64433
8:21	Account: nonhantl	 Name: V«DanhÙThÇnÙT¨ng	 Level: 86	 IP Address: 118.68.135.17 : 64069
8:22	Account: nonhannm	 Name: NhËmÙDoanhÙDoanh	 Level: 83	 IP Address: 118.68.135.17 : 64071
8:22	Account: nonhandl	 Name: V«ÙNhaiÙTö	 Level: 86	 IP Address: 118.68.135.17 : 64073
8:23	Account: nonhancl	 Name: HµnÙL©mÙNhi	 Level: 74	 IP Address: 118.68.135.17 : 64075
8:24	Account: vunguyen1983	 Name: ThienNhan	 Level: 1	 IP Address: 115.73.22.10 : 49251
8:25	Account: vunguyen1983	 Name: ThienNhan	 Level: 5	 IP Address: 115.73.22.10 : 49260
8:28	Account: huyenuyqs	 Name: VDKÙ1006	 Level: 52	 IP Address: 14.243.57.76 : 63629
8:35	Account: dxidau1	 Name: BuonKhongEm	 Level: 75	 IP Address: 27.71.160.55 : 51930
8:35	Account: dxidau	 Name: FCKhanhHoaFC	 Level: 80	 IP Address: 27.71.160.55 : 51929
8:35	Account: dxidau	 Name: BuonCuaAnh	 Level: 46	 IP Address: 27.71.160.55 : 51950
8:36	Account: dxidau	 Name: FCKhanhHoaFC	 Level: 80	 IP Address: 27.71.160.55 : 51953
8:38	Account: mrkuben	 Name: emMyMY	 Level: 63	 IP Address: 14.175.134.36 : 49835
8:40	Account: nonhannm	 Name: NhËmÙDoanhÙDoanh	 Level: 83	 IP Address: 118.68.135.17 : 64089
8:42	Account: vunguyen1984	 Name: TieuThanh	 Level: 1	 IP Address: 115.73.22.10 : 49287
8:42	Account: vunguyen1985	 Name: ThanhThanh	 Level: 1	 IP Address: 115.73.22.10 : 49290
8:44	Account: vunguyen1986	 Name: BoomBoom	 Level: 1	 IP Address: 115.73.22.10 : 49294
8:48	Account: vunguyen1984	 Name: TieuThanh	 Level: 5	 IP Address: 115.73.22.10 : 49304
8:49	Account: dai221990	 Name: ChİÙT«n	 Level: 81	 IP Address: 116.109.185.233 : 52072
8:49	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 125	 IP Address: 14.233.236.231 : 49736
8:52	Account: kaiba5	 Name: ÙPepsiÙ	 Level: 1	 IP Address: 171.255.153.107 : 39301
8:53	Account: huyenuyqs	 Name: VDKÙ1006	 Level: 53	 IP Address: 14.243.57.76 : 63757
8:57	Account: kaiba2	 Name: CuToLµmEmHo	 Level: 80	 IP Address: 171.255.153.107 : 34347
8:59	Account: ribi01	 Name: RiBi01	 Level: 1	 IP Address: 1.53.89.213 : 50455
8:59	Account: kaiba3	 Name: §o¹tÙHånÙ§ao	 Level: 83	 IP Address: 171.255.153.107 : 36807
9:1	Account: thangvl1	 Name: VDBTGr	 Level: 62	 IP Address: 118.70.81.103 : 1091
9:5	Account: kaiba2	 Name: CuToLµmEmHo	 Level: 80	 IP Address: 171.255.153.107 : 44218
9:6	Account: mrkuben	 Name: emMyMY	 Level: 64	 IP Address: 14.174.155.188 : 51307
9:7	Account: thangvl2	 Name: NMBTGr	 Level: 63	 IP Address: 118.70.81.103 : 1101
9:10	Account: thangvl3	 Name: DMBTGr	 Level: 68	 IP Address: 118.70.81.103 : 1106
9:12	Account: thangvl4	 Name: 5DBTGr	 Level: 65	 IP Address: 118.70.81.103 : 1109
9:13	Account: vunguyen1983	 Name: ThienNhan	 Level: 75	 IP Address: 115.73.22.10 : 49331
9:15	Account: phamtungdhv1	 Name: ZzJindozZ	 Level: 82	 IP Address: 42.118.129.73 : 64955
9:15	Account: phamtungdhv3	 Name: ZzNhimXinhzZ	 Level: 80	 IP Address: 42.118.129.73 : 64958
9:15	Account: phamtungdhv2	 Name: ZzNgocCuxiZz	 Level: 79	 IP Address: 42.118.129.73 : 64963
9:16	Account: phamtungdhv4	 Name: ZzTungpszZ	 Level: 80	 IP Address: 42.118.129.73 : 64971
9:16	Account: ruan131101	 Name: Do·nCa	 Level: 80	 IP Address: 113.185.15.106 : 9421
9:19	Account: tantrang1989	 Name: T©nTrang	 Level: 81	 IP Address: 171.253.131.254 : 10530
9:19	Account: tantrang1986	 Name: LãcXo¸iTöThÇn	 Level: 79	 IP Address: 171.253.131.254 : 19874
9:19	Account: tantrang1987	 Name: Mét§aoTĞNgôa	 Level: 79	 IP Address: 171.253.131.254 : 3314
9:19	Account: tantrang1988	 Name: ChuChØNh­îc	 Level: 78	 IP Address: 171.253.131.254 : 2542
9:20	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 125	 IP Address: 14.233.236.231 : 49810
9:25	Account: ribi02	 Name: RiBi02	 Level: 1	 IP Address: 1.53.89.213 : 51108
9:26	Account: ribi03	 Name: RiBi03	 Level: 1	 IP Address: 1.53.89.213 : 51124
9:28	Account: ribi04	 Name: RiBi04	 Level: 1	 IP Address: 1.53.89.213 : 51159
9:29	Account: ruan131101	 Name: Do·nCa	 Level: 81	 IP Address: 113.185.15.106 : 30594
9:32	Account: mrbuno3	 Name: Ph­íc5§ª	 Level: 85	 IP Address: 27.72.30.43 : 53736
9:35	Account: vlphuongvy	 Name: o0oVmTo0o	 Level: 86	 IP Address: 113.173.207.184 : 7325
9:35	Account: vlphuongvy1	 Name: oOoVmToOo	 Level: 84	 IP Address: 113.173.207.184 : 7327
9:36	Account: vlphuongvy2	 Name: o0oVmToOo	 Level: 85	 IP Address: 113.173.207.184 : 49190
9:36	Account: vlphuongvy3	 Name: oOoVmTo0o	 Level: 86	 IP Address: 113.173.207.184 : 7335
9:41	Account: mapdl1	 Name: TiÕuNg¹oÙGiangHå	 Level: 84	 IP Address: 118.68.135.17 : 49521
9:41	Account: qwqwqw2	 Name: LinhÙNhi	 Level: 5	 IP Address: 171.249.236.64 : 49278
9:41	Account: thangvl3	 Name: DMBTGr	 Level: 69	 IP Address: 118.70.81.103 : 1268
9:42	Account: minsimon1	 Name: ÙDÇnÙSG	 Level: 87	 IP Address: 14.230.179.226 : 56118
9:43	Account: minhtrand1	 Name: GiÕtÙS­Ù§ètÙChïa	 Level: 81	 IP Address: 14.174.119.34 : 49179
9:44	Account: qwqwqw3	 Name: ThÈmÙV¹nÙTam	 Level: 80	 IP Address: 171.249.236.64 : 49303
9:48	Account: minhtrand2	 Name: TiÓuÙLinh	 Level: 77	 IP Address: 14.174.119.34 : 49293
9:48	Account: samsimon	 Name: ÙTıÙSG	 Level: 85	 IP Address: 14.230.179.226 : 56170
9:48	Account: minsimon	 Name: ÙSöuÙSG	 Level: 84	 IP Address: 14.230.179.226 : 56172
9:48	Account: samsimon1	 Name: ÙHîiÙSG	 Level: 85	 IP Address: 14.230.179.226 : 56174
9:48	Account: minsimon1	 Name: ÙDÇnÙSG	 Level: 87	 IP Address: 14.230.179.226 : 56176
9:48	Account: minhtrand3	 Name: HáaÙLongÙTµÙNh©n	 Level: 78	 IP Address: 14.174.119.34 : 49300
9:50	Account: minhtrand4	 Name: ThiªnÙL«i	 Level: 50	 IP Address: 14.174.119.34 : 49316
9:51	Account: calocxocbaucua01	 Name: GSÙCïÙTrängÙXoay	 Level: 44	 IP Address: 14.174.119.34 : 49319
9:51	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 125	 IP Address: 14.233.236.231 : 49918
9:51	Account: calocxocbaucua03	 Name: S¾cÙGiíi	 Level: 31	 IP Address: 14.174.119.34 : 49321
9:52	Account: qwqwqw2	 Name: LinhÙNhi	 Level: 5	 IP Address: 171.249.236.64 : 49336
9:52	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 125	 IP Address: 14.233.236.231 : 49928
9:52	Account: calocxocbaucua04	 Name: §ŞcÙRaÙCøcÙN­íc	 Level: 26	 IP Address: 14.174.119.34 : 49328
9:53	Account: calocxocbaucua02	 Name: H×nhÙSùÙTh«n	 Level: 81	 IP Address: 14.174.119.34 : 49331
9:54	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 125	 IP Address: 14.233.236.231 : 49939
9:55	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 125	 IP Address: 14.233.236.231 : 49951
9:56	Account: minhtrand1	 Name: GiÕtÙS­Ù§ètÙChïa	 Level: 81	 IP Address: 14.174.119.34 : 49343
10:0	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 125	 IP Address: 14.233.236.231 : 49993
10:3	Account: minhtrand2	 Name: TiÓuÙLinh	 Level: 77	 IP Address: 14.174.119.34 : 49373
10:3	Account: ruan131103	 Name: Qu¸chCa	 Level: 80	 IP Address: 113.185.15.106 : 58060
10:7	Account: hahaha	 Name: oB¸nhBétLäc	 Level: 54	 IP Address: 27.64.55.102 : 55955
10:9	Account: anlonnhe	 Name: KimXaLuan	 Level: 65	 IP Address: 113.175.103.178 : 1497
10:10	Account: hahaha	 Name: oB¸nhBétLäc	 Level: 54	 IP Address: 27.64.55.102 : 55966
10:11	Account: ruan131103	 Name: Qu¸chCa	 Level: 80	 IP Address: 113.185.15.106 : 56121
10:16	Account: minhtrand1	 Name: GiÕtÙS­Ù§ètÙChïa	 Level: 81	 IP Address: 14.174.119.34 : 49261
10:17	Account: minhtrand2	 Name: TiÓuÙLinh	 Level: 80	 IP Address: 14.174.119.34 : 49265
10:17	Account: quocviet1986	 Name: CauHai	 Level: 80	 IP Address: 123.25.240.42 : 49971
10:20	Account: minhtrand3	 Name: HáaÙLongÙTµÙNh©n	 Level: 78	 IP Address: 14.174.119.34 : 49275
10:22	Account: minhtrand1	 Name: GiÕtÙS­Ù§ètÙChïa	 Level: 81	 IP Address: 14.174.119.34 : 49288
10:29	Account: thangvl1	 Name: VDBTGr	 Level: 64	 IP Address: 118.70.81.103 : 1608
10:29	Account: thangvl3	 Name: DMBTGr	 Level: 71	 IP Address: 118.70.81.103 : 1610
10:30	Account: hienlong	 Name: HienLong	 Level: 83	 IP Address: 116.100.220.8 : 49380
10:30	Account: hienlong1	 Name: KhaDoanh	 Level: 82	 IP Address: 116.100.220.8 : 49383
10:31	Account: minsimon1	 Name: ÙDÇnÙSG	 Level: 87	 IP Address: 14.230.179.226 : 56417
10:32	Account: ruan131102	 Name: §­êngLang	 Level: 78	 IP Address: 113.185.15.106 : 60239
10:40	Account: yakahura1	 Name: NøngÙCÆc	 Level: 82	 IP Address: 27.75.168.75 : 49206
10:40	Account: yakahura2	 Name: NøngÙCÆc11	 Level: 82	 IP Address: 27.75.168.75 : 49210
10:44	Account: yakahura3	 Name: NøngÙLån22	 Level: 83	 IP Address: 27.75.168.75 : 49214
10:45	Account: yakahura4	 Name: NøngÙLån33	 Level: 82	 IP Address: 27.75.168.75 : 49216
10:49	Account: yakahura4	 Name: NøngÙLån33	 Level: 82	 IP Address: 27.75.168.75 : 49220
11:2	Account: thangvl2	 Name: NMBTGr	 Level: 65	 IP Address: 118.70.81.103 : 1725
11:2	Account: thangvl3	 Name: DMBTGr	 Level: 71	 IP Address: 118.70.81.103 : 1730
11:2	Account: thangvl4	 Name: 5DBTGr	 Level: 67	 IP Address: 118.70.81.103 : 1731
11:2	Account: thangvl1	 Name: VDBTGr	 Level: 64	 IP Address: 118.70.81.103 : 1732
11:11	Account: ruan131104	 Name: TiÓuTuyÕt	 Level: 79	 IP Address: 27.67.132.235 : 33752
11:11	Account: ruan131101	 Name: Do·nCa	 Level: 81	 IP Address: 27.67.132.235 : 53158
11:11	Account: ruan131102	 Name: §­êngLang	 Level: 78	 IP Address: 27.67.132.235 : 40500
11:11	Account: ruan131103	 Name: Qu¸chCa	 Level: 81	 IP Address: 27.67.132.235 : 41664
11:12	Account: phuongboss2	 Name: ÙÙÙÙBlueÙÙÙ	 Level: 87	 IP Address: 1.55.177.121 : 1215
11:14	Account: phuongboss	 Name: ÙÙÙRedÙÙÙ	 Level: 86	 IP Address: 1.55.177.121 : 54338
11:14	Account: phuongboss3	 Name: ÙÙÙÙBlackÙÙÙÙ	 Level: 86	 IP Address: 1.55.177.121 : 47881
11:14	Account: ruan131102	 Name: §­êngLang	 Level: 78	 IP Address: 27.67.132.235 : 21364
11:14	Account: kimmalenhhai3	 Name: MÊtNgñV×ThiÕuS÷a	 Level: 81	 IP Address: 117.3.187.15 : 60068
11:14	Account: phuongboss4	 Name: ÙÙÙLuLuÙÙÙ	 Level: 83	 IP Address: 1.55.177.121 : 11719
11:16	Account: quoccuongg3	 Name: Tinhlahotel	 Level: 82	 IP Address: 116.100.220.8 : 49460
11:17	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 125	 IP Address: 14.233.236.231 : 50227
11:18	Account: phuongboss4	 Name: ÙÙÙLuLuÙÙÙ	 Level: 83	 IP Address: 1.55.177.121 : 16260
11:19	Account: gcity02	 Name: 02ÙThiªnÙNhÉn	 Level: 87	 IP Address: 113.22.199.222 : 53857
11:19	Account: gcity01	 Name: 01ÙThiÕuÙL©m	 Level: 86	 IP Address: 113.22.199.222 : 49937
11:20	Account: gcity03	 Name: 03ÙNgaÙMi	 Level: 84	 IP Address: 113.22.199.222 : 45304
11:20	Account: gcity04	 Name: 04Ù§­êngÙM«n	 Level: 85	 IP Address: 113.22.199.222 : 51432
11:24	Account: kaiba5	 Name: asdasc	 Level: 1	 IP Address: 171.255.153.107 : 37429
11:29	Account: kaiba4	 Name: GiµngÙAÙTèng	 Level: 82	 IP Address: 171.255.153.107 : 33860
11:31	Account: kaiba5	 Name: asdasc	 Level: 5	 IP Address: 171.255.153.107 : 39181
11:37	Account: giongtre01	 Name: L©mÙKa	 Level: 1	 IP Address: 115.72.102.226 : 50105
11:41	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 125	 IP Address: 14.233.236.231 : 50326
11:45	Account: giongtre02	 Name: ThamÙQuan	 Level: 1	 IP Address: 115.72.102.226 : 50136
