Ãỷ³ặ	ItemGenre	DetailType	ParticularType	ả¯ằưẻÄẳỵÃỷ	ảễểƯẻùẳỵậữềý	¿ớảẩ	áòảẩ	ậàÃữẻÄìệ	ẻồééấụéễ	ẳÛáủ	àẩẳả	ấầãủàỵãÅ	ằự´Ăấụéễ1ÀàéÍ	ằự´Ăấụéễ1ìợéĂệà	ằự´Ăấụéễ1ìợ´úệà	ằự´Ăấụéễ2ÀàéÍ	ằự´Ăấụéễ2ìợéĂệà	ằự´Ăấụéễ2ìợ´úệà	ằự´Ăấụéễ3ÀàéÍ	ằự´Ăấụéễ3ìợéĂệà	ằự´Ăấụéễ3ìợ´úệà	ằự´Ăấụéễ4ÀàéÍ	ằự´Ăấụéễ4ìợéĂệà	ằự´Ăấụéễ4ìợ´úệà	ằự´Ăấụéễ5ÀàéÍ	ằự´Ăấụéễ5ìợéĂệà	ằự´Ăấụéễ5ìợ´úệà	ằự´Ăấụéễ6ÀàéÍ	ằự´Ăấụéễ6ìợéĂệà	ằự´Ăấụéễ6ìợ´úệà	ằự´Ăấụéễ7ÀàéÍ	ằự´Ăấụéễ7ìợéĂệà	ằự´Ăấụéễ7ìợ´úệà	éốầúấụéễ1ÀàéÍ	éốầúấụéễ1ấýệà	éốầúấụéễ2ÀàéÍ	éốầúấụéễ2ấýệà	éốầúấụéễ3ÀàéÍ	éốầúấụéễ3ấýệà	éốầúấụéễ4ÀàéÍ	éốầúấụéễ4ấýệà	éốầúấụéễ5ÀàéÍ	éốầúấụéễ5ấýệà	éốầúấụéễ6ÀàéÍ	éốầúấụéễ6ấýệà	ÄĐãăấụéễậữềý1	ÄĐãăấụéễậữềý2	ÄĐãăấụéễậữềý3	ÄĐãăấụéễậữềý4	ÄĐãăấụéễậữềý5	ÄĐãăấụéễậữềý6	ậựễÚèìì°	Àâếạèìì°	Àâếạèìì°éũºÅ	Àâếạèìì°ềỵ²ỉấụéễ1	Àâếạèìì°ềỵ²ỉấụéễ2	¿ẫẩÛÁảấụéễấýÁ¿	¿ẫẩÛÁảẻặáệặãệấ			
Hám Thiên Kim Hoàn Đại Nhãn Thần Chùy	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	Trang bị Hoàng Kim	2	49999	10	0	28	55	55	29	165	165	167	-30	-30	31	99	99										36	99	32	235	39	1							135	50	46	69	110	73	4									
Hám Thiên Vũ Thần Tương Kim Giáp	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	Trang bị Hoàng Kim	0	49999	10	0	30	720	720	31	90	90																36	90	32	260	39	1							2	306	180	311			4									
Hám Thiên Uy Vũ Thúc yêu đái	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	Trang bị Hoàng Kim	4	49999	10	0	30	160	160	31	80	80																36	95	32	135	39	1							2	309	191	311	416	156	4									
Hám Thiên Hổ đầu Khẩn Thúc Uyển	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bị Hoàng Kim	3	49999	10	0	30	135	135	31	80	80																36	80	32	110	39	1							129	130					4									
Hám Thiên Thừa Long Chiến Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bị Hoàng Kim	1	49999	10	0	30	160	160	31	80	80																36	85	32	135	39	1							2	320	192	419	319	190	4									
Kế Nghiệp Bôn Lôi Toàn Long thương	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang bị Hoàng Kim	2	49999	10	0	28	18	18	29	158	158	167	30	30	31	99	99										36	99	32	165	33	165	39	1					57	51	46	69	110	73	5									
Kế Nghiệp Huyền Vũ Hoàng Kim Khải	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	Trang bị Hoàng Kim	0	49999	10	0	30	720	720	31	90	90																36	95	32	260	39	1							2	40	185	79			5									
Kế Nghiệp Bạch Hổ Vô Song khấu	0	6	1	\spr\item\equip\sash\obj-sash17.spr	33	2	1	Trang bị Hoàng Kim	4	49999	10	0	30	160	160	31	80	80																36	90	32	135	39	1							2	309	188	311	416	156	5									
Kế Nghiệp HỏaVân Kỳ Lân Thủ 	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	Trang bị Hoàng Kim	3	49999	10	0	30	135	135	31	80	80																36	80	32	110	39	1							129	130					5									
Kế Nghiệp Chu Tước Lăng Vân Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Trang bị Hoàng Kim	1	49999	10	0	30	160	160	31	80	80																36	85	32	135	39	1							2	104	189	311	319	186	5									
Ngự Long Lượng Ngân Bảo đao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang bị Hoàng Kim	2	49999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	1							57	52	46	69	110	73	6									
Ngự Long Chiến Thần Phi Quải giáp	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bị Hoàng Kim	0	49999	10	0																						36	90	39	1									2	438	79	107	280		6									
Ngự Long Thiên Môn Thúc Yêu hoàn	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	Trang bị Hoàng Kim	4	49999	10	0	30	160	160	31	80	80																36	85	32	135	39	1							2	309	182	311	416	156	6									
Ngự Long Tấn Phong Hộ yển	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Trang bị Hoàng Kim	3	49999	10	0	30	135	135	31	80	80																36	95	32	110	39	1							2	327	183	311	319	181	6									
Ngự Long Tuyệt Mệnh Chỉ hoàn	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bị Hoàng Kim	1	49999	10	0																						36	80	39	1									129	130					6									
Vô Gian ỷ Thiên Kiếm	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang bị Hoàng Kim	0	49999	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	99	32	110	39	4							2	43	48	71	113	157	7									
Vô Gian Thanh Phong Truy Y	0	2	7	\spr\item\equip\armor\obj-fm-cloth03-2.spr	24	2	3	Trang bị Hoàng Kim	4	49999	10	0	30	720	720	31	90	90																36	90	32	260	39	4							2	306	193	317			7									
Vô Gian Phất Vân Ti đái	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	Trang bị Hoàng Kim	3	49999	10	0	30	160	160	31	80	80																36	85	32	135	39	4							418	309	196	307	6	425	7									
Vô Gian Cầm Vận Hộ Uyển	0	8	0	\spr\item\equip\bangle\obj-bangle10.spr	35	1	2	Trang bị Hoàng Kim	1	49999	10	0	30	135	135	31	80	80																36	95	32	110	39	4							2	329	439	307	6	328	7									
Vô Gian Bạch Ngọc Bàn Chỉ 	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bị Hoàng Kim	2	49999	10	0																						36	80	39	4									129	130					7									
Vô Ma Ma Ni quán	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	Trang bị Hoàng Kim	2	49999	10	0	30	315	315	31	85	85																36	85	32	110	39	4							2	307	420	309	6	427	8									
Vô Ma Tử Khâm Cà Sa	0	2	7	\spr\item\equip\armor\obj-fm-cloth03-2.spr	22	2	3	Trang bị Hoàng Kim	0	49999	10	0	30	630	630	31	90	90																36	90	32	135	39	4							2	306	6	317			8									
Vô Ma Băng Tinh Chỉ Hoàn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bị Hoàng Kim	4	49999	10	0	31	80	80																			36	80	39	4									129	130					8									
Vô Ma Tẩy Tượng Ngọc Khấu 	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	Trang bị Hoàng Kim	1	49999	10	0	31	60	60																			36	95	39	4									1	304	57	146	198	200	8									
Vô Ma Hồng Truy Nhuyễn Tháp hài	0	5	3	\spr\item\equip\boots\obj-shoes19.spr	27	2	2	Trang bị Hoàng Kim	1	49999	10	0	30	140	140	31	80	80																36	99	32	110	39	4							2	320	199	88	8	330	8									
Vô Trần Ngọc Nữ Tố Tâm quán	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	Trang bị Hoàng Kim	3	49999	10	0	30	315	315	31	85	85																36	90	32	110	39	4							418	309	197	312	421	420	9									
Vô Trần Thanh Tâm Hướng Thiện Châu	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	Trang bị Hoàng Kim	1	49999	10	0																						36	99	39	4									2	88	331	95	8	107	9									
Vô Trần Từ Bi Ngọc Ban Chỉ 	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bị Hoàng Kim	2	49999	10	0																						36	80	39	4									129	130					9									
Vô Trần Phật Tâm Từ Hữu Yêu Phối	0	9	0	\spr\item\equip\waist\obj-waist09.spr	36	1	2	Trang bị Hoàng Kim	0	49999	10	0																						36	95	39	4									4	158	6	332			9									
Vô Trần Phật Quang Chỉ Hoàn	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bị Hoàng Kim	1	49999	10	0	31	80	80																			36	85	39	4									2	419	6	203	417	115	9									
Tê Hoàng Phụng Nghi đao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang bị Hoàng Kim	0	49999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	5							2	43	48	71	113	159	10									
Tê Hoàng Tuệ Tâm Khinh Sa Y	0	2	18	\spr\item\equip\armor\obj-fm-cloth14-1.spr	24	2	3	Trang bị Hoàng Kim	4	49999	10	0	30	720	720	31	90	90																36	90	32	260	39	5							2	306	207	317			10									
Tê Hoàng Phong Tuyết Bạch Vân Thúc Đái	0	6	0	\spr\item\equip\sash\obj-sash07.spr	32	2	1	Trang bị Hoàng Kim	3	49999	10	0	30	160	160	31	80	80																36	85	32	135	39	5							2	309	206	307	6	426	10									
Tê Hoàng Băng Tung Cẩm uyển	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	Trang bị Hoàng Kim	1	49999	10	0	30	135	135	31	80	80																36	95	32	110	39	5							2	333	439	307	6	204	10									
Tê Hoàng Thúy Ngọc Chỉ Hoàn	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bị Hoàng Kim	2	49999	10	0																						36	80	39	5									129	130					10									
Bích Hải Uyên Ương Liên Hoàn đao	0	0	5	\spr\item\equip\closeweapon\obj-adsd14.spr	14	2	3	Trang bị Hoàng Kim	2	49999	10	0	28	62	62	29	92	92	167	20	20	31	99	99										36	99	32	160	39	5							4	304	209	148	8	159	11									
Bích Hải Hoàn Châu Vũ Liên	0	4	0	\spr\item\equip\nick\obj-neck09.spr	36	2	1	Trang bị Hoàng Kim	0	49999	10	0																						36	95	39	5									2	95	6	107	88	211	11									
Bích Hải Hồng Linh Kim Ti đái	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	Trang bị Hoàng Kim	4	49999	10	0	30	140	140	31	80	80																36	90	32	110	39	5							2	309	210	419	421	422	11									
Bích Hải Hồng Lăng Ba	0	9	0	\spr\item\equip\waist\obj-waist08.spr	36	1	2	Trang bị Hoàng Kim	0	49999	10	0	31	60	60																			36	85	39	5									1	296	8	39	78	282	11									
Bích Hải Khiên Tế Chỉ hoàn	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bị Hoàng Kim	1	49999	10	0																						36	80	39	5									129	130					11									
U Lung Kim Xà Phát đái	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Trang bị Hoàng Kim	1	49999	10	0	30	315	315	31	85	85																36	99	32	110	39	3							2	302	283	143	6	160	12									
U Lung Xích Yết Mật trang	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	Trang bị Hoàng Kim	2	49999	10	0	30	630	630	31	90	90																36	90	32	135	39	3							2	40	225	317	6	334	12									
U Lung Thanh Ngô Triền yêu	0	6	1	\spr\item\equip\sash\obj-sash20.spr	32	2	1	Trang bị Hoàng Kim	0	49999	10	0	30	140	140	31	80	80																36	80	32	110	39	3							2	309	227	307	6	423	12									
U Lung Ngân Thềm Hộ Uyển	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Trang bị Hoàng Kim	4	49999	10	0	30	111	111	31	80	80																36	95	32	90	39	3							129	130					12									
U Lung Mặc Thù Nhuyễn Lý 	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Trang bị Hoàng Kim	1	49999	10	0	30	140	140	31	60	60																36	85	32	50	39	3							1	127	60	103	86	229	12									
Minh ảo Tà Sát Độc Nhận	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang bị Hoàng Kim	2	49999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	3							46	69	113	73	41	75	13									
Minh ảo U Độc ám Y	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	Trang bị Hoàng Kim	0	49999	10	0	30	720	720	31	90	90																36	90	32	260	39	3							418	336	306	307	6	417	13									
Minh ảo Độc Yết Chỉ Hoàn	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bị Hoàng Kim	4	49999	10	0																						36	80	39	3									129	130					13									
Minh ảo Hủ Cốt Hộ uyển	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Trang bị Hoàng Kim	3	49999	10	0	30	135	135	31	80	80																36	95	32	110	39	3							2	309	232	307	335	425	13									
Minh ảo Song Hoàn Xà Hài	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bị Hoàng Kim	1	49999	10	0	30	160	160	31	80	80																36	85	32	135	39	3							2	104	335	336	6	231	13									
Chú Phược Phá giáp đầu hoàn	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Trang bị Hoàng Kim	4	49999	10	0	30	315	315	31	85	85																36	85	32	110	39	3							2	337	6	307	233	31	14									
Chú Phược Diệt Lôi Cảnh Phù 	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bị Hoàng Kim	3	49999	10	0																						36	99	39	3									2	93	234	95	8	107	14									
Chú Phược U ảo Chỉ Hoàn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bị Hoàng Kim	1	49999	10	0																						36	80	39	3									129	130					14									
Chú Phược Xuyên Tâm Độc Uyển	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bị Hoàng Kim	2	49999	10	0	30	111	111	31	80	80																36	90	32	90	39	3							418	309	161	312	421	423	14									
Chú Phược Băng Hỏa Thực Cốt Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Trang bị Hoàng Kim	0	49999	10	0	30	140	140	31	80	80																36	95	32	110	39	3							2	104	236	27	6	235	14									
Băng Hàn Đơn Chỉ Phi Đao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Trang bị Hoàng Kim	0	49999	10	0	28	44	44	29	100	100	167	-20	-20	31	99	99										36	99	32	90	33	110	39	2					2	44	46	69	113	162	15									
Băng Hàn Huyền Y Thúc Giáp	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	23	2	3	Trang bị Hoàng Kim	4	49999	10	0	30	720	720	31	90	90																36	95	32	110	33	165	39	2					418	338	306	307	6	215	15									
Băng Hàn Tâm Tiễn Yêu Khấu	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	Trang bị Hoàng Kim	3	49999	10	0	30	160	160	31	80	80																36	85	32	90	33	110	39	2					418	309	212	307	6	423	15									
Băng Hàn Huyền Thiên Băng Hỏa Bội	0	9	1	\spr\item\equip\waist\obj-waist12.spr	36	1	2	Trang bị Hoàng Kim	1	49999	10	0																						36	80	39	2									129	130					15									
Băng Hàn Nguyệt ảnh Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	Trang bị Hoàng Kim	2	49999	10	0	30	160	160	31	80	80																36	90	32	90	33	110	39	2					2	104	214	338	6	213	15									
Thiên Quang Hoa Vũ Mạn Thiên	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	Trang bị Hoàng Kim	0	49999	10	0	28	46	46	29	102	102	167	0	0	31	99	99										36	99	32	65	33	230	39	2					8	43	48	71	113	162	16									
Thiên Quang Định Tâm Ngưng Thần Phù 	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Trang bị Hoàng Kim	4	49999	10	0																						36	95			39	2							2	317	212	107	8		16									
Thiên Quang Sâm La Thúc Đái	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	Trang bị Hoàng Kim	3	49999	10	0	30	111	111	31	80	80																36	90	32	90	33	110	39	2					2	309	217	307	6	425	16									
Thiên Quang Song Bạo Hàn Thiết Trạc	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Trang bị Hoàng Kim	1	49999	10	0	30	135	135	31	80	80																36	85	32	75	33	90	39	2					2	339	437	317	6	216	16									
Thiên Quang Thúc Thiên Phược Địa Hoàn	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bị Hoàng Kim	2	49999	10	0																						36	80			39	2							129	130					16									
Sâm Hoang Phi Tinh Đoạt Hồn	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	Trang bị Hoàng Kim	0	49999	10	0	28	42	42	29	98	98	167	0	0	31	99	99										36	99	32	90	33	110	39	2					4	43	48	71	113	162	17									
Sâm Hoang KimTiền Liên Hoàn Giáp	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	Trang bị Hoàng Kim	4	49999	10	0	30	720	720	31	90	90																36	95	32	110	33	165	39	2					4	306	212	317			17									
Sâm Hoang Hồn Giảo Yêu Thúc	0	6	0	\spr\item\equip\sash\obj-sash08.spr	32	2	1	Trang bị Hoàng Kim	3	49999	10	0	30	160	160	31	80	80																36	85	32	90	33	110	39	2					418	309	219	307	6	423	17									
Sâm Hoang Huyền Thiết Tương Ngọc Bội	0	9	1	\spr\item\equip\waist\obj-waist11.spr	34	1	2	Trang bị Hoàng Kim	1	49999	10	0																						36	80	39	2									129	130					17									
Sâm Hoang Tinh Vẫn Phi Lý 	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Trang bị Hoàng Kim	2	49999	10	0	30	160	160	31	80	80																36	90	32	90	33	110	39	2					418	340	320	307	6	214	17									
Địa Phách Ngũ hành Liên Hoàn Quán	0	7	3	\spr\item\equip\cap\obj-ma-cap12-3.spr	28	2	2	Trang bị Hoàng Kim	4	49999	10	0	30	315	315	31	85	85																36	85	32	110	39	2							418	341	437	307	6	224	18									
Địa Phách Hắc Diệm Xung Thiên Liên	0	4	1	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bị Hoàng Kim	3	49999	10	0																						36	95	39	2									1	222	221	95	8	107	18									
Địa Phách Tích Lịch Lôi Hỏa Giới	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bị Hoàng Kim	1	49999	10	0																						36	80	39	2									129	130					18									
Địa Phách Khấu Tâm trạc	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	Trang bị Hoàng Kim	2	49999	10	0	30	111	111	31	80	80																36	99	32	90	39	2							418	309	223	307	6	423	18									
Địa Phách Địa Hành Thiên Lý Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bị Hoàng Kim	0	49999	10	0	30	140	140	31	80	80																36	90	32	110	39	2							2	104	163	224	6		18									
Đồng Cừu Phi Long Đầu hoàn	0	7	5	\spr\item\equip\cap\obj-ma-cap18-3.spr	28	2	2	Trang bị Hoàng Kim	3	49999	10	0	30	315	315	31	85	85																36	90	32	110	39	6							2	342	237	312	6		19									
Đồng Cừu Giáng Long Cái Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	Trang bị Hoàng Kim	4	49999	10	0	30	500	500	31	80	80																36	90	32	110	39	6							1	96	5	39	60	238	19									
Đồng Cừu Tiềm Long Yêu Đái	0	6	0	\spr\item\equip\sash\obj-sash06.spr	32	2	1	Trang bị Hoàng Kim	2	49999	10	0	30	140	140	31	80	80																36	85	32	110	39	6							2	312	239	309	6	420	19									
Đồng Cừu Kháng Long Hộ Uyển	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Trang bị Hoàng Kim	0	49999	10	0	30	111	111	31	80	80																36	99	32	90	39	6							2	304	240	151	8	164	19									
Đồng Cừu Kiến Long Ban Chỉ 	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bị Hoàng Kim	4	49999	10	0																						36	80	39	6									129	130					19									
Địch Khái Lục Ngọc Trượng	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang bị Hoàng Kim	2	49999	10	0	28	69	69	29	128	128	167	-10	-10	31	99	99										36	99	32	180	39	6							46	69	113	73	42	164	20									
Địch Khái Cửu Đại Cái Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	Trang bị Hoàng Kim	0	49999	10	0	30	720	720	31	90	90																36	90	32	260	39	6							2	306	242	312	6	289	20									
Địch Khái Triền Mãng yêu đái	0	6	0	\spr\item\equip\sash\obj-sash05.spr	33	2	1	Trang bị Hoàng Kim	4	49999	10	0	30	160	160	31	80	80																36	95	32	135	39	6							2	309	243	312	6	343	20									
Địch Khái Cẩu Tích Bì Hộ uyển	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Trang bị Hoàng Kim	3	49999	10	0	30	140	140	31	80	80																36	85	32	110	39	6							2	423	244	312	6	420	20									
Địch Khái Thảo Gian Thạch giới	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bị Hoàng Kim	1	49999	10	0																						36	80	39	6									129	130					20									
Ma Sát Quỷ Cốc U Minh Thương	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang bị Hoàng Kim	2	49999	10	0	28	18	18	29	158	158	167	30	30	31	99	99										36	99	32	165	33	165	39	7					46	69	51	73	43	165	21									
